Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
BasisFunction,Math,isis/src/base/objs/BasisFunction/BasisFunction.h,isis_pybind_standalone/src/base/bind_base_math.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,The upstream three-argument constructor and the core coefficient/evaluation APIs are fully exposed.

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,BasisFunction,isis_pybind.BasisFunction,Y,Exposed via bind_base_math.cpp and re-exported from isis_pybind.__init__
Construction/Enum,"BasisFunction(const QString &name, int numVars, int numCoefs)","isis_pybind.BasisFunction(name, num_vars, num_coefs)",Y,Three-argument constructor bound in bind_base_math.cpp
Mutation/Configuration,void SetCoefficients(const std::vector<double> &coefs),isis_pybind.BasisFunction.set_coefficients,Y,Bound in bind_base_math.cpp
Public API,double Evaluate(const std::vector<double> &vars),isis_pybind.BasisFunction.evaluate,Y,Bound in bind_base_math.cpp
Public API,double Evaluate(const double &var),isis_pybind.BasisFunction.evaluate,Y,Bound in bind_base_math.cpp
Public API,virtual void Expand(const std::vector<double> &vars),isis_pybind.BasisFunction.expand,Y,Bound in bind_base_math.cpp
Public API,int Coefficients() const { return p_numCoefs,isis_pybind.BasisFunction.coefficients,Y,Bound in bind_base_math.cpp
Public API,int Variables() const { return p_numVars,isis_pybind.BasisFunction.variables,Y,Bound in bind_base_math.cpp
Public API,QString Name() const { return p_name,isis_pybind.BasisFunction.name,Y,Bound in bind_base_math.cpp
Public API,double Term(int c) const { return p_terms[c],isis_pybind.BasisFunction.term,Y,Bound in bind_base_math.cpp
Public API,double Coefficient(int i) const { return p_coefs[i],isis_pybind.BasisFunction.coefficient,Y,Bound in bind_base_math.cpp
