Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
CameraDistortionMap,"Spice, Instruments, and Cameras",isis/src/base/objs/CameraDistortionMap/CameraDistortionMap.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,第七批已补基础单测（局部畸变正反变换）

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,CameraDistortionMap,isis_pybind.CameraDistortionMap,Y,Python class symbol is exported; constructor exposure may be limited; 第七批已补基础单测（局部畸变正反变换）
Construction/Enum,CameraDistortionMap(),isis_pybind.CameraDistortionMap(),N,第七批已补基础单测（局部畸变正反变换）
Mutation/Configuration,virtual void SetDistortion(int naifIkCode),isis_pybind.CameraDistortionMap.set_distortion,N,第七批已补基础单测（局部畸变正反变换）
Mutation/Configuration,"virtual bool SetFocalPlane(double dx, double dy)",isis_pybind.CameraDistortionMap.set_focal_plane,N,第七批已补基础单测（局部畸变正反变换）
Mutation/Configuration,"virtual bool SetUndistortedFocalPlane(double ux, double uy)",isis_pybind.CameraDistortionMap.set_undistorted_focal_plane,N,第七批已补基础单测（局部畸变正反变换）
Public API,std::vector<double> OpticalDistortionCoefficients() const,isis_pybind.CameraDistortionMap.optical_distortion_coefficients,N,第七批已补基础单测（局部畸变正反变换）
Public API,double ZDirection() const,isis_pybind.CameraDistortionMap.z_direction,N,第七批已补基础单测（局部畸变正反变换）
Public API,double FocalPlaneX() const,isis_pybind.CameraDistortionMap.focal_plane_x,N,第七批已补基础单测（局部畸变正反变换）
Public API,double FocalPlaneY() const,isis_pybind.CameraDistortionMap.focal_plane_y,N,第七批已补基础单测（局部畸变正反变换）
Public API,double UndistortedFocalPlaneX() const,isis_pybind.CameraDistortionMap.undistorted_focal_plane_x,N,第七批已补基础单测（局部畸变正反变换）
Public API,double UndistortedFocalPlaneY() const,isis_pybind.CameraDistortionMap.undistorted_focal_plane_y,N,第七批已补基础单测（局部畸变正反变换）
Public API,double UndistortedFocalPlaneZ() const,isis_pybind.CameraDistortionMap.undistorted_focal_plane_z,N,第七批已补基础单测（局部畸变正反变换）
