Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Camera,"Spice, Instruments, and Cameras",isis/src/base/objs/Camera/Camera.h,isis_pybind_standalone/src/bind_camera.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,抽象基类/纯虚接口；相机模型/Spice 依赖；第五批已补基础单测

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Camera,isis_pybind.Camera,Y,Python class symbol is exported; constructor exposure may be limited; 抽象基类/纯虚接口；相机模型/Spice 依赖；第五批已补基础单测
Construction/Enum,"CameraType enum (Framing, PushFrame, LineScan, Radar, Point, RollingShutter, Csm)",isis_pybind.Camera.CameraType,Y,已在 bind_camera.cpp 绑定
Construction/Enum,Camera(),isis_pybind.Camera(),N,抽象基类/纯虚接口；相机模型/Spice 依赖；第五批已补基础单测
Mutation/Configuration,"virtual bool SetImage(const double sample, const double line)",isis_pybind.Camera.set_image,Y,已在 bind_camera.cpp 绑定
Mutation/Configuration,"virtual bool SetImage(const double sample, const double line, const double deltaT)",isis_pybind.Camera.set_image,Y,已在 bind_camera.cpp 绑定
Mutation/Configuration,"virtual bool SetUniversalGround(const double latitude, const double longitude)",isis_pybind.Camera.set_universal_ground,Y,已在 bind_camera.cpp 绑定
Mutation/Configuration,"virtual bool SetUniversalGround(const double latitude, const double longitude, const double radius)",isis_pybind.Camera.set_universal_ground,Y,已在 bind_camera.cpp 绑定
Mutation/Configuration,"virtual bool SetGround(Latitude latitude, Longitude longitude)",isis_pybind.Camera.set_ground,Y,已在 bind_camera.cpp 绑定
Mutation/Configuration,virtual bool SetGround(const SurfacePoint & surfacePt),isis_pybind.Camera.set_ground,Y,已在 bind_camera.cpp 绑定
Mutation/Configuration,"virtual bool SetRightAscensionDeclination(const double ra, const double dec)",isis_pybind.Camera.set_right_ascension_declination,N,抽象基类/纯虚接口；相机模型/Spice 依赖；第五批已补基础单测
Public API,"void LocalPhotometricAngles(Angle & phase, Angle & incidence, Angle & emission, bool &success)",isis_pybind.Camera.local_photometric_angles,N,抽象基类/纯虚接口；相机模型/Spice 依赖；第五批已补基础单测
