Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
CollectorMap,Utility,reference/upstream_isis/src/base/objs/CollectorMap/CollectorMap.h,src/base/bind_base_utility.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已通过稳定的 `CollectorMap<int, QString>` 专用实例完成 Python 暴露；迭代器以 `items()`/`__iter__()` 形式包装

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,"CollectorMap<K, T, ComparePolicy, RemovalPolicy, CopyPolicy>",isis_pybind.CollectorMap,Y,以 `CollectorMap<int, QString>` 具体化模板后暴露为稳定 Python 类
Construction/Enum,enum KeyPolicy { UniqueKeys, DuplicateKeys },isis_pybind.CollectorMap.KeyPolicy,Y,键唯一/可重复策略已作为嵌套枚举暴露
Construction/Enum,CollectorMap(),isis_pybind.CollectorMap,Y,默认构造
Construction/Enum,"CollectorMap(const KeyPolicy &keyPolicy)",isis_pybind.CollectorMap,Y,按键策略构造
Construction/Enum,virtual ~CollectorMap(),isis_pybind.CollectorMap,Y,析构由 pybind 生命周期管理
Construction/Enum,"CollectorMap(const CollectorMap &cmap)",isis_pybind.CollectorMap,Y,拷贝构造
Public API,"CollectorMap &operator=(const CollectorMap &cmap)",isis_pybind.CollectorMap.__copy__,Y,通过拷贝构造和值语义满足 Python 复制场景
Public API,int size() const,isis_pybind.CollectorMap.size,Y,元素个数
Public API,"int count(const K &key) const",isis_pybind.CollectorMap.count,Y,统计某 key 出现次数
Public API,"void add(const K &key, const T &value)",isis_pybind.CollectorMap.add,Y,添加元素；`QString` 值已适配为 Python `str`
Public API,"bool exists(const K &key) const",isis_pybind.CollectorMap.exists,Y,键存在性检查
Public API,"T &get(const K &key)",isis_pybind.CollectorMap.get,Y,按 key 取值并返回 Python `str`
Public API,"const T &get(const K &key) const",isis_pybind.CollectorMap.get,Y,const 重载由同名 Python wrapper 覆盖
Public API,"int index(const K &key) const",isis_pybind.CollectorMap.index,Y,返回首个匹配键的顺序索引
Public API,"T &getNth(int nth)",isis_pybind.CollectorMap.getNth,Y,按顺序取值并返回 Python `str`
Public API,"const T &getNth(int nth) const",isis_pybind.CollectorMap.getNth,Y,const 重载由同名 Python wrapper 覆盖
Public API,"const K &key(int nth) const",isis_pybind.CollectorMap.key,Y,按顺序取 key
Public API,"int remove(const K &key)",isis_pybind.CollectorMap.remove,Y,删除一个或多个匹配键
Public API,CollectorConstIter begin() const,isis_pybind.CollectorMap.begin,Y,已通过 `items()`/`__iter__()` 暴露 const 迭代行为
Public API,CollectorConstIter end() const,isis_pybind.CollectorMap.end,Y,已通过 `items()`/`__iter__()` 封装终止语义
Public API,CollectorIter begin(),isis_pybind.CollectorMap.begin,Y,已通过 `items()`/`__iter__()` 暴露可变对象的遍历入口
Public API,CollectorIter end(),isis_pybind.CollectorMap.end,Y,已通过 `items()`/`__iter__()` 封装终止语义
