Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
CSVReader,Parsing,reference/upstream_isis/src/base/objs/CSVReader/CSVReader.h,src/base/bind_base_filters.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已在 src/base/bind_base_filters.cpp 完成 CSVReader 绑定并补齐 table/helper/convert 表面；focused 单测在 tests/unitTest/filters_unit_test.py

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,CSVReader,isis_pybind.CSVReader,Y,2026-04-09 已在 src/base/bind_base_filters.cpp 暴露类符号
Construction/Enum,CSVReader(),isis_pybind.CSVReader(),Y,2026-04-09 已暴露默认构造与带文件/解析参数构造
Query,int size() const { return (_lines.size()),isis_pybind.CSVReader.size,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Public API,int rows() const { int nrows(_lines.size() - firstRowIndex()),isis_pybind.CSVReader.rows,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Public API,int columns() const,isis_pybind.CSVReader.columns,Y,2026-04-09 已绑定无参/带 table 参数两种 Python helper
Public API,int columns(const CSVTable &table) const,isis_pybind.CSVReader.columns,Y,2026-04-09 已通过 nested-list wrapper 暴露 columns(table)
Mutation/Configuration,void setComment(const bool ignore = true) { _ignoreComments = ignore,isis_pybind.CSVReader.set_comment,Y,2026-04-09 已绑定并补 comment 保留行为单测
Mutation/Configuration,void setSkip(int nskip) { if(nskip >= 0) _skip = nskip,isis_pybind.CSVReader.set_skip,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Public API,int getSkip() const { return (_skip),isis_pybind.CSVReader.get_skip,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Public API,bool haveHeader() const { return (_header),isis_pybind.CSVReader.have_header,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Mutation/Configuration,void setHeader(const bool gotIt = true) { _header = gotIt,isis_pybind.CSVReader.set_header,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Mutation/Configuration,void setDelimiter(const char &delimiter) { _delimiter = delimiter,isis_pybind.CSVReader.set_delimiter,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Public API,char getDelimiter() const { return (_delimiter),isis_pybind.CSVReader.get_delimiter,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Mutation/Configuration,void setKeepEmptyParts() { _keepParts = true,isis_pybind.CSVReader.set_keep_empty_parts,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Mutation/Configuration,void setSkipEmptyParts() { _keepParts = false,isis_pybind.CSVReader.set_skip_empty_parts,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Public API,bool keepEmptyParts() const { return (_keepParts),isis_pybind.CSVReader.keep_empty_parts,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
Read/Write IO,void read(const QString &fname),isis_pybind.CSVReader.read,Y,2026-04-09 已通过 std::string wrapper 暴露文件读取
Public API,CSVAxis getHeader() const,isis_pybind.CSVReader.get_header,Y,2026-04-09 已以 Python list[str] 暴露
Public API,CSVAxis getRow(int index) const,isis_pybind.CSVReader.get_row,Y,2026-04-09 已以 Python list[str] 暴露
Public API,CSVAxis getColumn(int index) const,isis_pybind.CSVReader.get_column,Y,2026-04-09 已以 Python list[str] 暴露 index/header 两种入口
Public API,CSVAxis getColumn(const QString &hname) const,isis_pybind.CSVReader.get_column,Y,2026-04-09 已以 Python list[str] 暴露 index/header 两种入口
Public API,CSVTable getTable() const,isis_pybind.CSVReader.get_table,Y,2026-04-09 已以 nested Python list 暴露
Query,bool isTableValid(const CSVTable &table) const,isis_pybind.CSVReader.is_table_valid,Y,2026-04-09 已通过 nested-list wrapper 暴露
Public API,CSVColumnSummary getColumnSummary(const CSVTable &table) const,isis_pybind.CSVReader.get_column_summary,Y,2026-04-09 已以 Python dict 暴露列宽统计摘要
Public API,template <typename T> TNT::Array1D<T> convert(const CSVAxis &data) const,isis_pybind.CSVReader.convert,Y,2026-04-09 已以 convert(data, value_type='double'|'int') 适配模板转换
Mutation/Configuration,void clear() { _lines.clear(),isis_pybind.CSVReader.clear,Y,2026-04-09 已绑定并由 filters_unit_test.py 覆盖
