Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
CubeIoHandler,Low Level Cube I/O,isis/src/base/objs/Cube/CubeIoHandler.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,抽象基类/纯虚接口

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,CubeIoHandler,isis_pybind.CubeIoHandler,N,Python class symbol not found in current binding files; 抽象基类/纯虚接口
Construction/Enum,CubeIoHandler(),isis_pybind.CubeIoHandler(),N,抽象基类/纯虚接口
Read/Write IO,void read(Buffer &bufferToFill) const,isis_pybind.CubeIoHandler.read,N,抽象基类/纯虚接口
Read/Write IO,void write(const Buffer &bufferToWrite),isis_pybind.CubeIoHandler.write,N,抽象基类/纯虚接口
Mutation/Configuration,void addCachingAlgorithm(CubeCachingAlgorithm *algorithm),isis_pybind.CubeIoHandler.add_caching_algorithm,N,抽象基类/纯虚接口
Mutation/Configuration,void clearCache(bool blockForWriteCache = true) const,isis_pybind.CubeIoHandler.clear_cache,N,抽象基类/纯虚接口
Public API,BigInt getDataSize() const,isis_pybind.CubeIoHandler.get_data_size,N,抽象基类/纯虚接口
Mutation/Configuration,void setVirtualBands(const QList<int> *virtualBandList),isis_pybind.CubeIoHandler.set_virtual_bands,N,抽象基类/纯虚接口
Public API,virtual void updateLabels(Pvl &labels) = 0,isis_pybind.CubeIoHandler.update_labels,N,抽象基类/纯虚接口
Public API,QMutex *dataFileMutex(),isis_pybind.CubeIoHandler.data_file_mutex,N,抽象基类/纯虚接口
Public API,"BufferToChunkWriter(CubeIoHandler * ioHandler, QList<Buffer *> buffersToWrite)",isis_pybind.CubeIoHandler.buffer_to_chunk_writer,N,抽象基类/纯虚接口
Public API,void run(),isis_pybind.CubeIoHandler.run,N,抽象基类/纯虚接口
