Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Displacement,Utility,isis/src/base/objs/Displacement/Displacement.h,isis_pybind_standalone/src/base/bind_base_geometry.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Displacement,isis_pybind.Displacement,Y,Python class symbol is exported
Construction/Enum,"Units enum (Meters, Kilometers, Pixels)",isis_pybind.Displacement.Units,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Construction/Enum,Displacement(),isis_pybind.Displacement(),Y,Constructor is explicitly bound
Public API,double meters() const,isis_pybind.Displacement.meters,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Mutation/Configuration,void setMeters(double displacementInMeters),isis_pybind.Displacement.set_meters,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Public API,double kilometers() const,isis_pybind.Displacement.kilometers,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Mutation/Configuration,void setKilometers(double displacementInKilometers),isis_pybind.Displacement.set_kilometers,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Public API,double pixels(double pixelsPerMeter = 1.0) const,isis_pybind.Displacement.pixels,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Mutation/Configuration,"void setPixels(double distanceInPixels, double pixelsPerMeter = 1.0)",isis_pybind.Displacement.set_pixels,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Query,bool isValid() const,isis_pybind.Displacement.is_valid,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
