Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Distance,Utility,isis/src/base/objs/Distance/Distance.h,isis_pybind_standalone/src/base/bind_base_geometry.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Distance,isis_pybind.Distance,Y,Python class symbol is exported
Construction/Enum,"Units enum (Meters, Kilometers, Pixels, SolarRadii)",isis_pybind.Distance.Units,N,Enum exposure not detected in current binding files
Construction/Enum,Distance(),isis_pybind.Distance(),Y,Constructor is explicitly bound
Public API,double meters() const,isis_pybind.Distance.meters,N,Method not found in current binding files
Mutation/Configuration,void setMeters(double distanceInMeters),isis_pybind.Distance.set_meters,N,Method not found in current binding files
Public API,double kilometers() const,isis_pybind.Distance.kilometers,N,Method not found in current binding files
Mutation/Configuration,void setKilometers(double distanceInKilometers),isis_pybind.Distance.set_kilometers,N,Method not found in current binding files
Public API,double pixels(double pixelsPerMeter = 1.0) const,isis_pybind.Distance.pixels,N,Method not found in current binding files
Mutation/Configuration,"void setPixels(double distanceInPixels, double pixelsPerMeter = 1.0)",isis_pybind.Distance.set_pixels,N,Method not found in current binding files
Public API,double solarRadii() const,isis_pybind.Distance.solar_radii,N,Method not found in current binding files
Mutation/Configuration,void setSolarRadii(double distanceInSolarRadii),isis_pybind.Distance.set_solar_radii,N,Method not found in current binding files
Public API,QString toString() const,isis_pybind.Distance.to_string,N,Method not found in current binding files
Query,bool isValid() const,isis_pybind.Distance.is_valid,N,Method not found in current binding files
