Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ExportDescription,High Level Cube I/O,isis/src/base/objs/ExportDescription/ExportDescription.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ExportDescription,isis_pybind.ExportDescription,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Python class symbol not found in current binding files
Public API,"ChannelDescription(FileName &filename, CubeAttributeInput &att)",isis_pybind.ExportDescription.channel_description,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,FileName filename() const,isis_pybind.ExportDescription.filename,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,CubeAttributeInput attributes() const,isis_pybind.ExportDescription.attributes,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Mutation/Configuration,"void setInputRange(double min, double max)",isis_pybind.ExportDescription.set_input_range,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,double inputMinimum() const,isis_pybind.ExportDescription.input_minimum,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,double inputMaximum() const,isis_pybind.ExportDescription.input_maximum,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Query,bool hasCustomRange() const,isis_pybind.ExportDescription.has_custom_range,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Construction/Enum,ExportDescription(),isis_pybind.ExportDescription(),Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Constructor binding not detected in current binding files
Mutation/Configuration,void setPixelType(PixelType type),isis_pybind.ExportDescription.set_pixel_type,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,PixelType pixelType() const,isis_pybind.ExportDescription.pixel_type,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,double outputPixelNull() const,isis_pybind.ExportDescription.output_pixel_null,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,double outputPixelValidMin() const,isis_pybind.ExportDescription.output_pixel_valid_min,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,double outputPixelValidMax() const,isis_pybind.ExportDescription.output_pixel_valid_max,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,double outputPixelAbsoluteMin() const,isis_pybind.ExportDescription.output_pixel_absolute_min,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,double outputPixelAbsoluteMax() const,isis_pybind.ExportDescription.output_pixel_absolute_max,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Mutation/Configuration,"int addChannel(FileName filename, CubeAttributeInput &att)",isis_pybind.ExportDescription.add_channel,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Mutation/Configuration,"int addChannel(FileName filename, CubeAttributeInput &att, double min, double max)",isis_pybind.ExportDescription.add_channel,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,const ChannelDescription &channel(int i) const,isis_pybind.ExportDescription.channel,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
Public API,int channelCount() const,isis_pybind.ExportDescription.channel_count,Y,2026-04-11 台账同步；已在 src/bind_high_level_cube_io.cpp 暴露; Method not found in current binding files
