Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Hapke,Radiometric And Photometric Correction,isis/src/base/objs/Hapke/Hapke.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-08 第三阶段 shape / photometry 批次 inventory 预登记

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Hapke,isis_pybind.Hapke,Y,2026-04-09 已在 src/base/bind_base_photometry.cpp 暴露 Hapke 类符号
Construction/Enum,Hapke(),isis_pybind.Hapke(),Y,2026-04-09 已暴露 Hapke(pvl) 构造函数并补直接构造/工厂分派单测
Mutation/Configuration,void SetPhotoHg1(const double hg1),isis_pybind.Hapke.set_photo_hg1,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露并已回归验证
Mutation/Configuration,void SetPhotoHg2(const double hg2),isis_pybind.Hapke.set_photo_hg2,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露并已回归验证
Mutation/Configuration,void SetPhotoBh(const double bh),isis_pybind.Hapke.set_photo_bh,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露并已回归验证
Mutation/Configuration,void SetPhotoCh(const double ch),isis_pybind.Hapke.set_photo_ch,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露并已回归验证
Mutation/Configuration,void SetPhotoWh(const double wh),isis_pybind.Hapke.set_photo_wh,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露并已回归验证
Mutation/Configuration,void SetPhotoHh(const double hh),isis_pybind.Hapke.set_photo_hh,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露并已回归验证
Mutation/Configuration,void SetPhotoB0(const double b0),isis_pybind.Hapke.set_photo_b0,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露并已回归验证
Mutation/Configuration,void SetPhotoTheta(const double theta),isis_pybind.Hapke.set_photo_theta,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露并已回归验证
Mutation/Configuration,void SetOldTheta(double theta) { p_photoThetaold = theta,isis_pybind.Hapke.set_old_theta,Y,2026-04-09 已显式绑定 set_old_theta 并补 focused 单测
Mutation/Configuration,void SetPhoto0B0Standard(const QString &b0standard),isis_pybind.Hapke.set_photo0_b0_standard,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露并已回归验证
Mutation/Configuration,void SetStandardConditions(bool standard),isis_pybind.Hapke.set_standard_conditions,Y,2026-04-09 通过 PhotoModel 基类接口继承暴露
Public API,"virtual double PhotoModelAlgorithm(double phase, double incidence, double emission)",isis_pybind.Hapke.photo_model_algorithm,Y,2026-04-09 已显式绑定并补三组真值回归
