Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
IString,Parsing,isis/src/base/objs/IString/IString.h,src/base/bind_base_utility.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-08 第四阶段后端 / 桥接 / 工具类批次 inventory 预登记

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,IString,isis_pybind.IString,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Construction/Enum,IString(),isis_pybind.IString(),Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Public API,IString Trim(const std::string &chars),isis_pybind.IString.trim,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Static/Factory,"static std::string Trim(const std::string &chars, const std::string &str)",isis_pybind.IString.trim,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Public API,IString TrimHead(const std::string &chars),isis_pybind.IString.trim_head,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Static/Factory,"static std::string TrimHead(const std::string &chars, const std::string &str)",isis_pybind.IString.trim_head,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Public API,IString TrimTail(const std::string &chars),isis_pybind.IString.trim_tail,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Static/Factory,"static std::string TrimTail(const std::string &chars, const std::string &str)",isis_pybind.IString.trim_tail,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Public API,IString UpCase(),isis_pybind.IString.up_case,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Static/Factory,static std::string UpCase(const std::string &str),isis_pybind.IString.up_case,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Public API,IString DownCase(),isis_pybind.IString.down_case,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Static/Factory,static std::string DownCase(const std::string &str),isis_pybind.IString.down_case,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Public API,int ToInteger() const,isis_pybind.IString.to_integer,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Static/Factory,static int ToInteger(const std::string &str),isis_pybind.IString.to_integer,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Public API,BigInt ToBigInteger() const,isis_pybind.IString.to_big_integer,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Static/Factory,static BigInt ToBigInteger(const std::string &str),isis_pybind.IString.to_big_integer,N,Method not found in current binding files
Public API,double ToDouble() const,isis_pybind.IString.to_double,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Static/Factory,static double ToDouble(const std::string &str),isis_pybind.IString.to_double,Y,2026-04-11 台账同步；已在 src/base/bind_base_utility.cpp 暴露
Public API,QString ToQt() const,isis_pybind.IString.to_qt,N,Method not found in current binding files
