Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
LambertAzimuthalEqualArea,Map Projection,isis/src/base/objs/LambertAzimuthalEqualArea/LambertAzimuthalEqualArea.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,LambertAzimuthalEqualArea,isis_pybind.LambertAzimuthalEqualArea,N,Python class symbol not found in current binding files
Construction/Enum,LambertAzimuthalEqualArea(),isis_pybind.LambertAzimuthalEqualArea(),N,Constructor binding not detected in current binding files
Public API,QString Name() const,isis_pybind.LambertAzimuthalEqualArea.name,N,Method not found in current binding files
Public API,QString Version() const,isis_pybind.LambertAzimuthalEqualArea.version,N,Method not found in current binding files
Public API,double TrueScaleLatitude() const,isis_pybind.LambertAzimuthalEqualArea.true_scale_latitude,N,Method not found in current binding files
Mutation/Configuration,"bool SetGround(const double lat, const double lon)",isis_pybind.LambertAzimuthalEqualArea.set_ground,N,Method not found in current binding files
Mutation/Configuration,"bool SetCoordinate(const double x, const double y)",isis_pybind.LambertAzimuthalEqualArea.set_coordinate,N,Method not found in current binding files
Public API,"bool XYRange(double &minX, double &maxX, double &minY, double &maxY)",isis_pybind.LambertAzimuthalEqualArea.xy_range,N,Method not found in current binding files
Public API,PvlGroup Mapping(),isis_pybind.LambertAzimuthalEqualArea.mapping,N,Method not found in current binding files
Public API,PvlGroup MappingLatitudes(),isis_pybind.LambertAzimuthalEqualArea.mapping_latitudes,N,Method not found in current binding files
Public API,PvlGroup MappingLongitudes(),isis_pybind.LambertAzimuthalEqualArea.mapping_longitudes,N,Method not found in current binding files
Public API,double relativeScaleFactorLongitude() const,isis_pybind.LambertAzimuthalEqualArea.relative_scale_factor_longitude,N,Method not found in current binding files
Public API,double relativeScaleFactorLatitude() const,isis_pybind.LambertAzimuthalEqualArea.relative_scale_factor_latitude,N,Method not found in current binding files
