Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
LineEquation,Utility,isis/src/base/objs/LineEquation/LineEquation.h,src/base/bind_base_utility.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,Fully converted 2026-03-30

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,LineEquation,isis_pybind.LineEquation,Y,Class bound in src/base/bind_base_utility.cpp
Construction/Enum,LineEquation(),isis_pybind.LineEquation(),Y,Default constructor bound
Construction/Enum,"LineEquation(double x1, double y1, double x2, double y2)",isis_pybind.LineEquation(x1 y1 x2 y2),Y,Two-point constructor bound
Mutation/Configuration,"void AddPoint(double x, double y)",isis_pybind.LineEquation.add_point,Y,Method bound
Public API,double Slope(),isis_pybind.LineEquation.slope,Y,Method bound
Public API,double Intercept(),isis_pybind.LineEquation.intercept,Y,Method bound
Public API,int Points() { return p_x.size(),isis_pybind.LineEquation.points,Y,Method bound
Public API,bool HaveSlope() { return p_slopeDefined,isis_pybind.LineEquation.have_slope,Y,Method bound
Public API,bool HaveIntercept() { return p_interceptDefined,isis_pybind.LineEquation.have_intercept,Y,Method bound
Public API,bool Defined() { return p_defined,isis_pybind.LineEquation.defined,Y,Method bound
Python Special,__repr__,isis_pybind.LineEquation.__repr__,Y,Python repr implemented with non-const ref workaround
