Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Mollweide,Map Projection,isis/src/base/objs/Mollweide/Mollweide.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Mollweide,isis_pybind.Mollweide,N,Python class symbol not found in current binding files
Construction/Enum,Mollweide(),isis_pybind.Mollweide(),N,Constructor binding not detected in current binding files
Public API,QString Name() const,isis_pybind.Mollweide.name,N,Method not found in current binding files
Public API,QString Version() const,isis_pybind.Mollweide.version,N,Method not found in current binding files
Public API,"bool newton_rapheson(double gamma, double &result)",isis_pybind.Mollweide.newton_rapheson,N,Method not found in current binding files
Mutation/Configuration,"bool SetGround(const double lat, const double lon)",isis_pybind.Mollweide.set_ground,N,Method not found in current binding files
Mutation/Configuration,"bool SetCoordinate(const double x, const double y)",isis_pybind.Mollweide.set_coordinate,N,Method not found in current binding files
Public API,"bool XYRange(double &minX, double &maxX, double &minY, double &maxY)",isis_pybind.Mollweide.xy_range,N,Method not found in current binding files
Public API,PvlGroup Mapping(),isis_pybind.Mollweide.mapping,N,Method not found in current binding files
Public API,PvlGroup MappingLatitudes(),isis_pybind.Mollweide.mapping_latitudes,N,Method not found in current binding files
Public API,PvlGroup MappingLongitudes(),isis_pybind.Mollweide.mapping_longitudes,N,Method not found in current binding files
