Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
OverlapStatistics,Statistics,isis/src/base/objs/OverlapStatistics/OverlapStatistics.h,src/bind_statistics.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,OverlapStatistics,isis_pybind.OverlapStatistics,Y,2026-04-13 台账同步；顶层导出已存在（src/bind_statistics.cpp）
Construction/Enum,OverlapStatistics(),isis_pybind.OverlapStatistics(),Y,2026-04-13 台账同步；构造入口已在当前绑定中可用（src/bind_statistics.cpp）
Query,bool HasOverlap(int band) const { return (p_stats[band-1].ValidPixels() > 0),isis_pybind.OverlapStatistics.has_overlap,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_statistics.cpp）
Query,bool HasOverlap() const,isis_pybind.OverlapStatistics.has_any_overlap,Y,2026-04-13 台账同步；当前 Python 名称为 isis_pybind.OverlapStatistics.has_any_overlap
Public API,Isis::FileName FileNameX() const { return p_xFile,isis_pybind.OverlapStatistics.file_name_x,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_statistics.cpp）
Public API,Isis::FileName FileNameY() const { return p_yFile,isis_pybind.OverlapStatistics.file_name_y,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_statistics.cpp）
Public API,Isis::MultivariateStatistics GetMStats(int band) const { return p_stats[band-1],isis_pybind.OverlapStatistics.get_mstats,Y,2026-04-13 台账同步；当前 Python 名称为 isis_pybind.OverlapStatistics.get_mstats
Public API,int Lines() const { return p_lineRange,isis_pybind.OverlapStatistics.lines,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_statistics.cpp）
Public API,int Samples() const { return p_sampRange,isis_pybind.OverlapStatistics.samples,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_statistics.cpp）
Public API,int Bands() const { return p_bands,isis_pybind.OverlapStatistics.bands,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_statistics.cpp）
Public API,double SampPercent() const { return p_sampPercent,isis_pybind.OverlapStatistics.samp_percent,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_statistics.cpp）
Public API,int StartSampleX() const { return p_minSampX,isis_pybind.OverlapStatistics.start_sample_x,Y,2026-04-14 新增绑定
Public API,int EndSampleX() const { return p_maxSampX,isis_pybind.OverlapStatistics.end_sample_x,Y,2026-04-14 新增绑定
Public API,int StartLineX() const { return p_minLineX,isis_pybind.OverlapStatistics.start_line_x,Y,2026-04-14 新增绑定
Public API,int EndLineX() const { return p_maxLineX,isis_pybind.OverlapStatistics.end_line_x,Y,2026-04-14 新增绑定
Public API,int StartSampleY() const { return p_minSampY,isis_pybind.OverlapStatistics.start_sample_y,Y,2026-04-14 新增绑定
Public API,int EndSampleY() const { return p_maxSampY,isis_pybind.OverlapStatistics.end_sample_y,Y,2026-04-14 新增绑定
Public API,int StartLineY() const { return p_minLineY,isis_pybind.OverlapStatistics.start_line_y,Y,2026-04-14 新增绑定
Public API,int EndLineY() const { return p_maxLineY,isis_pybind.OverlapStatistics.end_line_y,Y,2026-04-14 新增绑定
Mutation/Configuration,void SetMincount(unsigned int mincnt) { p_mincnt = mincnt,isis_pybind.OverlapStatistics.set_mincount,Y,2026-04-14 新增绑定
Public API,int MinCount() const { return p_mincnt,isis_pybind.OverlapStatistics.min_count,Y,2026-04-14 新增绑定
Query,bool IsValid(unsigned int band) const { return GetMStats(band).ValidPixels() > p_mincnt,isis_pybind.OverlapStatistics.is_valid,Y,2026-04-14 新增绑定
Public API,"PvlObject toPvl(QString name = ""OverlapStatistics"") const",isis_pybind.OverlapStatistics.to_pvl,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_statistics.cpp）
