Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Planar,Map Projection,isis/src/base/objs/Planar/Planar.h,src/base/bind_base_projection_types.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-12 完成全部公开方法绑定

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Planar,isis_pybind.Planar,Y,Exposed with full method suite
Construction/Enum,Planar(),isis_pybind.Planar(),Y,Constructor with label and allow_defaults
Public API,QString Name() const,isis_pybind.Planar.name,Y,Returns projection name
Public API,QString Version() const,isis_pybind.Planar.version,Y,Returns version string
Public API,double TrueScaleRingRadius() const,isis_pybind.Planar.true_scale_ring_radius,Y,Returns center ring radius
Public API,double CenterRingLongitude() const,isis_pybind.Planar.center_ring_longitude,Y,Returns center ring longitude in degrees
Public API,double CenterRingRadius() const,isis_pybind.Planar.center_ring_radius,Y,Returns center ring radius
Mutation/Configuration,"bool SetGround(const double ringRadius, const double ringLongitude)",isis_pybind.Planar.set_ground,Y,Forward projection to x/y via lambda-wrapped overrides
Mutation/Configuration,"bool SetCoordinate(const double x, const double y)",isis_pybind.Planar.set_coordinate,Y,Inverse projection x/y to lat/lon (or ringRadius/ringLongitude)
Public API,"bool XYRange(double &minX, double &maxX, double &minY, double &maxY)",isis_pybind.Planar.xy_range,Y,Returns tuple (minX maxX minY maxY) from lambda wrapper
Public API,PvlGroup Mapping(),isis_pybind.Planar.mapping,Y,Returns mapping group PvlGroup
Public API,PvlGroup MappingRingRadii(),isis_pybind.Planar.mapping_ring_radii,Y,Returns ring radii keywords PvlGroup
Public API,PvlGroup MappingRingLongitudes(),isis_pybind.Planar.mapping_ring_longitudes,Y,Returns ring longitude keywords PvlGroup
