Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PointPerspective,Map Projection,isis/src/base/objs/PointPerspective/PointPerspective.h,src/base/bind_base_projection_types.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-12 完成全部公开方法绑定

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PointPerspective,isis_pybind.PointPerspective,Y,Exposed with full method suite
Construction/Enum,PointPerspective(),isis_pybind.PointPerspective(),Y,Constructor with label and allow_defaults
Public API,QString Name() const,isis_pybind.PointPerspective.name,Y,Returns projection name
Public API,QString Version() const,isis_pybind.PointPerspective.version,Y,Returns version string
Public API,double TrueScaleLatitude() const,isis_pybind.PointPerspective.true_scale_latitude,Y,Returns center latitude in degrees
Mutation/Configuration,"bool SetGround(const double lat, const double lon)",isis_pybind.PointPerspective.set_ground,Y,Forward projection to x/y via lambda-wrapped overrides
Mutation/Configuration,"bool SetCoordinate(const double x, const double y)",isis_pybind.PointPerspective.set_coordinate,Y,Inverse projection x/y to lat/lon (or ringRadius/ringLongitude)
Public API,"bool XYRange(double &minX, double &maxX, double &minY, double &maxY)",isis_pybind.PointPerspective.xy_range,Y,Returns tuple (minX maxX minY maxY) from lambda wrapper
Public API,PvlGroup Mapping(),isis_pybind.PointPerspective.mapping,Y,Returns mapping group PvlGroup
Public API,PvlGroup MappingLatitudes(),isis_pybind.PointPerspective.mapping_latitudes,Y,Returns latitude keywords PvlGroup
Public API,PvlGroup MappingLongitudes(),isis_pybind.PointPerspective.mapping_longitudes,Y,Returns longitude keywords PvlGroup
