Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PolarStereographic,Map Projection,isis/src/base/objs/PolarStereographic/PolarStereographic.h,src/base/bind_base_projection_types.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-12 完成全部公开方法绑定

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PolarStereographic,isis_pybind.PolarStereographic,Y,Exposed with full method suite
Construction/Enum,PolarStereographic(),isis_pybind.PolarStereographic(),Y,Constructor with label and allow_defaults
Public API,QString Name() const,isis_pybind.PolarStereographic.name,Y,Returns projection name
Public API,QString Version() const,isis_pybind.PolarStereographic.version,Y,Returns version string
Public API,double TrueScaleLatitude() const,isis_pybind.PolarStereographic.true_scale_latitude,Y,Returns center latitude in degrees
Mutation/Configuration,"bool SetGround(const double lat, const double lon)",isis_pybind.PolarStereographic.set_ground,Y,Forward projection to x/y via lambda-wrapped overrides
Mutation/Configuration,"bool SetCoordinate(const double x, const double y)",isis_pybind.PolarStereographic.set_coordinate,Y,Inverse projection x/y to lat/lon (or ringRadius/ringLongitude)
Public API,"bool XYRange(double &minX, double &maxX, double &minY, double &maxY)",isis_pybind.PolarStereographic.xy_range,Y,Returns tuple (minX maxX minY maxY) from lambda wrapper
Public API,PvlGroup Mapping(),isis_pybind.PolarStereographic.mapping,Y,Returns mapping group PvlGroup
Public API,PvlGroup MappingLatitudes(),isis_pybind.PolarStereographic.mapping_latitudes,Y,Returns latitude keywords PvlGroup
Public API,PvlGroup MappingLongitudes(),isis_pybind.PolarStereographic.mapping_longitudes,Y,Returns longitude keywords PvlGroup
