Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PolygonTools,Utility,isis/src/base/objs/PolygonTools/PolygonTools.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PolygonTools,isis_pybind.PolygonTools,N,Python class symbol not found in current binding files
Construction/Enum,PolygonTools(),isis_pybind.PolygonTools(),N,Constructor binding not detected in current binding files
Static/Factory,"static geos::geom::MultiPolygon *LatLonToXY( const geos::geom::MultiPolygon &lonLatPoly, TProjection *proj)",isis_pybind.PolygonTools.lat_lon_to_xy,N,Method not found in current binding files
Static/Factory,"static geos::geom::MultiPolygon *XYToLatLon( const geos::geom::MultiPolygon &xYPoly, TProjection *proj)",isis_pybind.PolygonTools.xy_to_lat_lon,N,Method not found in current binding files
Static/Factory,"static geos::geom::MultiPolygon *LatLonToSampleLine( const geos::geom::MultiPolygon &lonLatPoly, UniversalGroundMap *ugm)",isis_pybind.PolygonTools.lat_lon_to_sample_line,N,Method not found in current binding files
Static/Factory,static geos::geom::MultiPolygon *CopyMultiPolygon(const geos::geom::MultiPolygon *mpolygon),isis_pybind.PolygonTools.copy_multi_polygon,N,Method not found in current binding files
Static/Factory,static geos::geom::MultiPolygon *CopyMultiPolygon(const geos::geom::MultiPolygon &mpolygon),isis_pybind.PolygonTools.copy_multi_polygon,N,Method not found in current binding files
Static/Factory,static geos::geom::MultiPolygon *Despike(const geos::geom::Geometry *geom),isis_pybind.PolygonTools.despike,N,Method not found in current binding files
Static/Factory,static geos::geom::MultiPolygon *Despike(const geos::geom::MultiPolygon *multiPoly),isis_pybind.PolygonTools.despike,N,Method not found in current binding files
Static/Factory,static geos::geom::LinearRing *Despike(const geos::geom::LineString *linearRing),isis_pybind.PolygonTools.despike,N,Method not found in current binding files
Static/Factory,static geos::geom::MultiPolygon *To180(geos::geom::MultiPolygon *poly360),isis_pybind.PolygonTools.to180,N,Method not found in current binding files
Static/Factory,static QString GMLSchema(),isis_pybind.PolygonTools.gml_schema,N,Method not found in current binding files
Static/Factory,static double Thickness(const geos::geom::MultiPolygon *mpolygon),isis_pybind.PolygonTools.thickness,N,Method not found in current binding files
Static/Factory,"static geos::geom::Geometry *Intersect(const geos::geom::Geometry *geom1, const geos::geom::Geometry *geom2)",isis_pybind.PolygonTools.intersect,N,Method not found in current binding files
Static/Factory,"static geos::geom::Geometry *Difference(const geos::geom::Geometry *geom1, const geos::geom::Geometry *geom2)",isis_pybind.PolygonTools.difference,N,Method not found in current binding files
Static/Factory,static geos::geom::MultiPolygon *MakeMultiPolygon(const geos::geom::Geometry *geom),isis_pybind.PolygonTools.make_multi_polygon,N,Method not found in current binding files
Static/Factory,static QString GetGeometryName(const geos::geom::Geometry *geom),isis_pybind.PolygonTools.get_geometry_name,N,Method not found in current binding files
Static/Factory,"static bool Equal(const geos::geom::MultiPolygon *poly1, const geos::geom::MultiPolygon *poly2)",isis_pybind.PolygonTools.equal,N,Method not found in current binding files
Static/Factory,"static bool Equal(const geos::geom::Polygon *poly1, const geos::geom::Polygon *poly2)",isis_pybind.PolygonTools.equal,N,Method not found in current binding files
Static/Factory,"static bool Equal(const geos::geom::LineString *lineString1, const geos::geom::LineString *lineString2)",isis_pybind.PolygonTools.equal,N,Method not found in current binding files
Static/Factory,"static bool Equal(const geos::geom::Coordinate &coord1, const geos::geom::Coordinate &coord2)",isis_pybind.PolygonTools.equal,N,Method not found in current binding files
Static/Factory,"static bool Equal(const double d1, const double d2)",isis_pybind.PolygonTools.equal,N,Method not found in current binding files
Static/Factory,static geos::geom::MultiPolygon *FixSeam(const geos::geom::MultiPolygon *poly),isis_pybind.PolygonTools.fix_seam,N,Method not found in current binding files
Static/Factory,"static geos::geom::MultiPolygon *FixSeam(const geos::geom::Polygon *polyA, const geos::geom::Polygon *polyB)",isis_pybind.PolygonTools.fix_seam,N,Method not found in current binding files
Static/Factory,"static geos::geom::Geometry *ReducePrecision(const geos::geom::Geometry *geom, unsigned int precision)",isis_pybind.PolygonTools.reduce_precision,N,Method not found in current binding files
Static/Factory,"static geos::geom::MultiPolygon *ReducePrecision(const geos::geom::MultiPolygon *poly, unsigned int precision)",isis_pybind.PolygonTools.reduce_precision,N,Method not found in current binding files
Static/Factory,"static geos::geom::Polygon *ReducePrecision(const geos::geom::Polygon *poly, unsigned int precision)",isis_pybind.PolygonTools.reduce_precision,N,Method not found in current binding files
Static/Factory,"static geos::geom::LinearRing *ReducePrecision(const geos::geom::LinearRing *ring, unsigned int precision)",isis_pybind.PolygonTools.reduce_precision,N,Method not found in current binding files
Static/Factory,"static geos::geom::Coordinate *ReducePrecision(const geos::geom::Coordinate *coord, unsigned int precision)",isis_pybind.PolygonTools.reduce_precision,N,Method not found in current binding files
Static/Factory,"static double ReducePrecision(double num, unsigned int precision)",isis_pybind.PolygonTools.reduce_precision,N,Method not found in current binding files
Static/Factory,"static geos::geom::MultiPolygon *FixPolePolygon(const geos::geom::MultiPolygon *polePolygon, UniversalGroundMap *ugm)",isis_pybind.PolygonTools.fix_pole_polygon,N,Method not found in current binding files
Static/Factory,static geos::geom::MultiPolygon *SplitPolygonOn360(const geos::geom::Polygon *inPoly),isis_pybind.PolygonTools.split_polygon_on360,N,Method not found in current binding files
