Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ProcessByBrick,High Level Cube I/O,isis/src/base/objs/ProcessByBrick/ProcessByBrick.h,isis_pybind_standalone/src/bind_high_level_cube_io.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,抽象基类/纯虚接口；流程/回调接口较多

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ProcessByBrick,isis_pybind.ProcessByTile,Y,Python class symbol is exported; 抽象基类/纯虚接口；流程/回调接口较多
Construction/Enum,"IOCubes enum (InPlace, InputOutput, InputOutputList)",isis_pybind.ProcessByTile.IOCubes,N,抽象基类/纯虚接口；流程/回调接口较多
Construction/Enum,"ProcessingDirection enum (LinesFirst, BandsFirst)",isis_pybind.ProcessByTile.ProcessingDirection,N,抽象基类/纯虚接口；流程/回调接口较多
Construction/Enum,ProcessByBrick(),isis_pybind.ProcessByTile(),Y,Constructor is explicitly bound
Mutation/Configuration,"Cube *SetInputCube(const QString &parameter, int requirements = 0)",isis_pybind.ProcessByTile.set_input_cube,Y,Current Python name
Mutation/Configuration,"Cube *SetInputCube(const QString &fname, const CubeAttributeInput &att, int requirements = 0)",isis_pybind.ProcessByTile.set_input_cube,Y,Current Python name
Mutation/Configuration,virtual void SetBricks(IOCubes cn),isis_pybind.ProcessByTile.set_bricks,Y,Current Python name
Public API,void VerifyCubes(IOCubes cn),isis_pybind.ProcessByTile.verify_cubes,N,抽象基类/纯虚接口；流程/回调接口较多
Mutation/Configuration,"void SetBrickSize(int ns, int nl, int nb)",isis_pybind.ProcessByTile.set_brick_size,N,抽象基类/纯虚接口；流程/回调接口较多
Mutation/Configuration,"void SetInputBrickSize(int ns, int nl, int nb)",isis_pybind.ProcessByTile.set_input_brick_size,N,抽象基类/纯虚接口；流程/回调接口较多
Mutation/Configuration,"void SetInputBrickSize(int ns, int nl, int nb, int cube)",isis_pybind.ProcessByTile.set_input_brick_size,N,抽象基类/纯虚接口；流程/回调接口较多
