Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ProcessBySample,High Level Cube I/O,isis/src/base/objs/ProcessBySample/ProcessBySample.h,isis_pybind_standalone/src/bind_high_level_cube_io.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,流程/回调接口较多

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ProcessBySample,isis_pybind.ProcessBySample,Y,Python class symbol is exported; 流程/回调接口较多
Construction/Enum,ProcessBySample(): ProcessByBrick() { SetWrap(true),isis_pybind.ProcessBySample(),Y,Constructor is explicitly bound
Mutation/Configuration,"Isis::Cube *SetInputCube(const QString &parameter, int requirements = 0)",isis_pybind.ProcessBySample.set_input_cube,Y,Current Python name
Mutation/Configuration,"Isis::Cube *SetInputCube(const QString &file, Isis::CubeAttributeInput &att, int requirements = 0)",isis_pybind.ProcessBySample.set_input_cube,Y,Current Python name
Public API,"template <typename Functor> void ProcessCubeInPlace(const Functor & funct, bool threaded = true) { VerifyCubes(InPlace)",isis_pybind.ProcessBySample.process_cube_in_place,N,流程/回调接口较多
Mutation/Configuration,SetBricks(InPlace),isis_pybind.ProcessBySample.set_bricks,N,流程/回调接口较多
Public API,"ProcessByBrick::ProcessCubeInPlace(funct, threaded)",isis_pybind.ProcessBySample.process_cube_in_place,N,流程/回调接口较多
Public API,"template <typename Functor> void ProcessCube(const Functor & funct, bool threaded = true) { VerifyCubes(InputOutput)",isis_pybind.ProcessBySample.process_cube,N,流程/回调接口较多
Mutation/Configuration,SetBricks(InputOutput),isis_pybind.ProcessBySample.set_bricks,N,流程/回调接口较多
Public API,"ProcessByBrick::ProcessCube(funct, threaded)",isis_pybind.ProcessBySample.process_cube,N,流程/回调接口较多
Public API,"template <typename Functor> void ProcessCubes(const Functor & funct, bool threaded = true) { VerifyCubes(InputOutputList)",isis_pybind.ProcessBySample.process_cubes,N,流程/回调接口较多
Mutation/Configuration,SetBricks(InputOutputList),isis_pybind.ProcessBySample.set_bricks,N,流程/回调接口较多
Public API,"ProcessByBrick::ProcessCubes(funct, threaded)",isis_pybind.ProcessBySample.process_cubes,N,流程/回调接口较多
