Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ProcessImport,High Level Cube I/O,isis/src/base/objs/ProcessImport/ProcessImport.h,isis_pybind_standalone/src/bind_high_level_cube_io.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,流程/回调接口较多

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ProcessImport,isis_pybind.ProcessImportVicar,Y,Python class symbol is exported; 流程/回调接口较多
Construction/Enum,"VAXDataType enum (VAX_REAL, VAX_INT)",isis_pybind.ProcessImportVicar.VAXDataType,N,流程/回调接口较多
Construction/Enum,"VAXSpecialPixel enum (VAX_MIN4, VAX_NULL4, VAX_LRS4, VAX_LIS4, VAX_HIS4, VAX_HRS4)",isis_pybind.ProcessImportVicar.VAXSpecialPixel,N,流程/回调接口较多
Construction/Enum,"Interleave enum (InterleaveUndefined, JP2, BSQ, BIL, BIP)",isis_pybind.ProcessImportVicar.Interleave,N,流程/回调接口较多
Construction/Enum,ProcessImport(),isis_pybind.ProcessImportVicar(),Y,Constructor is explicitly bound
Public API,virtual void StartProcess(),isis_pybind.ProcessImportVicar.start_process,N,流程/回调接口较多
Mutation/Configuration,void SetInputFile(const QString &file),isis_pybind.ProcessImportVicar.set_input_file,N,流程/回调接口较多
Public API,QString InputFile(),isis_pybind.ProcessImportVicar.input_file,N,流程/回调接口较多
Mutation/Configuration,Isis::Cube *SetOutputCube(const QString &parameter),isis_pybind.ProcessImportVicar.set_output_cube,N,流程/回调接口较多
Mutation/Configuration,"Isis::Cube *SetOutputCube(const QString &parameter, UserInterface &ui)",isis_pybind.ProcessImportVicar.set_output_cube,N,流程/回调接口较多
Mutation/Configuration,"virtual Isis::Cube *SetOutputCube(const QString &fname, Isis::CubeAttributeOutput &att)",isis_pybind.ProcessImportVicar.set_output_cube,N,流程/回调接口较多
Mutation/Configuration,void SetAttributes(CubeAttributeOutput &att),isis_pybind.ProcessImportVicar.set_attributes,N,流程/回调接口较多
Mutation/Configuration,void SetPixelType(const Isis::PixelType type),isis_pybind.ProcessImportVicar.set_pixel_type,N,流程/回调接口较多
Public API,Isis::PixelType PixelType() { return p_pixelType,isis_pybind.ProcessImportVicar.pixel_type,N,流程/回调接口较多
Mutation/Configuration,"void SetDimensions(const int ns, const int nl, const int nb)",isis_pybind.ProcessImportVicar.set_dimensions,N,流程/回调接口较多
Public API,int Samples() { return p_ns,isis_pybind.ProcessImportVicar.samples,N,流程/回调接口较多
Public API,int Lines() { return p_nl,isis_pybind.ProcessImportVicar.lines,N,流程/回调接口较多
Public API,int Bands() { return p_nb,isis_pybind.ProcessImportVicar.bands,N,流程/回调接口较多
Mutation/Configuration,void SetByteOrder(const Isis::ByteOrder order),isis_pybind.ProcessImportVicar.set_byte_order,N,流程/回调接口较多
Public API,Isis::ByteOrder ByteOrder() { return p_byteOrder,isis_pybind.ProcessImportVicar.byte_order,N,流程/回调接口较多
Query,"bool IsVAXSpecial(unsigned int *vax, VAXSpecialPixel pix)",isis_pybind.ProcessImportVicar.is_vax_special,N,流程/回调接口较多
Public API,double VAXConversion(void *ibuf),isis_pybind.ProcessImportVicar.vax_conversion,N,流程/回调接口较多
Mutation/Configuration,"void SetSuffixOffset(int samples,int lines, int coreBands, int itemBytes)",isis_pybind.ProcessImportVicar.set_suffix_offset,N,流程/回调接口较多
Mutation/Configuration,void SetSuffixPixelType(const Isis::PixelType type),isis_pybind.ProcessImportVicar.set_suffix_pixel_type,N,流程/回调接口较多
Mutation/Configuration,void SetVAXConvert(const bool vax_convert),isis_pybind.ProcessImportVicar.set_vax_convert,N,流程/回调接口较多
Mutation/Configuration,void SetFileHeaderBytes(const int bytes),isis_pybind.ProcessImportVicar.set_file_header_bytes,N,流程/回调接口较多
Mutation/Configuration,void SetFileTrailerBytes(const int bytes),isis_pybind.ProcessImportVicar.set_file_trailer_bytes,N,流程/回调接口较多
Mutation/Configuration,void SetDataHeaderBytes(const int bytes),isis_pybind.ProcessImportVicar.set_data_header_bytes,N,流程/回调接口较多
Mutation/Configuration,void SetDataTrailerBytes(const int bytes),isis_pybind.ProcessImportVicar.set_data_trailer_bytes,N,流程/回调接口较多
Mutation/Configuration,void SetDataPrefixBytes(const int bytes),isis_pybind.ProcessImportVicar.set_data_prefix_bytes,N,流程/回调接口较多
Mutation/Configuration,void SetDataSuffixBytes(const int bytes),isis_pybind.ProcessImportVicar.set_data_suffix_bytes,N,流程/回调接口较多
Read/Write IO,void SaveFileHeader(),isis_pybind.ProcessImportVicar.save_file_header,N,流程/回调接口较多
Read/Write IO,void SaveFileTrailer(),isis_pybind.ProcessImportVicar.save_file_trailer,N,流程/回调接口较多
Read/Write IO,void SaveDataHeader(),isis_pybind.ProcessImportVicar.save_data_header,N,流程/回调接口较多
Read/Write IO,void SaveDataTrailer(),isis_pybind.ProcessImportVicar.save_data_trailer,N,流程/回调接口较多
Read/Write IO,void SaveDataPrefix(),isis_pybind.ProcessImportVicar.save_data_prefix,N,流程/回调接口较多
Read/Write IO,void SaveDataSuffix(),isis_pybind.ProcessImportVicar.save_data_suffix,N,流程/回调接口较多
Public API,int FileHeaderBytes() const,isis_pybind.ProcessImportVicar.file_header_bytes,N,流程/回调接口较多
Public API,int FileTrailerBytes() const,isis_pybind.ProcessImportVicar.file_trailer_bytes,N,流程/回调接口较多
Public API,int DataHeaderBytes() const,isis_pybind.ProcessImportVicar.data_header_bytes,N,流程/回调接口较多
Public API,int DataTrailerBytes() const,isis_pybind.ProcessImportVicar.data_trailer_bytes,N,流程/回调接口较多
