Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ProcessMapMosaic,High Level Cube I/O,isis/src/base/objs/ProcessMapMosaic/ProcessMapMosaic.h,src/bind_high_level_cube_io.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,流程/回调接口较多

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ProcessMapMosaic,isis_pybind.ProcessMapMosaic,Y,2026-04-13 台账同步；顶层导出已存在（src/bind_high_level_cube_io.cpp）
Construction/Enum,ProcessMapMosaic(),isis_pybind.ProcessMapMosaic(),Y,2026-04-13 台账同步；构造入口已在当前绑定中可用（src/bind_high_level_cube_io.cpp）
Mutation/Configuration,"virtual Isis::Cube *SetOutputCube(FileList &propagationCubes, CubeAttributeOutput &oAtt, const QString &mosaicFile)",isis_pybind.ProcessMapMosaic.set_output_cube,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_high_level_cube_io.cpp）
Public API,"Isis::Cube *RingsSetOutputCube(FileList &propagationCubes, CubeAttributeOutput &oAtt, const QString &mosaicFile)",isis_pybind.ProcessMapMosaic.rings_set_output_cube,N,流程/回调接口较多
Mutation/Configuration,"virtual Isis::Cube *SetOutputCube(FileList &propagationCubes, double slat, double elat, double slon, double elon, CubeAttributeOutput &oAtt, const QString &mosaicFile)",isis_pybind.ProcessMapMosaic.set_output_cube,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_high_level_cube_io.cpp）
Public API,"Isis::Cube *RingsSetOutputCube(FileList &propagationCubes, double srad, double erad, double saz, double eaz, CubeAttributeOutput &oAtt, const QString &mosaicFile)",isis_pybind.ProcessMapMosaic.rings_set_output_cube,N,流程/回调接口较多
Mutation/Configuration,"virtual Isis::Cube *SetOutputCube(const QString &inputFile, double xmin, double xmax, double ymin, double ymax, double slat, double elat, double slon, double elon, int nbands, CubeAttributeOutput &oAtt, const QString &mosaicFile, bool latlonflag=true)",isis_pybind.ProcessMapMosaic.set_output_cube,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_high_level_cube_io.cpp）
Public API,"Isis::Cube *RingsSetOutputCube(const QString &inputFile, double xmin, double xmax, double ymin, double ymax, double srad, double erad, double saz, double eaz, int nbands, CubeAttributeOutput &oAtt, const QString &mosaicFile)",isis_pybind.ProcessMapMosaic.rings_set_output_cube,N,流程/回调接口较多
Mutation/Configuration,"virtual Isis::Cube *SetOutputCube(const QString &inputFile, PvlGroup mapping, CubeAttributeOutput &oAtt, const QString &mosaicFile)",isis_pybind.ProcessMapMosaic.set_output_cube,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_high_level_cube_io.cpp）
Public API,"Isis::Cube *RingsSetOutputCube(const QString &inputFile, PvlGroup mapping, CubeAttributeOutput &oAtt, const QString &mosaicFile)",isis_pybind.ProcessMapMosaic.rings_set_output_cube,N,流程/回调接口较多
Mutation/Configuration,Isis::Cube *SetOutputCube(const QString &mosaicFile),isis_pybind.ProcessMapMosaic.set_output_cube,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_high_level_cube_io.cpp）
Public API,Isis::Cube *RingsSetOutputCube(const QString &mosaicFile),isis_pybind.ProcessMapMosaic.rings_set_output_cube,N,流程/回调接口较多
Mutation/Configuration,virtual Isis::Cube *SetInputCube(),isis_pybind.ProcessMapMosaic.set_input_cube,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_high_level_cube_io.cpp）
Public API,virtual bool StartProcess(QString inputFile),isis_pybind.ProcessMapMosaic.start_process,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/bind_high_level_cube_io.cpp）
