Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ProjectionFactory,Map Projection,isis/src/base/objs/ProjectionFactory/ProjectionFactory.h,isis_pybind_standalone/src/base/bind_base_projection.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,工厂类，静态创建接口较多；基础单测已补

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ProjectionFactory,isis_pybind.ProjectionFactory,Y,Python class symbol is exported; constructor exposure may be limited; 工厂类，静态创建接口较多；基础单测已补
Static/Factory,"static Isis::Projection *Create(Isis::Pvl &label, bool allowDefaults = false)",isis_pybind.ProjectionFactory.create,N,工厂类，静态创建接口较多；基础单测已补
Static/Factory,"static Isis::Projection *RingsCreate(Isis::Pvl &label, bool allowDefaults = false)",isis_pybind.ProjectionFactory.rings_create,N,工厂类，静态创建接口较多；基础单测已补
Static/Factory,static Isis::Projection *CreateFromCube(Isis::Cube &cube),isis_pybind.ProjectionFactory.create_from_cube,N,工厂类，静态创建接口较多；基础单测已补
Static/Factory,static Isis::Projection *RingsCreateFromCube(Isis::Cube &cube),isis_pybind.ProjectionFactory.rings_create_from_cube,N,工厂类，静态创建接口较多；基础单测已补
Static/Factory,static Isis::Projection *CreateFromCube(Isis::Pvl &label),isis_pybind.ProjectionFactory.create_from_cube,N,工厂类，静态创建接口较多；基础单测已补
Static/Factory,static Isis::Projection *RingsCreateFromCube(Isis::Pvl &label),isis_pybind.ProjectionFactory.rings_create_from_cube,N,工厂类，静态创建接口较多；基础单测已补
Static/Factory,"static Isis::Projection *CreateForCube(Isis::Pvl &label, int &ns, int &nl, bool sizeMatch = true)",isis_pybind.ProjectionFactory.create_for_cube,N,工厂类，静态创建接口较多；基础单测已补
Static/Factory,"static Isis::Projection *RingsCreateForCube(Isis::Pvl &label, int &samples, int &lines, bool sizeMatch)",isis_pybind.ProjectionFactory.rings_create_for_cube,N,工厂类，静态创建接口较多；基础单测已补
Static/Factory,"static Isis::Projection *CreateForCube(Isis::Pvl &label, int &samples, int &lines, Camera &cam)",isis_pybind.ProjectionFactory.create_for_cube,N,工厂类，静态创建接口较多；基础单测已补
Static/Factory,"static Isis::Projection *RingsCreateForCube(Isis::Pvl &label, int &samples, int &lines, Camera &cam)",isis_pybind.ProjectionFactory.rings_create_for_cube,N,工厂类，静态创建接口较多；基础单测已补
