Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PushFrameCameraCcdLayout,"Spice, Instruments, and Cameras",reference/upstream_isis/src/base/objs/PushFrameCameraCcdLayout/PushFrameCameraCcdLayout.h,src/bind_camera_maps.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PushFrameCameraCcdLayout,isis_pybind.PushFrameCameraCcdLayout,Y,2026-04-10 绑定
Public API,"struct FrameletInfo { FrameletInfo() ...}",isis_pybind.FrameletInfo,Y,2026-04-10 绑定为独立 Python 类 FrameletInfo（含所有字段）
Construction/Enum,PushFrameCameraCcdLayout(),isis_pybind.PushFrameCameraCcdLayout(),Y,2026-04-10 绑定默认构造函数
Construction/Enum,PushFrameCameraCcdLayout(const int ccdId),isis_pybind.PushFrameCameraCcdLayout(ccd_id),Y,2026-04-10 绑定
Mutation/Configuration,bool addKernel(const QString &kernel),isis_pybind.PushFrameCameraCcdLayout.add_kernel,Y,2026-04-10 绑定
Public API,int ccdSamples() const,isis_pybind.PushFrameCameraCcdLayout.ccd_samples,Y,2026-04-10 绑定；需要 SPICE 内核
Public API,int ccdLines() const,isis_pybind.PushFrameCameraCcdLayout.ccd_lines,Y,2026-04-10 绑定；需要 SPICE 内核
Public API,"FrameletInfo getFrameInfo(const int &frameId, const QString &name = """") const",isis_pybind.PushFrameCameraCcdLayout.get_frame_info,Y,2026-04-10 绑定；需要 SPICE 内核
Private,int getSpiceInt(const QString &var, const int index = 0) const,N/A,N,私有方法
Private,double getSpiceDouble(const QString &var, const int index = 0) const,N/A,N,私有方法
