Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PvlContainer,Parsing,isis/src/base/objs/PvlContainer/PvlContainer.h,isis_pybind_standalone/src/base/bind_base_pvl.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PvlContainer,isis_pybind.PvlObject,Y,Python class symbol is exported
Construction/Enum,"InsertMode enum (Append, Replace)",isis_pybind.PvlObject.InsertMode,N,Enum exposure not detected in current binding files
Construction/Enum,PvlContainer(),isis_pybind.PvlObject(),Y,Constructor is explicitly bound
Mutation/Configuration,void setName(const QString &name) { m_name.setValue(name),isis_pybind.PvlObject.set_name,N,Method not found in current binding files
Public API,inline QString name() const { return (QString) m_name,isis_pybind.PvlObject.name,Y,Current Python name
Query,"bool isNamed(const QString &match) const { return PvlKeyword::stringEqual(match, (QString)m_name)",isis_pybind.PvlObject.is_named,N,Method not found in current binding files
Public API,inline QString type() const { return m_name.name(),isis_pybind.PvlObject.type,N,Method not found in current binding files
Public API,inline int keywords() const { return m_keywords.size(),isis_pybind.PvlObject.keywords,N,Method not found in current binding files
Mutation/Configuration,void clear() { m_keywords.clear(),isis_pybind.PvlObject.clear,N,Method not found in current binding files
Mutation/Configuration,"void addKeyword(const PvlKeyword &keyword, const InsertMode mode = Append)",isis_pybind.PvlObject.add_keyword,N,Method not found in current binding files
Public API,PvlKeyword &findKeyword(const QString &name),isis_pybind.PvlObject.find_keyword,N,Method not found in current binding files
Public API,const PvlKeyword &findKeyword(const QString &name) const,isis_pybind.PvlObject.find_keyword,N,Method not found in current binding files
Query,bool hasKeyword(const QString &name) const,isis_pybind.PvlObject.has_keyword,N,Method not found in current binding files
Public API,"PvlKeywordIterator findKeyword(const QString &name, PvlKeywordIterator beg, PvlKeywordIterator end)",isis_pybind.PvlObject.find_keyword,N,Method not found in current binding files
Public API,"ConstPvlKeywordIterator findKeyword(const QString &name, ConstPvlKeywordIterator beg, ConstPvlKeywordIterator end) const",isis_pybind.PvlObject.find_keyword,N,Method not found in current binding files
Mutation/Configuration,"PvlKeywordIterator addKeyword(const PvlKeyword &keyword, PvlKeywordIterator pos)",isis_pybind.PvlObject.add_keyword,N,Method not found in current binding files
Public API,PvlKeywordIterator begin() { return m_keywords.begin(),isis_pybind.PvlObject.begin,N,Method not found in current binding files
Public API,ConstPvlKeywordIterator begin() const { return m_keywords.begin(),isis_pybind.PvlObject.begin,N,Method not found in current binding files
Public API,PvlKeywordIterator end() { return m_keywords.end(),isis_pybind.PvlObject.end,N,Method not found in current binding files
Public API,ConstPvlKeywordIterator end() const { return m_keywords.end(),isis_pybind.PvlObject.end,N,Method not found in current binding files
Mutation/Configuration,void deleteKeyword(const QString &name),isis_pybind.PvlObject.delete_keyword,N,Method not found in current binding files
Mutation/Configuration,void deleteKeyword(const int index),isis_pybind.PvlObject.delete_keyword,N,Method not found in current binding files
Public API,bool cleanDuplicateKeywords(),isis_pybind.PvlObject.clean_duplicate_keywords,N,Method not found in current binding files
Public API,QString fileName() const { return m_filename,isis_pybind.PvlObject.file_name,N,Method not found in current binding files
Mutation/Configuration,void setFormatTemplate(PvlContainer &ref) { m_formatTemplate = &ref,isis_pybind.PvlObject.set_format_template,N,Method not found in current binding files
Query,bool hasFormatTemplate() { return m_formatTemplate != NULL,isis_pybind.PvlObject.has_format_template,N,Method not found in current binding files
Public API,PvlContainer *formatTemplate() { return m_formatTemplate,isis_pybind.PvlObject.format_template,N,Method not found in current binding files
Public API,PvlFormat *format() { return m_name.format(),isis_pybind.PvlObject.format,N,Method not found in current binding files
Mutation/Configuration,void setFormat(PvlFormat *format) { m_name.setFormat(format),isis_pybind.PvlObject.set_format,N,Method not found in current binding files
Public API,int indent() { return m_name.indent(),isis_pybind.PvlObject.indent,N,Method not found in current binding files
Mutation/Configuration,void setIndent(int indent) { m_name.setIndent(indent),isis_pybind.PvlObject.set_indent,N,Method not found in current binding files
Public API,inline int comments() const { return m_name.comments(),isis_pybind.PvlObject.comments,N,Method not found in current binding files
Public API,QString comment(const int index) const { return m_name.comment(index),isis_pybind.PvlObject.comment,N,Method not found in current binding files
Mutation/Configuration,void addComment(const QString &comment) { m_name.addComment(comment),isis_pybind.PvlObject.add_comment,N,Method not found in current binding files
Public API,PvlKeyword &nameKeyword() { return m_name,isis_pybind.PvlObject.name_keyword,N,Method not found in current binding files
Public API,const PvlKeyword &nameKeyword() const { return m_name,isis_pybind.PvlObject.name_keyword,N,Method not found in current binding files
