Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PvlFormat,Parsing,reference/upstream_isis/src/base/objs/PvlFormat/PvlFormat.h,src/base/bind_base_pvl.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已在 src/base/bind_base_pvl.cpp 完成绑定；KeywordType enum 一并暴露

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PvlFormat,isis_pybind.PvlFormat,Y,Exposed as py::class_<Isis::PvlFormat>
Enum,KeywordType (namespace-level enum),isis_pybind.KeywordType,Y,8 values exposed via py::enum_
Construction/Enum,PvlFormat(),isis_pybind.PvlFormat(),Y,Default constructor
Construction/Enum,"PvlFormat(const QString &file)",isis_pybind.PvlFormat(file),Y,File-based constructor via lambda
Construction/Enum,PvlFormat(Pvl &keymap),isis_pybind.PvlFormat(keymap),Y,Pvl-based constructor
Mutation/Configuration,"void add(const QString &file)",isis_pybind.PvlFormat.add,Y,Overloaded for file path
Mutation/Configuration,void add(Pvl &keymap),isis_pybind.PvlFormat.add,Y,Overloaded for Pvl object
Mutation/Configuration,void setCharLimit(unsigned int),isis_pybind.PvlFormat.set_char_limit,Y,
Public API,unsigned int charLimit() const,isis_pybind.PvlFormat.char_limit,Y,
Public API,"virtual QString formatValue(const PvlKeyword &, int)",isis_pybind.PvlFormat.format_value,Y,Returns str
Public API,virtual QString formatName(const PvlKeyword &),isis_pybind.PvlFormat.format_name,Y,Returns str
Public API,"virtual QString formatEnd(const QString, const PvlKeyword &)",Y,2026-04-12 已在 src/base/bind_base_pvl.cpp 暴露为 format_end(name, keyword)；focused 单测覆盖 keyword-name 路径
Public API,virtual QString formatEOL(),isis_pybind.PvlFormat.format_eol,Y,Returns str
Public API,virtual KeywordType type(const PvlKeyword &),isis_pybind.PvlFormat.type,Y,Returns KeywordType enum
Public API,virtual int accuracy(const PvlKeyword &),isis_pybind.PvlFormat.accuracy,Y,Returns int
Public API,virtual QString addQuotes(const QString),isis_pybind.PvlFormat.add_quotes,Y,Returns str
Public API,bool isSingleUnit(const PvlKeyword &),isis_pybind.PvlFormat.is_single_unit,Y,Returns bool
Protected API,void init(),N,Private initialisation; not needed in Python
Python Protocol,__repr__,isis_pybind.PvlFormat.__repr__,Y,PvlFormat()
