Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PvlFormatPds,Parsing,reference/upstream_isis/src/base/objs/PvlFormatPds/PvlFormatPds.h,src/base/bind_base_pvl.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已在 src/base/bind_base_pvl.cpp 完成绑定；继承 PvlFormat

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PvlFormatPds,isis_pybind.PvlFormatPds,Y,Inherits from PvlFormat
Construction/Enum,PvlFormatPds(),isis_pybind.PvlFormatPds(),Y,Default constructor
Construction/Enum,"PvlFormatPds(const QString &file)",isis_pybind.PvlFormatPds(file),Y,File-based constructor via lambda
Construction/Enum,PvlFormatPds(Pvl &keymap),isis_pybind.PvlFormatPds(keymap),Y,Pvl-based constructor
Public API,"virtual QString formatValue(const PvlKeyword &, int)",isis_pybind.PvlFormatPds.format_value,Y,PDS-specific value formatting
Public API,virtual QString formatName(const PvlKeyword &),isis_pybind.PvlFormatPds.format_name,Y,PDS-specific name formatting
Public API,virtual QString formatEOL(),isis_pybind.PvlFormatPds.format_eol,Y,Returns CRLF
Public API,"virtual QString formatEnd(const QString, const PvlKeyword &)",N,Rarely used directly
Protected API,virtual QString addQuotes(const QString),N,Protected
Protected API,QString formatString/Integer/Real/Enum/Binary/Hex/Bool/Unknown,N,Protected helper methods
Private API,void init(),N,Private initialisation
Python Protocol,__repr__,isis_pybind.PvlFormatPds.__repr__,Y,PvlFormatPds()
