Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PvlSequence,Parsing,isis/src/base/objs/PvlSequence/PvlSequence.h,src/base/bind_base_pvl.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PvlSequence,isis_pybind.PvlSequence,Y,Python class symbol bound in bind_base_pvl.cpp
Construction/Enum,PvlSequence(),isis_pybind.PvlSequence(),Y,Default constructor bound
Query,inline int Size() const { return p_sequence.size(),isis_pybind.PvlSequence.size,Y,Method bound with __len__ alias
Mutation/Configuration,inline void Clear() { p_sequence.clear(),isis_pybind.PvlSequence.clear,Y,Method bound
Indexing,std::vector<QString> &operator[](int i),isis_pybind.PvlSequence.__getitem__,Y,Bound with QString to string conversion
Assignment,PvlSequence &operator=(PvlKeyword &key),isis_pybind.PvlSequence.assign_from_keyword,Y,Bound as named method
Addition,PvlSequence &operator+=(const QString &array),isis_pybind.PvlSequence.add_array,Y,Bound as add_array method
Addition,PvlSequence &operator+=(std::vector<QString>&),isis_pybind.PvlSequence.add_string_vector,Y,Bound as add_string_vector method
Addition,PvlSequence &operator+=(std::vector<int>&),isis_pybind.PvlSequence.add_int_vector,Y,Bound as add_int_vector method
Addition,PvlSequence &operator+=(std::vector<double>&),isis_pybind.PvlSequence.add_double_vector,Y,Bound as add_double_vector method
