Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PvlToPvlTranslationManager,Parsing,reference/upstream_isis/src/base/objs/PvlToPvlTranslationManager/PvlToPvlTranslationManager.h,src/base/bind_base_pvl.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已在 src/base/bind_base_pvl.cpp 完成绑定

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PvlToPvlTranslationManager,isis_pybind.PvlToPvlTranslationManager,Y,Inherits LabelTranslationManager
Construction/Enum,PvlToPvlTranslationManager(const QString &transFile),isis_pybind.PvlToPvlTranslationManager(trans_file),Y,From file path
Construction/Enum,PvlToPvlTranslationManager(std::istream &),isis_pybind.PvlToPvlTranslationManager(trans_text from_string=True),Y,Wraps istringstream
Construction/Enum,"PvlToPvlTranslationManager(Pvl &, const QString &)",isis_pybind.PvlToPvlTranslationManager(input_label trans_file),Y,Label + file path
Construction/Enum,"PvlToPvlTranslationManager(Pvl &, std::istream &)",isis_pybind.PvlToPvlTranslationManager(input_label trans_text from_string=True),Y,Label + string stream
Public API,"virtual QString Translate(QString, int findex=0)",isis_pybind.PvlToPvlTranslationManager.translate,Y,Returns translated str
Public API,"void Auto(Pvl &outputLabel)",isis_pybind.PvlToPvlTranslationManager.auto_translate,Y,Overloaded
Public API,"void Auto(Pvl &inputLabel, Pvl &outputLabel)",isis_pybind.PvlToPvlTranslationManager.auto_translate,Y,Two-arg overload
Public API,virtual bool InputHasKeyword(const QString),isis_pybind.PvlToPvlTranslationManager.input_has_keyword,Y,Returns bool
Public API,void SetLabel(Pvl &inputLabel),isis_pybind.PvlToPvlTranslationManager.set_label,Y,Sets input label
Protected API,virtual PvlKeyword DoTranslation(const QString),N,Protected
Protected API,virtual const PvlContainer *GetContainer(const PvlKeyword &),N,Protected
Protected API,virtual PvlContainer *CreateContainer(const QString Pvl &),N,Protected
Python Protocol,__repr__,isis_pybind.PvlToPvlTranslationManager.__repr__,Y,PvlToPvlTranslationManager()
