Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PvlToXmlTranslationManager,Parsing,isis/src/base/objs/PvlToXmlTranslationManager/PvlToXmlTranslationManager.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PvlToXmlTranslationManager,isis_pybind.PvlToXmlTranslationManager,N,Python class symbol not found in current binding files
Construction/Enum,PvlToXmlTranslationManager(),isis_pybind.PvlToXmlTranslationManager(),N,Constructor binding not detected in current binding files
Public API,"virtual QString Translate(QString translationGroupName, int inputIndex = 0)",isis_pybind.PvlToXmlTranslationManager.translate,N,Method not found in current binding files
Public API,void Auto(QDomDocument &outputLabel),isis_pybind.PvlToXmlTranslationManager.auto,N,Method not found in current binding files
Public API,"void Auto(Pvl &inputLabel, QDomDocument &outputLabel)",isis_pybind.PvlToXmlTranslationManager.auto,N,Method not found in current binding files
Public API,virtual const PvlKeyword &InputKeyword(const QString translationGroupName) const,isis_pybind.PvlToXmlTranslationManager.input_keyword,N,Method not found in current binding files
Public API,virtual bool InputHasKeyword(const QString translationGroupName),isis_pybind.PvlToXmlTranslationManager.input_has_keyword,N,Method not found in current binding files
Mutation/Configuration,void SetLabel(Pvl &inputLabel),isis_pybind.PvlToXmlTranslationManager.set_label,N,Method not found in current binding files
Static/Factory,"static void addElement(QDomElement &parent, QString name, QString value, QString units = """")",isis_pybind.PvlToXmlTranslationManager.add_element,N,Method not found in current binding files
Static/Factory,"static void setElementValue(QDomElement &element, QString value, QString units = """")",isis_pybind.PvlToXmlTranslationManager.set_element_value,N,Method not found in current binding files
Static/Factory,"static void resetElementValue(QDomElement &element, QString value, QString units = """")",isis_pybind.PvlToXmlTranslationManager.reset_element_value,N,Method not found in current binding files
