Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
QuickFilter,Statistics,isis/src/base/objs/QuickFilter/QuickFilter.h,src/base/bind_base_filters.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,QuickFilter,isis_pybind.QuickFilter,Y,2026-04-13 台账同步；顶层导出已存在（src/base/bind_base_filters.cpp）
Construction/Enum,QuickFilter(),isis_pybind.QuickFilter(),Y,2026-04-13 台账同步；构造入口已在当前绑定中可用（src/base/bind_base_filters.cpp）
Public API,double Average(const int index),isis_pybind.QuickFilter.average,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,double Variance(const int index),isis_pybind.QuickFilter.variance,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Query,int Count(const int index),isis_pybind.QuickFilter.count,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,int Width() const,isis_pybind.QuickFilter.width,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,int HalfWidth() const,isis_pybind.QuickFilter.half_width,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,int Height() const,isis_pybind.QuickFilter.height,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,int HalfHeight() const,isis_pybind.QuickFilter.half_height,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,int Samples() const,isis_pybind.QuickFilter.samples,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,double Low() const,isis_pybind.QuickFilter.low,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,double High() const,isis_pybind.QuickFilter.high,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,int MinimumPixels() const,isis_pybind.QuickFilter.minimum_pixels,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Mutation/Configuration,void AddLine(const double *buf),isis_pybind.QuickFilter.add_line,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Mutation/Configuration,void RemoveLine(const double *buf),isis_pybind.QuickFilter.remove_line,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Public API,void Reset(),isis_pybind.QuickFilter.reset,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Mutation/Configuration,"void SetMinMax(const double minimum, const double maximum)",isis_pybind.QuickFilter.set_min_max,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
Mutation/Configuration,void SetMinimumPixels(const int minimumValid),isis_pybind.QuickFilter.set_minimum_pixels,Y,2026-04-13 台账同步；当前 Python 绑定可用（src/base/bind_base_filters.cpp）
