Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
RadarGroundMap,"Spice, Instruments, and Cameras",reference/upstream_isis/src/base/objs/RadarGroundMap/RadarGroundMap.h,src/bind_camera_maps.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-10 已在 src/bind_camera_maps.cpp 暴露构造、focal-plane、ground 设置及 sigma/wavelength 方法

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,RadarGroundMap,isis_pybind.RadarGroundMap,Y,2026-04-10
Construction/Enum,"RadarGroundMap(Camera*, Radar::LookDirection, double waveLength)",isis_pybind.RadarGroundMap(),Y,2026-04-10; LookDirection uses RadarLookDirection enum
Mutation/Configuration,"virtual bool SetFocalPlane(const double ux, const double uy, const double uz)",isis_pybind.RadarGroundMap.set_focal_plane,Y,2026-04-10
Mutation/Configuration,"virtual bool SetGround(const Latitude &lat, const Longitude &lon)",isis_pybind.RadarGroundMap.set_ground,Y,2026-04-10; overload 1
Mutation/Configuration,virtual bool SetGround(const SurfacePoint &surfacePoint),isis_pybind.RadarGroundMap.set_ground,Y,2026-04-10; overload 2
Public API,"virtual bool GetXY(const SurfacePoint &spoint, double *cudx, double *cudy, bool test=false)",isis_pybind.RadarGroundMap.get_xy,N,Complex out-pointer signature; skipped for now
Public API,"virtual bool GetdXYdPosition(const SpicePosition::PartialType varType, int coefIndex, double *cudx, double *cudy)",isis_pybind.RadarGroundMap.getd_x_yd_position,N,SpicePosition::PartialType dependency; skipped for now
Public API,"virtual bool GetdXYdPoint(std::vector<double> d_lookB, double *dx, double *dy)",isis_pybind.RadarGroundMap.getd_x_yd_point,N,Out-pointer pattern; skipped for now
Mutation/Configuration,void SetRangeSigma(double rangeSigma),isis_pybind.RadarGroundMap.set_range_sigma,Y,2026-04-10
Public API,double RangeSigma(),isis_pybind.RadarGroundMap.range_sigma,Y,2026-04-10
Mutation/Configuration,void SetDopplerSigma(double dopplerSigma),isis_pybind.RadarGroundMap.set_doppler_sigma,Y,2026-04-10
Public API,double YScale(),isis_pybind.RadarGroundMap.y_scale,Y,2026-04-10
Public API,double WaveLength(),isis_pybind.RadarGroundMap.wave_length,Y,2026-04-10
