Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
RawCubeChunk,Low Level Cube I/O,reference/upstream_isis/src/base/objs/Cube/RawCubeChunk.h,src/bind_low_level_cube_io.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已在 src/bind_low_level_cube_io.cpp 暴露 RawCubeChunk 原始字节块访问/dirty 状态接口，并补 focused 单测与 smoke 覆盖

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,RawCubeChunk,isis_pybind.RawCubeChunk,Y,Bound in src/bind_low_level_cube_io.cpp and re-exported from python/isis_pybind/__init__.py
Construction/Enum,RawCubeChunk(),isis_pybind.RawCubeChunk(),Y,Range-based constructor exposed in src/bind_low_level_cube_io.cpp
Query,bool isDirty() const,isis_pybind.RawCubeChunk.is_dirty,Y,Bound in src/bind_low_level_cube_io.cpp with focused cache-surface coverage
Public API,QByteArray &getRawData() const { return *m_rawBuffer,isis_pybind.RawCubeChunk.get_raw_data,Y,Bound as Python bytes in src/bind_low_level_cube_io.cpp
Mutation/Configuration,void setRawData(QByteArray rawData),isis_pybind.RawCubeChunk.set_raw_data,Y,Bound from Python bytes in src/bind_low_level_cube_io.cpp
Public API,unsigned char getChar(int offset) const,isis_pybind.RawCubeChunk.get_char,Y,Bound in src/bind_low_level_cube_io.cpp
Public API,short getShort(int offset) const,isis_pybind.RawCubeChunk.get_short,Y,Bound in src/bind_low_level_cube_io.cpp
Public API,float getFloat(int offset) const,isis_pybind.RawCubeChunk.get_float,Y,Bound in src/bind_low_level_cube_io.cpp
Public API,int getStartSample() const { return m_startSample,isis_pybind.RawCubeChunk.get_start_sample,Y,Bound in src/bind_low_level_cube_io.cpp
Public API,int getStartLine() const { return m_startLine,isis_pybind.RawCubeChunk.get_start_line,Y,Bound in src/bind_low_level_cube_io.cpp
Public API,int getStartBand() const { return m_startBand,isis_pybind.RawCubeChunk.get_start_band,Y,Bound in src/bind_low_level_cube_io.cpp
Public API,int sampleCount() const { return m_sampleCount,isis_pybind.RawCubeChunk.sample_count,Y,Bound in src/bind_low_level_cube_io.cpp
Public API,int lineCount() const { return m_lineCount,isis_pybind.RawCubeChunk.line_count,Y,Bound in src/bind_low_level_cube_io.cpp
Public API,int bandCount() const { return m_bandCount,isis_pybind.RawCubeChunk.band_count,Y,Bound in src/bind_low_level_cube_io.cpp
Public API,int getByteCount() const,isis_pybind.RawCubeChunk.get_byte_count,Y,Bound in src/bind_low_level_cube_io.cpp
Mutation/Configuration,"void setData(unsigned char value, int offset)",isis_pybind.RawCubeChunk.set_data,Y,Bound through Python-dispatched set_data(value, offset)
Mutation/Configuration,"void setData(short value, int offset)",isis_pybind.RawCubeChunk.set_data,Y,Bound through Python-dispatched set_data(value, offset)
Mutation/Configuration,"void setData(const float &value, const int &offset)",isis_pybind.RawCubeChunk.set_data,Y,Bound through Python-dispatched set_data(value, offset)
Mutation/Configuration,void setDirty(bool dirty),isis_pybind.RawCubeChunk.set_dirty,Y,Bound in src/bind_low_level_cube_io.cpp
