Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Resource,Utility,reference/upstream_isis/src/base/objs/Resource/Resource.h,src/base/bind_base_utility.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已在 src/base/bind_base_utility.cpp 完成 PVL/name 核心接口绑定（跳过 GisGeometry 与 QVariant asset 方法）；focused 单测在 tests/unitTest/resource_unit_test.py；smoke 已补符号

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Resource,isis_pybind.Resource,Y,py::class_<Isis::Resource> in bind_base_utility.cpp
Construction/Enum,Resource(),isis_pybind.Resource(),Y,默认构造；name 默认为 "Resource"
Construction/Enum,"Resource(const QString &name)",isis_pybind.Resource(name),Y,lambda 包装 QString
Construction/Enum,"Resource(const QString &name, const PvlFlatMap &profile)",N/A,N,跳过；PvlFlatMap 未绑定
Construction/Enum,"Resource(const QString &name, const PvlContainer &profile)",N/A,N,跳过；与 PvlFlatMap 重载等效
Construction/Enum,"Resource(const Resource &other)",isis_pybind.Resource(other),Y,拷贝构造
Construction/Enum,virtual ~Resource(),isis_pybind.Resource,Y,析构由 pybind11 自动管理
Public API,QString name() const,isis_pybind.Resource.name,Y,lambda 包装 QString
Public API,"void setName(const QString &identity)",isis_pybind.Resource.set_name,Y,lambda 包装 QString
Public API,"bool isEqual(const Resource &other) const",isis_pybind.Resource.is_equal,Y,直接绑定
Public API,"bool exists(const QString &keywordName) const",isis_pybind.Resource.exists,Y,lambda 包装 QString
Public API,"int count(const QString &keywordName) const",isis_pybind.Resource.count,Y,lambda 包装 QString
Public API,"bool isNull(const QString &keywordName, const int keywordIndex = 0) const",isis_pybind.Resource.is_null,Y,lambda 包装 QString
Public API,"const PvlFlatMap &keys() const",N/A,N,跳过；PvlFlatMap 未绑定
Public API,"QString value(const QString &keywordName, const int &keywordIndex = 0) const",isis_pybind.Resource.value,Y,lambda 包装 QString
Public API,"QString value(name, defValue, index) const",isis_pybind.Resource.value,Y,带默认值重载；lambda 包装
Public API,"PvlKeyword keyword(const QString &keywordName) const",N/A,N,暂未暴露；后续可补
Public API,"void add(const QString &keywordName, const QString &keywordValue)",isis_pybind.Resource.add,Y,lambda 包装 QString
Public API,"void add(const PvlKeyword &keyword)",isis_pybind.Resource.add,Y,直接绑定
Public API,"void add(const PvlFlatMap &keys)",N/A,N,跳过；PvlFlatMap 未绑定
Public API,"void append(const QString &keywordName, const QString &keywordValue)",isis_pybind.Resource.append,Y,lambda 包装 QString
Public API,"int erase(const QString &keywordName)",isis_pybind.Resource.erase,Y,lambda 包装 QString
Public API,"void add(GisGeometry *geom)",N/A,N,跳过；GisGeometry 未绑定
Public API,"void add(SharedGisGeometry &geom)",N/A,N,跳过；GisGeometry 未绑定
Public API,bool hasGeometry() const,N/A,N,跳过；依赖 GisGeometry
Public API,bool hasValidGeometry() const,N/A,N,跳过；依赖 GisGeometry
Public API,SharedGisGeometry geometry() const,N/A,N,跳过；依赖 GisGeometry
Public API,void activate(),isis_pybind.Resource.activate,Y,直接绑定
Public API,bool isActive() const,isis_pybind.Resource.is_active,Y,直接绑定
Public API,void discard(),isis_pybind.Resource.discard,Y,直接绑定
Public API,bool isDiscarded() const,isis_pybind.Resource.is_discarded,Y,直接绑定
Public API,"bool hasAsset(const QString &assetName) const",N/A,N,跳过；QVariant 资产系统暂不暴露
Public API,"void addAsset(const QString &assetName, QVariant &assetValue)",N/A,N,跳过；QVariant 未绑定
Public API,"QVariant asset(const QString &assetName) const",N/A,N,跳过；QVariant 未绑定
Public API,"int removeAsset(const QString &assetName)",N/A,N,跳过；QVariant 未绑定
Public API,int clearAssets(),N/A,N,跳过；QVariant 未绑定
Public API,"virtual Resource *copy() const",N/A,N,跳过；裸指针返回需额外 lifetime 管理
Public API,"virtual Resource *clone(const QString &name, ...) const",N/A,N,跳过；裸指针返回需额外 lifetime 管理
Public API,"virtual PvlObject toPvl(const QString &pvlName) const",isis_pybind.Resource.to_pvl,Y,lambda 包装 QString；返回 PvlObject
