Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
SparseBlockMatrix,Utility,isis/src/base/objs/SparseBlockMatrix/SparseBlockMatrix.h,src/base/bind_base_math.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-10 已在 src/base/bind_base_math.cpp 暴露构造/wipe/set_number_of_columns/zero_blocks/insert_matrix_block/get_block/number_of_blocks/diagonal/off_diagonal/elements/leading_columns/leading_rows；get_block 返回 list[list[float]] 或 None；focused 单测在 math_unit_test.py

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,SparseBlockMatrix,isis_pybind.SparseBlockMatrix,Y,Bound in src/base/bind_base_math.cpp
Construction/Enum,SparseBlockMatrix(),isis_pybind.SparseBlockMatrix(),Y,Default constructor bound
Public API,void wipe(),isis_pybind.SparseBlockMatrix.wipe,Y,Bound
Public API,void copy(const SparseBlockMatrix& src),isis_pybind.SparseBlockMatrix.copy,N,Not bound; pybind11 copy semantics for QList-derived classes are complex
Mutation/Configuration,bool setNumberOfColumns( int n ),isis_pybind.SparseBlockMatrix.set_number_of_columns,Y,Bound
Public API,void zeroBlocks(),isis_pybind.SparseBlockMatrix.zero_blocks,Y,Bound
Public API,"bool insertMatrixBlock(int nColumnBlock, int nRowBlock, int nRows, int nCols)",isis_pybind.SparseBlockMatrix.insert_matrix_block,Y,Bound
Public API,"LinearAlgebra::Matrix *getBlock(int column, int row)",isis_pybind.SparseBlockMatrix.get_block,Y,Bound; returns list[list[float]] or None (converts boost ublas matrix)
Public API,int numberOfBlocks(),isis_pybind.SparseBlockMatrix.number_of_blocks,Y,Bound
Public API,int numberOfDiagonalBlocks(),isis_pybind.SparseBlockMatrix.number_of_diagonal_blocks,Y,Bound
Public API,int numberOfOffDiagonalBlocks(),isis_pybind.SparseBlockMatrix.number_of_off_diagonal_blocks,Y,Bound
Public API,int numberOfElements(),isis_pybind.SparseBlockMatrix.number_of_elements,Y,Bound
Public API,void print(std::ostream& outstream),isis_pybind.SparseBlockMatrix.print,N,Not bound; uses ostream directly; use repr() or write() instead
Public API,void printClean(std::ostream& outstream),isis_pybind.SparseBlockMatrix.print_clean,N,Not bound; uses ostream directly
Read/Write IO,"bool write(std::ofstream &fp_out, bool binary=true)",isis_pybind.SparseBlockMatrix.write,N,Not bound; requires std::ofstream reference; complex file lifecycle
Public API,int getLeadingColumnsForBlock(int nblockColumn),isis_pybind.SparseBlockMatrix.get_leading_columns_for_block,Y,Bound
Public API,int getLeadingRowsForBlock(int nblockRow),isis_pybind.SparseBlockMatrix.get_leading_rows_for_block,Y,Bound
