Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Spice,"Spice, Instruments, and Cameras",isis/src/base/objs/Spice/Spice.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,已完成绑定；向量输出以 tuple 返回

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Spice,isis_pybind.Spice,Y,
Construction/Enum,Spice(),isis_pybind.Spice(),Y,
Mutation/Configuration,virtual void setTime(const iTime &time),isis_pybind.Spice.set_time,Y,
Public API,void instrumentPosition(double p[3]) const,isis_pybind.Spice.instrument_position_vector,Y,Python binding returns a 3-element tuple
Public API,virtual void instrumentBodyFixedPosition(double p[3]) const,isis_pybind.Spice.instrument_body_fixed_position,Y,
Public API,virtual void sunPosition(double p[3]) const,isis_pybind.Spice.sun_position_vector,Y,Python binding returns a 3-element tuple
Public API,virtual double targetCenterDistance() const,isis_pybind.Spice.target_center_distance,Y,
Public API,virtual double sunToBodyDist() const,isis_pybind.Spice.sun_to_body_distance,Y,
Public API,virtual Longitude solarLongitude(),isis_pybind.Spice.solar_longitude,Y,
Public API,virtual void instrumentBodyFixedVelocity(double v[3]) const,isis_pybind.Spice.instrument_body_fixed_velocity,Y,
Public API,virtual iTime time() const,isis_pybind.Spice.time,Y,
Public API,void radii(Distance r[3]) const,isis_pybind.Spice.radii,Y,
Public API,"virtual void createCache(iTime startTime, iTime endTime, const int size, double tol)",isis_pybind.Spice.create_cache,Y,
Public API,virtual iTime cacheStartTime() const,isis_pybind.Spice.cache_start_time,Y,
Public API,virtual iTime cacheEndTime() const,isis_pybind.Spice.cache_end_time,Y,
Public API,"virtual void subSpacecraftPoint(double &lat, double &lon)",isis_pybind.Spice.sub_spacecraft_point,Y,
Public API,"virtual void subSolarPoint(double &lat, double &lon)",isis_pybind.Spice.sub_solar_point,Y,
Public API,virtual Target *target() const,isis_pybind.Spice.target,Y,
Public API,QString targetName() const,isis_pybind.Spice.target_name,Y,
Public API,"virtual iTime getClockTime(QString clockValue, int sclkCode = -1, bool clockTicks=false)",isis_pybind.Spice.get_clock_time,Y,
Public API,"SpiceDouble getDouble(const QString &key, int index = 0)",isis_pybind.Spice.get_double,Y,
Public API,"SpiceInt getInteger(const QString &key, int index = 0)",isis_pybind.Spice.get_integer,Y,
Public API,"QString getString(const QString &key, int index = 0)",isis_pybind.Spice.get_string,Y,
Public API,virtual SpicePosition *sunPosition() const,isis_pybind.Spice.sun_position,Y,Returns cached SpicePosition
Public API,virtual SpicePosition *instrumentPosition() const,isis_pybind.Spice.instrument_position,Y,Returns cached SpicePosition
Public API,virtual SpiceRotation *bodyRotation() const,isis_pybind.Spice.body_rotation,Y,
Public API,virtual SpiceRotation *instrumentRotation() const,isis_pybind.Spice.instrument_rotation,Y,
Query,bool isUsingAle(),isis_pybind.Spice.is_using_ale,Y,
Query,bool hasKernels(Pvl &lab),isis_pybind.Spice.has_kernels,Y,
Query,bool isTimeSet(),isis_pybind.Spice.is_time_set,Y,
Public API,SpiceInt naifBodyCode() const,isis_pybind.Spice.naif_body_code,Y,
Public API,SpiceInt naifSpkCode() const,isis_pybind.Spice.naif_spk_code,Y,
Public API,SpiceInt naifCkCode() const,isis_pybind.Spice.naif_ck_code,Y,
Public API,SpiceInt naifIkCode() const,isis_pybind.Spice.naif_ik_code,Y,
Public API,SpiceInt naifSclkCode() const,isis_pybind.Spice.naif_sclk_code,Y,
Public API,SpiceInt naifBodyFrameCode() const,isis_pybind.Spice.naif_body_frame_code,Y,
Public API,PvlObject getStoredNaifKeywords() const,isis_pybind.Spice.get_stored_naif_keywords,Y,
Public API,virtual double resolution(),isis_pybind.Spice.resolution,Y,
