Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
SpicePosition,"Spice, Instruments, and Cameras",isis/src/base/objs/SpicePosition/SpicePosition.h,src/bind_spice_navigation.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,SpicePosition,isis_pybind.SpicePosition,Y,Bound in src/bind_spice_navigation.cpp
Construction/Enum,"Source enum (Spice, Memcache, HermiteCache, PolyFunction, PolyFunctionOverHermiteConstant)",isis_pybind.SpicePositionSource,Y,Bound as module-level SpicePositionSource enum
Construction/Enum,"PartialType enum (WRT_X, WRT_Y, WRT_Z)",isis_pybind.SpicePositionPartialType,Y,Bound as module-level SpicePositionPartialType enum
Construction/Enum,"OverrideType enum (NoOverrides, ScaleOnly, BaseAndScale)",isis_pybind.SpicePositionOverrideType,Y,Bound as module-level SpicePositionOverrideType enum
Construction/Enum,SpicePosition(target_code, observer_code),isis_pybind.SpicePosition(),Y,Bound in src/bind_spice_navigation.cpp
Mutation/Configuration,void SetTimeBias(double timeBias),isis_pybind.SpicePosition.set_time_bias,Y,Bound
Public API,double GetTimeBias() const,isis_pybind.SpicePosition.get_time_bias,Y,Bound
Mutation/Configuration,virtual void SetAberrationCorrection(const QString &correction),isis_pybind.SpicePosition.set_aberration_correction,Y,Bound with QString->std::string adapter
Public API,virtual QString GetAberrationCorrection() const,isis_pybind.SpicePosition.get_aberration_correction,Y,Bound with QString->std::string adapter
Public API,double GetLightTime() const,isis_pybind.SpicePosition.get_light_time,Y,Bound
Mutation/Configuration,virtual const std::vector<double> &SetEphemerisTime(double et),isis_pybind.SpicePosition.set_ephemeris_time,Y,Bound with lambda wrapper returning vector
Public API,virtual double EphemerisTime() const { return p_et,isis_pybind.SpicePosition.ephemeris_time,Y,Bound
Public API,double scaledTime() const,isis_pybind.SpicePosition.scaled_time,Y,Bound
Public API,const std::vector<double> &GetCenterCoordinate(),isis_pybind.SpicePosition.get_center_coordinate,Y,Bound with lambda wrapper
Public API,virtual const std::vector<double> &Coordinate() { return p_coordinate,isis_pybind.SpicePosition.coordinate,Y,Bound with lambda wrapper
Public API,const std::vector<double> &Velocity(),isis_pybind.SpicePosition.velocity,Y,Bound with lambda wrapper
Query,bool HasVelocity() { return p_hasVelocity,isis_pybind.SpicePosition.has_velocity,Y,Bound
Read/Write IO,"void LoadCache(double startTime, double endTime, int size)",isis_pybind.SpicePosition.load_cache,Y,Bound via py::overload_cast
Read/Write IO,void LoadCache(double time),isis_pybind.SpicePosition.load_cache,Y,Bound via py::overload_cast
Read/Write IO,void LoadCache(Table &table),isis_pybind.SpicePosition.load_cache,Y,Bound via py::overload_cast
Read/Write IO,void LoadCache(nlohmann::json &isd),isis_pybind.SpicePosition.load_cache,Y,Bound via py::overload_cast
Public API,Table LineCache(const QString &tableName),isis_pybind.SpicePosition.line_cache,Y,Bound with QString adapter
Read/Write IO,Table LoadHermiteCache(const QString &tableName),isis_pybind.SpicePosition.load_hermite_cache,Y,Bound with QString adapter
Public API,void ReloadCache(),isis_pybind.SpicePosition.reload_cache,Y,Bound via py::overload_cast
Public API,void ReloadCache(Table &table),isis_pybind.SpicePosition.reload_cache,Y,Bound via py::overload_cast
Public API,Table Cache(const QString &tableName),isis_pybind.SpicePosition.cache,Y,Bound with QString adapter
Query,bool IsCached() const { return (m_state != NULL),isis_pybind.SpicePosition.is_cached,Y,Bound
Public API,int cacheSize() const { if (m_state) { return m_state->getStates().size(),isis_pybind.SpicePosition.cache_size,Y,Bound
Mutation/Configuration,void SetPolynomial(const Source type = PolyFunction),isis_pybind.SpicePosition.set_polynomial,Y,Bound via py::overload_cast with default arg
Mutation/Configuration,"void SetPolynomial(const std::vector<double>& XC, const std::vector<double>& YC, const std::vector<double>& ZC, const Source type = PolyFunction)",isis_pybind.SpicePosition.set_polynomial,Y,Bound with lambda wrapper and default arg
Public API,"void GetPolynomial(std::vector<double>& XC, std::vector<double>& YC, std::vector<double>& ZC)",isis_pybind.SpicePosition.get_polynomial,Y,Bound with lambda returning tuple (xc, yc, zc)
Mutation/Configuration,void SetPolynomialDegree(int degree),isis_pybind.SpicePosition.set_polynomial_degree,Y,Bound
Public API,Source GetSource() { return p_source,isis_pybind.SpicePosition.get_source,Y,Bound with lambda wrapper
Public API,void ComputeBaseTime(),isis_pybind.SpicePosition.compute_base_time,Y,Bound
Public API,double GetBaseTime() { return p_baseTime,isis_pybind.SpicePosition.get_base_time,Y,Bound with lambda wrapper
Mutation/Configuration,"void SetOverrideBaseTime(double baseTime, double timeScale)",isis_pybind.SpicePosition.set_override_base_time,Y,Bound
Public API,double GetTimeScale() { return p_timeScale,isis_pybind.SpicePosition.get_time_scale,Y,Bound with lambda wrapper
Public API,double DPolynomial(const int coeffIndex),isis_pybind.SpicePosition.d_polynomial,Y,Bound
Public API,"std::vector<double> CoordinatePartial(SpicePosition::PartialType partialVar, int coeffIndex)",isis_pybind.SpicePosition.coordinate_partial,Y,Bound
Public API,"std::vector<double> VelocityPartial(SpicePosition::PartialType partialVar, int coeffIndex)",isis_pybind.SpicePosition.velocity_partial,Y,Bound
Public API,void Memcache2HermiteCache(double tolerance),isis_pybind.SpicePosition.memcache2_hermite_cache,Y,Bound
Public API,std::vector<double> Extrapolate(double timeEt),isis_pybind.SpicePosition.extrapolate,Y,Bound
Public API,std::vector<double> HermiteCoordinate(),isis_pybind.SpicePosition.hermite_coordinate,Y,Bound
