Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
SpiceRotation,"Spice, Instruments, and Cameras",reference/upstream_isis/src/base/objs/SpiceRotation/SpiceRotation.h,src/bind_spice_navigation.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-13 扩展核心矩阵/缓存/多项式接口集群

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,SpiceRotation,isis_pybind.SpiceRotation,Y,Class bound in src/bind_spice_navigation.cpp
Construction/Enum,"Source enum (Spice, Nadir, Memcache, PolyFunction, PolyFunctionOverSpice, PckPolyFunction)",isis_pybind.SpiceRotationSource,Y,Exposed as SpiceRotationSource (scoped enum)
Construction/Enum,"PartialType enum (WRT_RightAscension, WRT_Declination, WRT_Twist)",isis_pybind.SpiceRotationPartialType,Y,Exposed as SpiceRotationPartialType with export_values
Construction/Enum,"DownsizeStatus enum (Yes, Done, No)",isis_pybind.SpiceRotationDownsizeStatus,Y,Exposed as SpiceRotationDownsizeStatus with export_values
Construction/Enum,"FrameType enum (UNKNOWN, INERTL, PCK, CK, TK, DYN, BPC, NOTJ2000PCK)",isis_pybind.SpiceRotationFrameType,Y,Exposed as SpiceRotationFrameType with export_values
Construction/Enum,"SpiceRotation(int frameCode)",isis_pybind.SpiceRotation,Y,Constructor with frame code
Construction/Enum,"SpiceRotation(int frameCode, int targetCode)",isis_pybind.SpiceRotation,Y,Constructor with frame and target codes
Mutation/Configuration,void SetFrame(int frameCode),isis_pybind.SpiceRotation.set_frame,Y,Bound
Public API,int Frame(),isis_pybind.SpiceRotation.frame,Y,Bound
Mutation/Configuration,void SetTimeBias(double timeBias),isis_pybind.SpiceRotation.set_time_bias,Y,Bound
Mutation/Configuration,void SetEphemerisTime(double et),isis_pybind.SpiceRotation.set_ephemeris_time,Y,Bound
Public API,double EphemerisTime() const,isis_pybind.SpiceRotation.ephemeris_time,Y,Bound
Public API,std::vector<double> GetCenterAngles(),isis_pybind.SpiceRotation.get_center_angles,N,Not yet bound
Public API,std::vector<double> Matrix(),isis_pybind.SpiceRotation.matrix,Y,Bound
Public API,std::vector<double> AngularVelocity(),isis_pybind.SpiceRotation.angular_velocity,Y,Bound
Public API,std::vector<double> ConstantRotation(),isis_pybind.SpiceRotation.constant_rotation,Y,Bound
Public API,std::vector<double> &ConstantMatrix(),isis_pybind.SpiceRotation.constant_matrix,Y,Bound with reference_internal
Mutation/Configuration,void SetConstantMatrix(std::vector<double> constantMatrix),isis_pybind.SpiceRotation.set_constant_matrix,Y,Bound
Public API,std::vector<double> TimeBasedRotation(),isis_pybind.SpiceRotation.time_based_rotation,Y,Bound
Public API,std::vector<double> &TimeBasedMatrix(),isis_pybind.SpiceRotation.time_based_matrix,Y,Bound with reference_internal
Mutation/Configuration,void SetTimeBasedMatrix(std::vector<double> timeBasedMatrix),isis_pybind.SpiceRotation.set_time_based_matrix,Y,Bound
Public API,std::vector<double> J2000Vector(const std::vector<double> &rVec),isis_pybind.SpiceRotation.j2000_vector,Y,Bound
Public API,std::vector<Angle> poleRaCoefs(),isis_pybind.SpiceRotation.pole_ra_coefs,N,Not yet bound
Public API,std::vector<Angle> poleDecCoefs(),isis_pybind.SpiceRotation.pole_dec_coefs,N,Not yet bound
Public API,std::vector<Angle> pmCoefs(),isis_pybind.SpiceRotation.pm_coefs,N,Not yet bound
Public API,std::vector<double> poleRaNutPrecCoefs(),isis_pybind.SpiceRotation.pole_ra_nut_prec_coefs,N,Not yet bound
Public API,std::vector<double> poleDecNutPrecCoefs(),isis_pybind.SpiceRotation.pole_dec_nut_prec_coefs,N,Not yet bound
Public API,std::vector<double> pmNutPrecCoefs(),isis_pybind.SpiceRotation.pm_nut_prec_coefs,N,Not yet bound
Public API,std::vector<Angle> sysNutPrecConstants(),isis_pybind.SpiceRotation.sys_nut_prec_constants,N,Not yet bound
Public API,std::vector<Angle> sysNutPrecCoefs(),isis_pybind.SpiceRotation.sys_nut_prec_coefs,N,Not yet bound
Public API,std::vector<double> ReferenceVector(const std::vector<double> &jVec),isis_pybind.SpiceRotation.reference_vector,Y,Bound
Public API,std::vector<double> EvaluatePolyFunction(),isis_pybind.SpiceRotation.evaluate_poly_function,N,Not yet bound
Read/Write IO,void loadPCFromSpice(int CenterBodyCode),isis_pybind.SpiceRotation.load_pc_from_spice,N,Not yet bound
Read/Write IO,void loadPCFromTable(const PvlObject &Label),isis_pybind.SpiceRotation.load_pc_from_table,N,Not yet bound
Public API,void MinimizeCache(DownsizeStatus status),isis_pybind.SpiceRotation.minimize_cache,N,Not yet bound
Read/Write IO,"void LoadCache(double startTime, double endTime, int size)",isis_pybind.SpiceRotation.load_cache,Y,Bound (overload 1)
Read/Write IO,void LoadCache(double time),isis_pybind.SpiceRotation.load_cache,Y,Bound (overload 2)
Read/Write IO,void LoadCache(Table &table),isis_pybind.SpiceRotation.load_cache,Y,Bound (overload 3)
Read/Write IO,void LoadCache(nlohmann::json &isd),isis_pybind.SpiceRotation.load_cache,Y,Bound (overload 4)
Public API,Table LineCache(const QString &tableName),isis_pybind.SpiceRotation.line_cache,Y,Bound
Public API,void ReloadCache(),isis_pybind.SpiceRotation.reload_cache,Y,Bound
Public API,Table Cache(const QString &tableName),isis_pybind.SpiceRotation.cache,Y,Bound
Public API,void CacheLabel(Table &table),isis_pybind.SpiceRotation.cache_label,N,Not yet bound
Read/Write IO,void LoadTimeCache(),isis_pybind.SpiceRotation.load_time_cache,N,Not yet bound
Public API,"std::vector<double> Angles(int axis3, int axis2, int axis1)",isis_pybind.SpiceRotation.angles,N,Not yet bound
Mutation/Configuration,"void SetAngles(std::vector<double> angles, int axis3, int axis2, int axis1)",isis_pybind.SpiceRotation.set_angles,N,Not yet bound
Query,bool IsCached() const,isis_pybind.SpiceRotation.is_cached,Y,Bound
Mutation/Configuration,void SetPolynomial(const Source type=PolyFunction),isis_pybind.SpiceRotation.set_polynomial,Y,Bound (overload 1)
Mutation/Configuration,"void SetPolynomial(const std::vector<double> &abcAng1, const std::vector<double> &abcAng2, const std::vector<double> &abcAng3, const Source type = PolyFunction)",isis_pybind.SpiceRotation.set_polynomial,N,Not yet bound (overload 2)
Public API,void usePckPolynomial(),isis_pybind.SpiceRotation.use_pck_polynomial,N,Not yet bound
Mutation/Configuration,"void setPckPolynomial(const std::vector<Angle> &raCoeff, const std::vector<Angle> &decCoeff, const std::vector<Angle> &pmCoeff)",isis_pybind.SpiceRotation.set_pck_polynomial,N,Not yet bound
Public API,"void GetPolynomial(std::vector<double> &abcAng1, std::vector<double> &abcAng2, std::vector<double> &abcAng3)",isis_pybind.SpiceRotation.get_polynomial,N,Not yet bound
Public API,"void getPckPolynomial(std::vector<Angle> &raCoeff, std::vector<Angle> &decCoeff, std::vector<Angle> &pmCoeff)",isis_pybind.SpiceRotation.get_pck_polynomial,N,Not yet bound
Mutation/Configuration,void SetPolynomialDegree(int degree),isis_pybind.SpiceRotation.set_polynomial_degree,Y,Bound
Public API,Source GetSource(),isis_pybind.SpiceRotation.get_source,Y,Bound
Mutation/Configuration,void SetSource(Source source),isis_pybind.SpiceRotation.set_source,Y,Bound
Public API,void ComputeBaseTime(),isis_pybind.SpiceRotation.compute_base_time,Y,Bound
Public API,FrameType getFrameType(),isis_pybind.SpiceRotation.get_frame_type,Y,Bound
Public API,double GetBaseTime(),isis_pybind.SpiceRotation.get_base_time,Y,Bound
Public API,double GetTimeScale(),isis_pybind.SpiceRotation.get_time_scale,Y,Bound
Mutation/Configuration,"void SetOverrideBaseTime(double baseTime, double timeScale)",isis_pybind.SpiceRotation.set_override_base_time,Y,Bound
Mutation/Configuration,void SetCacheTime(std::vector<double> cacheTime),isis_pybind.SpiceRotation.set_cache_time,N,Not yet bound
Public API,double DPolynomial(const int coeffIndex),isis_pybind.SpiceRotation.d_polynomial,N,Not yet bound
Public API,"double DPckPolynomial(PartialType partialVar, const int coeffIndex)",isis_pybind.SpiceRotation.d_pck_polynomial,N,Not yet bound
Public API,"std::vector<double> toJ2000Partial(const std::vector<double> &lookT, PartialType partialVar, int coeffIndex)",isis_pybind.SpiceRotation.to_j2000_partial,N,Not yet bound
Public API,"std::vector<double> ToReferencePartial(std::vector<double> &lookJ, PartialType partialVar, int coeffIndex)",isis_pybind.SpiceRotation.to_reference_partial,N,Not yet bound
Public API,void DCJdt(std::vector<double> &dRJ),isis_pybind.SpiceRotation.dc_jdt,N,Not yet bound
Public API,"double WrapAngle(double compareAngle, double angle)",isis_pybind.SpiceRotation.wrap_angle,N,Not yet bound
Mutation/Configuration,"void SetAxes(int axis1, int axis2, int axis3)",isis_pybind.SpiceRotation.set_axes,N,Not yet bound
Public API,std::vector<double> GetFullCacheTime(),isis_pybind.SpiceRotation.get_full_cache_time,N,Not yet bound
Public API,void FrameTrace(double et),isis_pybind.SpiceRotation.frame_trace,N,Not yet bound
Public API,std::vector<int> ConstantFrameChain(),isis_pybind.SpiceRotation.constant_frame_chain,Y,Bound
Public API,std::vector<int> TimeFrameChain(),isis_pybind.SpiceRotation.time_frame_chain,Y,Bound
Public API,void InitConstantRotation(double et),isis_pybind.SpiceRotation.init_constant_rotation,N,Not yet bound
Query,bool HasAngularVelocity(),isis_pybind.SpiceRotation.has_angular_velocity,Y,Bound
Public API,void ComputeAv(),isis_pybind.SpiceRotation.compute_av,N,Not yet bound
Public API,std::vector<double> Extrapolate(double timeEt),isis_pybind.SpiceRotation.extrapolate,N,Not yet bound
Public API,void checkForBinaryPck(),isis_pybind.SpiceRotation.check_for_binary_pck,N,Not yet bound
Public API,int cacheSize(),isis_pybind.SpiceRotation.cache_size,Y,Bound
