Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Stretch,Utility,isis/src/base/objs/Stretch/Stretch.h,src/base/bind_base_filters.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,抽象基类/纯虚接口

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Stretch,isis_pybind.Stretch,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Construction/Enum,Stretch(),isis_pybind.Stretch(),Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,"void AddPair(const double input, const double output)",isis_pybind.Stretch.add_pair,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,void SetNull(const double value) { p_null = value,isis_pybind.Stretch.set_null,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,void SetLis(const double value) { p_lis = value,isis_pybind.Stretch.set_lis,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,void SetLrs(const double value) { p_lrs = value,isis_pybind.Stretch.set_lrs,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,void SetHis(const double value) { p_his = value,isis_pybind.Stretch.set_his,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,void SetHrs(const double value) { p_hrs = value,isis_pybind.Stretch.set_hrs,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,void SetMinimum(const double value) { p_minimum = value,isis_pybind.Stretch.set_minimum,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,void SetMaximum(const double value) { p_maximum = value,isis_pybind.Stretch.set_maximum,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Read/Write IO,"void Load(Pvl &pvl, QString &grpName)",isis_pybind.Stretch.load,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Read/Write IO,"void Save(Pvl &pvl, QString &grpName)",isis_pybind.Stretch.save,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Read/Write IO,"void Load(QString &file, QString &grpName)",isis_pybind.Stretch.load,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Read/Write IO,"void Save(QString &file, QString &grpName)",isis_pybind.Stretch.save,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Public API,double Map(const double value) const,isis_pybind.Stretch.map,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Public API,void Parse(const QString &pairs),isis_pybind.Stretch.parse,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Public API,"void Parse(const QString &pairs, const Isis::Histogram *hist)",isis_pybind.Stretch.parse,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Public API,QString Text() const,isis_pybind.Stretch.text,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Public API,int Pairs() const { return p_pairs,isis_pybind.Stretch.pairs,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Public API,double Input(const int index) const,isis_pybind.Stretch.input,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Public API,double Output(const int index) const,isis_pybind.Stretch.output,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,void ClearPairs() { p_pairs = 0,isis_pybind.Stretch.clear_pairs,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
Mutation/Configuration,p_input.clear(),isis_pybind.Stretch.clear,N,抽象基类/纯虚接口
Mutation/Configuration,p_output.clear(),isis_pybind.Stretch.clear,N,抽象基类/纯虚接口
Public API,void CopyPairs(const Stretch &other),isis_pybind.Stretch.copy_pairs,Y,2026-04-11 台账同步；已在 bind_base_filters.cpp 暴露
