Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
TProjection,Map Projection,isis/src/base/objs/TProjection/TProjection.h,isis_pybind_standalone/src/base/bind_base_projection.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,抽象基类/纯虚接口

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,TProjection,isis_pybind.TProjection,Y,Python class symbol is exported; constructor exposure may be limited; 抽象基类/纯虚接口
Construction/Enum,"LatitudeType enum (Planetocentric, Planetographic)",isis_pybind.TProjection.LatitudeType,N,抽象基类/纯虚接口
Construction/Enum,"LongitudeDirection enum (PositiveEast, PositiveWest)",isis_pybind.TProjection.LongitudeDirection,N,抽象基类/纯虚接口
Construction/Enum,TProjection(),isis_pybind.TProjection(),N,抽象基类/纯虚接口
Public API,double EquatorialRadius() const,isis_pybind.TProjection.equatorial_radius,Y,Current Python name
Public API,double PolarRadius() const,isis_pybind.TProjection.polar_radius,N,抽象基类/纯虚接口
Public API,double Eccentricity() const,isis_pybind.TProjection.eccentricity,N,抽象基类/纯虚接口
Public API,double LocalRadius(double lat) const,isis_pybind.TProjection.local_radius,N,抽象基类/纯虚接口
Public API,double LocalRadius() const,isis_pybind.TProjection.local_radius,N,抽象基类/纯虚接口
Public API,virtual QString Name() const = 0,isis_pybind.TProjection.name,N,抽象基类/纯虚接口
Public API,virtual QString Version() const = 0,isis_pybind.TProjection.version,N,抽象基类/纯虚接口
Public API,virtual double TrueScaleLatitude() const,isis_pybind.TProjection.true_scale_latitude,N,抽象基类/纯虚接口
Query,virtual bool IsEquatorialCylindrical(),isis_pybind.TProjection.is_equatorial_cylindrical,N,抽象基类/纯虚接口
Query,bool IsPlanetocentric() const,isis_pybind.TProjection.is_planetocentric,N,抽象基类/纯虚接口
Query,bool IsPlanetographic() const,isis_pybind.TProjection.is_planetographic,N,抽象基类/纯虚接口
Public API,QString LatitudeTypeString() const,isis_pybind.TProjection.latitude_type_string,N,抽象基类/纯虚接口
Public API,double ToPlanetocentric(const double lat) const,isis_pybind.TProjection.to_planetocentric,N,抽象基类/纯虚接口
Public API,double ToPlanetographic(const double lat) const,isis_pybind.TProjection.to_planetographic,N,抽象基类/纯虚接口
Query,bool IsPositiveEast() const,isis_pybind.TProjection.is_positive_east,N,抽象基类/纯虚接口
Query,bool IsPositiveWest() const,isis_pybind.TProjection.is_positive_west,N,抽象基类/纯虚接口
Public API,QString LongitudeDirectionString() const,isis_pybind.TProjection.longitude_direction_string,N,抽象基类/纯虚接口
Query,bool Has180Domain() const,isis_pybind.TProjection.has180_domain,N,抽象基类/纯虚接口
Query,bool Has360Domain() const,isis_pybind.TProjection.has360_domain,N,抽象基类/纯虚接口
Public API,QString LongitudeDomainString() const,isis_pybind.TProjection.longitude_domain_string,N,抽象基类/纯虚接口
Public API,virtual double MinimumLatitude() const,isis_pybind.TProjection.minimum_latitude,N,抽象基类/纯虚接口
Public API,virtual double MaximumLatitude() const,isis_pybind.TProjection.maximum_latitude,N,抽象基类/纯虚接口
Public API,virtual double MinimumLongitude() const,isis_pybind.TProjection.minimum_longitude,N,抽象基类/纯虚接口
Public API,virtual double MaximumLongitude() const,isis_pybind.TProjection.maximum_longitude,N,抽象基类/纯虚接口
Mutation/Configuration,"virtual bool SetGround(const double lat, const double lon)",isis_pybind.TProjection.set_ground,N,抽象基类/纯虚接口
Mutation/Configuration,"virtual bool SetCoordinate(const double x, const double y)",isis_pybind.TProjection.set_coordinate,N,抽象基类/纯虚接口
Public API,virtual double Latitude() const,isis_pybind.TProjection.latitude,N,抽象基类/纯虚接口
Public API,virtual double Longitude() const,isis_pybind.TProjection.longitude,N,抽象基类/纯虚接口
Mutation/Configuration,"virtual bool SetUniversalGround(const double lat, const double lon)",isis_pybind.TProjection.set_universal_ground,N,抽象基类/纯虚接口
Mutation/Configuration,"bool SetUnboundUniversalGround(const double coord1, const double coord2)",isis_pybind.TProjection.set_unbound_universal_ground,N,抽象基类/纯虚接口
Public API,virtual double UniversalLatitude(),isis_pybind.TProjection.universal_latitude,N,抽象基类/纯虚接口
Public API,virtual double UniversalLongitude(),isis_pybind.TProjection.universal_longitude,N,抽象基类/纯虚接口
Public API,double Scale() const,isis_pybind.TProjection.scale,N,抽象基类/纯虚接口
Public API,"virtual bool XYRange(double &minX, double &maxX, double &minY, double &maxY)",isis_pybind.TProjection.xy_range,N,抽象基类/纯虚接口
Public API,virtual PvlGroup Mapping(),isis_pybind.TProjection.mapping,N,抽象基类/纯虚接口
Public API,virtual PvlGroup MappingLatitudes(),isis_pybind.TProjection.mapping_latitudes,N,抽象基类/纯虚接口
Public API,virtual PvlGroup MappingLongitudes(),isis_pybind.TProjection.mapping_longitudes,N,抽象基类/纯虚接口
Static/Factory,"static double ToPlanetocentric(double lat, double eRadius, double pRadius)",isis_pybind.TProjection.to_planetocentric,N,抽象基类/纯虚接口
Static/Factory,"static double ToPlanetographic(double lat, double eRadius, double pRadius)",isis_pybind.TProjection.to_planetographic,N,抽象基类/纯虚接口
Static/Factory,"static double ToPositiveEast(const double lon, const int domain)",isis_pybind.TProjection.to_positive_east,N,抽象基类/纯虚接口
Static/Factory,"static double ToPositiveWest(const double lon, const int domain)",isis_pybind.TProjection.to_positive_west,N,抽象基类/纯虚接口
Static/Factory,static double To180Domain(const double lon),isis_pybind.TProjection.to180_domain,N,抽象基类/纯虚接口
Static/Factory,static double To360Domain(const double lon),isis_pybind.TProjection.to360_domain,N,抽象基类/纯虚接口
