Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Target,"Spice, Instruments, and Cameras",reference/upstream_isis/src/base/objs/Target/Target.h,src/base/bind_base_target.cpp; src/bind_camera.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已补齐 `Target(Pvl&)`、NAIF/frame/body-rotation accessor，并通过 `Camera.target()` 暴露已附着 SPICE 的运行时 Target；显式 `Spice *` API 仍因缺少 Python Spice 绑定而保留未转换

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Target,isis_pybind.Target,Y,Python class symbol 已存在于 `src/base/bind_base_target.cpp`
Construction/Enum,"Target(Spice *spice, Pvl &label)",isis_pybind.Target,N,依赖外部 `Spice *` 生命周期；当前仓库无独立 Python Spice 绑定
Construction/Enum,"Target(Pvl &label)",isis_pybind.Target,Y,按标签构造
Construction/Enum,Target(),isis_pybind.Target(),N,默认构造当前未暴露
Construction/Enum,~Target(),isis_pybind.Target,Y,析构由 pybind 生命周期管理
Public API,void init(),isis_pybind.Target.init,N,显式初始化入口当前未暴露
Public API,bool isSky() const,isis_pybind.Target.isSky,Y,已按 `is_sky` 暴露
Public API,SpiceInt naifBodyCode() const,isis_pybind.Target.naifBodyCode,Y,已按 `naif_body_code` 暴露
Public API,SpiceInt naifPlanetSystemCode() const,isis_pybind.Target.naifPlanetSystemCode,Y,已按 `naif_planet_system_code` 暴露
Public API,QString name() const,isis_pybind.Target.name,Y,目标名称
Public API,QString systemName() const,isis_pybind.Target.systemName,Y,已按 `system_name` 暴露
Public API,std::vector<Distance> radii() const,isis_pybind.Target.radii,Y,返回目标半径集合；依赖 `Distance` 绑定
Public API,void restoreShape(),isis_pybind.Target.restoreShape,Y,已按 `restore_shape` 暴露
Public API,void setShapeEllipsoid(),isis_pybind.Target.setShapeEllipsoid,Y,已按 `set_shape_ellipsoid` 暴露
Public API,"void setRadii(std::vector<Distance> radii)",isis_pybind.Target.setRadii,Y,已按 `set_radii` 暴露
Public API,"void setName(QString name)",isis_pybind.Target.setName,Y,已按 `set_name` 暴露
Public API,"void setSpice(Spice *spice)",isis_pybind.Target.setSpice,N,依赖未绑定的 Python `Spice` 对象
Public API,"ShapeModel *shape() const",isis_pybind.Target.shape,Y,返回形体模型指针并保持引用生命周期
Public API,"Spice *spice() const",isis_pybind.Target.spice,N,依赖未绑定的 Python `Spice` 对象
Public API,int frameType(),isis_pybind.Target.frameType,Y,已按 `frame_type` 暴露
Public API,std::vector<Angle> poleRaCoefs(),isis_pybind.Target.poleRaCoefs,Y,已按 `pole_ra_coefs` 暴露
Public API,std::vector<Angle> poleDecCoefs(),isis_pybind.Target.poleDecCoefs,Y,已按 `pole_dec_coefs` 暴露
Public API,std::vector<Angle> pmCoefs(),isis_pybind.Target.pmCoefs,Y,已按 `pm_coefs` 暴露
Public API,"static SpiceInt lookupNaifBodyCode(QString name)",isis_pybind.Target.lookupNaifBodyCode,Y,已按 `lookup_naif_body_code` 暴露
Public API,"static PvlGroup radiiGroup(QString target)",isis_pybind.Target.radiiGroup,Y,已按 `radii_group_for_target` 暴露
Public API,"static PvlGroup radiiGroup(Pvl &cubeLab, const PvlGroup &mapGroup)",isis_pybind.Target.radiiGroup,Y,已按 `radii_group_from_label` 暴露
Public API,std::vector<double> poleRaNutPrecCoefs(),isis_pybind.Target.poleRaNutPrecCoefs,Y,已按 `pole_ra_nut_prec_coefs` 暴露
Public API,std::vector<double> poleDecNutPrecCoefs(),isis_pybind.Target.poleDecNutPrecCoefs,Y,已按 `pole_dec_nut_prec_coefs` 暴露
Public API,std::vector<double> pmNutPrecCoefs(),isis_pybind.Target.pmNutPrecCoefs,Y,已按 `pm_nut_prec_coefs` 暴露
Public API,std::vector<Angle> sysNutPrecConstants(),isis_pybind.Target.sysNutPrecConstants,Y,已按 `sys_nut_prec_constants` 暴露
Public API,std::vector<Angle> sysNutPrecCoefs(),isis_pybind.Target.sysNutPrecCoefs,Y,已按 `sys_nut_prec_coefs` 暴露
