Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
UpturnedEllipsoidTransverseAzimuthal,Map Projection,isis/src/base/objs/UpturnedEllipsoidTransverseAzimuthal/UpturnedEllipsoidTransverseAzimuthal.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,UpturnedEllipsoidTransverseAzimuthal,isis_pybind.UpturnedEllipsoidTransverseAzimuthal,N,Python class symbol not found in current binding files
Construction/Enum,UpturnedEllipsoidTransverseAzimuthal(),isis_pybind.UpturnedEllipsoidTransverseAzimuthal(),N,Constructor binding not detected in current binding files
Public API,virtual QString Name() const,isis_pybind.UpturnedEllipsoidTransverseAzimuthal.name,N,Method not found in current binding files
Public API,virtual QString Version() const,isis_pybind.UpturnedEllipsoidTransverseAzimuthal.version,N,Method not found in current binding files
Mutation/Configuration,"virtual bool SetGround(const double lat, const double lon)",isis_pybind.UpturnedEllipsoidTransverseAzimuthal.set_ground,N,Method not found in current binding files
Mutation/Configuration,"virtual bool SetCoordinate(const double x, const double y)",isis_pybind.UpturnedEllipsoidTransverseAzimuthal.set_coordinate,N,Method not found in current binding files
Public API,"virtual bool XYRange(double &minX, double &maxX, double &minY, double &maxY)",isis_pybind.UpturnedEllipsoidTransverseAzimuthal.xy_range,N,Method not found in current binding files
Public API,virtual PvlGroup Mapping(),isis_pybind.UpturnedEllipsoidTransverseAzimuthal.mapping,N,Method not found in current binding files
Public API,virtual PvlGroup MappingLatitudes(),isis_pybind.UpturnedEllipsoidTransverseAzimuthal.mapping_latitudes,N,Method not found in current binding files
Public API,virtual PvlGroup MappingLongitudes(),isis_pybind.UpturnedEllipsoidTransverseAzimuthal.mapping_longitudes,N,Method not found in current binding files
