Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
XmlToPvlTranslationManager,Parsing,reference/upstream_isis/src/base/objs/XmlToPvlTranslationManager/XmlToPvlTranslationManager.h,src/base/bind_base_pvl.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-07-24 ISIS 10仅移除传递性PvlTokenizer include；FileName/stream facade及QDomDocument边界不变；双版本验证通过

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,XmlToPvlTranslationManager,isis_pybind.XmlToPvlTranslationManager,Y,Inherits LabelTranslationManager
Construction/Enum,XmlToPvlTranslationManager(const QString &transFile),isis_pybind.XmlToPvlTranslationManager(trans_file),Y,From file path
Construction/Enum,XmlToPvlTranslationManager(std::istream &),isis_pybind.XmlToPvlTranslationManager(trans_text from_string=True),Y,From translation text string
Construction/Enum,"XmlToPvlTranslationManager(FileName &, const QString &)",isis_pybind.XmlToPvlTranslationManager(input_label trans_file),Y,From ISIS FileName + trans file
Construction/Enum,"XmlToPvlTranslationManager(FileName &, std::istream &)",isis_pybind.XmlToPvlTranslationManager(input_label trans_text from_string=True),Y,Wraps std::istream with std::istringstream while keeping FileName input-label semantics
Public API,"virtual QString Translate(QString, int findex=0)",isis_pybind.XmlToPvlTranslationManager.translate,Y,Returns translated str
Public API,"void Auto(FileName &inputLabel, Pvl &outputLabel)",isis_pybind.XmlToPvlTranslationManager.auto_translate,Y,Takes ISIS FileName and output Pvl
Protected API,virtual vector<pair<QString int>> validKeywords() const,N,Protected
Protected API,bool checkDependencies(QDomElement ...) const,N,Protected; QDomElement
Protected API,void parseFile(const FileName &),N,Protected
Python Protocol,__repr__,isis_pybind.XmlToPvlTranslationManager.__repr__,Y,XmlToPvlTranslationManager()
