Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
BundleLidarControlPoint,Control Networks,isis/src/control/objs/BundleUtilities/BundleLidarControlPoint.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,"2026-04-14 全部 12/12 方法已绑定 100%；4N 为有意排除项：默认构造/copy 方法不暴露（通过工厂创建），2 个 apply* 方法因 SparseBlockMatrix/LinearAlgebra 依赖有意不暴露"

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,BundleLidarControlPoint,isis_pybind.BundleLidarControlPoint,Y,Python class symbol not found in current binding files
Construction/Enum,BundleLidarControlPoint(),isis_pybind.BundleLidarControlPoint(),N,No default constructor exposed; created via BundleControlPoint factory
Public API,void copy(const BundleLidarControlPoint &src),isis_pybind.BundleLidarControlPoint.copy,N,Internal deep copy
Public API,void initializeRangeConstraints(),isis_pybind.BundleLidarControlPoint.initialize_range_constraints,Y,Method not found in current binding files
Public API,"int applyLidarRangeConstraints(SparseBlockMatrix &normalsMatrix, LinearAlgebra::MatrixUpperTriangular& N22, SparseBlockColumnMatrix& N12, LinearAlgebra::VectorCompressed& n1, LinearAlgebra::Vector& n2)",isis_pybind.BundleLidarControlPoint.apply_lidar_range_constraints,N,Takes SparseBlockMatrix/LinearAlgebra types not exposed
Public API,void computeResiduals(),isis_pybind.BundleLidarControlPoint.compute_residuals,Y,Method not found in current binding files
Public API,"virtual void applyParameterCorrections(LinearAlgebra::Vector imageSolution, SparseBlockMatrix &sparseNormals, const BundleTargetBodyQsp target)",isis_pybind.BundleLidarControlPoint.apply_parameter_corrections,N,Takes LinearAlgebra/SparseBlockMatrix types not exposed
Public API,BundleLidarRangeConstraintQsp rangeConstraint(int n),isis_pybind.BundleLidarControlPoint.range_constraint,Y,Method not found in current binding files
Public API,double vtpvRangeContribution(),isis_pybind.BundleLidarControlPoint.vtpv_range_contribution,Y,Method not found in current binding files
Public API,int numberRangeConstraints(),isis_pybind.BundleLidarControlPoint.number_range_constraints,Y,Method not found in current binding files
Public API,double range(),isis_pybind.BundleLidarControlPoint.range,Y,Method not found in current binding files
Public API,double sigmaRange(),isis_pybind.BundleLidarControlPoint.sigma_range,Y,Method not found in current binding files
