Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
BundleSettings,Control Networks,isis/src/control/objs/BundleSettings/BundleSettings.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,Qt 类型/信号槽较多

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,BundleSettings,isis_pybind.BundleSettings,Y,Bound in src/control/bind_control_core.cpp; remaining gaps are observation settings / target body / XML IO
Construction/Enum,"ConvergenceCriteria enum (Sigma0, ParameterCorrections)",isis_pybind.BundleSettings.ConvergenceCriteria,Y,Bound in src/control/bind_control_core.cpp
Construction/Enum,"MaximumLikelihoodModel enum (NoMaximumLikelihoodEstimator, Huber, ModifiedHuber, Welsch, Chen)",isis_pybind.BundleSettings.MaximumLikelihoodModel,Y,Bound in src/control/bind_control_core.cpp
Construction/Enum,BundleSettings(),isis_pybind.BundleSettings(),Y,Default and copy constructors bound in src/control/bind_control_core.cpp
Mutation/Configuration,void setValidateNetwork(bool validate),isis_pybind.BundleSettings.set_validate_network,Y,Bound in src/control/bind_control_core.cpp
Query,bool validateNetwork() const,isis_pybind.BundleSettings.validate_network,Y,Bound in src/control/bind_control_core.cpp
Mutation/Configuration,"void setSolveOptions(bool solveObservationMode = false, bool updateCubeLabel = false, bool errorPropagation = false, bool solveRadius = false, SurfacePoint::CoordinateType coordTypeBundle = SurfacePoint::Latitudinal, SurfacePoint::CoordinateType coordTypeReports = SurfacePoint::Latitudinal, double globalPointCoord1AprioriSigma = Isis::Null, double globalPointCoord2AprioriSigma = Isis::Null, double globalPointCoord3AprioriSigma = Isis::Null)",isis_pybind.BundleSettings.set_solve_options,Y,Bound in src/control/bind_control_core.cpp
Mutation/Configuration,"void setOutlierRejection(bool outlierRejection, double multiplier = 1.0)",isis_pybind.BundleSettings.set_outlier_rejection,Y,Bound in src/control/bind_control_core.cpp
Mutation/Configuration,void setObservationSolveOptions(QList<BundleObservationSolveSettings> obsSolveSettingsList),isis_pybind.BundleSettings.set_observation_solve_options,Y,Bound via Python list adapter in src/control/bind_control_core.cpp
Mutation/Configuration,void setCreateInverseMatrix(bool createMatrix),isis_pybind.BundleSettings.set_create_inverse_matrix,Y,Bound in src/control/bind_control_core.cpp
