Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ControlMeasureLogData,Control Networks,isis/src/control/objs/ControlMeasureLogData/ControlMeasureLogData.h,isis_pybind_standalone/src/control/bind_control_core.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,"2026-04-14 台账同步：所有公开方法已在 Batch 5 完成绑定，CSV 同步至 100%"

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ControlMeasureLogData,isis_pybind.ControlMeasureLogData,Y,已在 src/control/bind_control_core.cpp 暴露
Construction/Enum,"NumericLogDataType enum (InvalidNumericLogDataType, Obsolete_Eccentricity, GoodnessOfFit, MinimumPixelZScore, MaximumPixelZScore, PixelShift, WholePixelCorrelation, SubPixelCorrelation, Obsolete_AverageResidual)",isis_pybind.ControlMeasureLogData.NumericLogDataType,Y,已在 src/control/bind_control_core.cpp 暴露全部 9 个枚举值
Construction/Enum,ControlMeasureLogData(),isis_pybind.ControlMeasureLogData(),Y,已在 src/control/bind_control_core.cpp 暴露
Mutation/Configuration,void SetNumericalValue(double value),isis_pybind.ControlMeasureLogData.set_numerical_value,Y,已在 src/control/bind_control_core.cpp 暴露
Mutation/Configuration,void SetDataType(NumericLogDataType newDataType),isis_pybind.ControlMeasureLogData.set_data_type,Y,已在 src/control/bind_control_core.cpp 暴露
Public API,double GetNumericalValue() const,isis_pybind.ControlMeasureLogData.get_numerical_value,Y,已在 src/control/bind_control_core.cpp 暴露
Public API,NumericLogDataType GetDataType() const,isis_pybind.ControlMeasureLogData.get_data_type,Y,已在 src/control/bind_control_core.cpp 暴露
Public API,QVariant GetValue() const,isis_pybind.ControlMeasureLogData.get_value,Y,已在 src/control/bind_control_core.cpp 通过 lambda 返回 toDouble()
Query,bool IsValid() const,isis_pybind.ControlMeasureLogData.is_valid,Y,已在 src/control/bind_control_core.cpp 暴露
Public API,PvlKeyword ToKeyword() const,isis_pybind.ControlMeasureLogData.to_keyword,Y,已在 src/control/bind_control_core.cpp 暴露
Public API,NumericLogDataType NameToDataType(QString name) const,isis_pybind.ControlMeasureLogData.name_to_data_type,Y,已在 src/control/bind_control_core.cpp 通过 lambda 适配 QString
Public API,QString DataTypeToName(NumericLogDataType type) const,isis_pybind.ControlMeasureLogData.data_type_to_name,Y,已在 src/control/bind_control_core.cpp 通过 lambda 适配 QString
