Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ControlMeasure,Control Networks,isis/src/control/objs/ControlMeasure/ControlMeasure.h,isis_pybind_standalone/src/control/bind_control_core.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ControlMeasure,isis_pybind.ControlMeasure,Y,Python class symbol is exported; Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义
Construction/Enum,"MeasureType enum (Candidate, Manual, RegisteredPixel, RegisteredSubPixel)",isis_pybind.ControlMeasure.MeasureType,N,Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义
Construction/Enum,"Status enum (Success, MeasureLocked)",isis_pybind.ControlMeasure.Status,N,Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义
Construction/Enum,ModType enum (IgnoredModified),isis_pybind.ControlMeasure.ModType,N,Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义
Construction/Enum,"DataField enum (AprioriLine, AprioriSample, ChooserName, CubeSerialNumber, Coordinate, DateTime, Diameter, EditLock, Rejected, FocalPlaneMeasured)",isis_pybind.ControlMeasure.DataField,N,Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义
Construction/Enum,ControlMeasure(),isis_pybind.ControlMeasure(),Y,Constructor is explicitly bound
Public API,ControlPoint *Parent() { return parentPoint; },isis_pybind.ControlMeasure.parent,N,Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义
Mutation/Configuration,Status SetAprioriLine(double aprioriLine),isis_pybind.ControlMeasure.set_apriori_line,N,Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义
Mutation/Configuration,Status SetAprioriSample(double aprioriSample),isis_pybind.ControlMeasure.set_apriori_sample,N,Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义
Mutation/Configuration,Status SetCamera(Isis::Camera *camera),isis_pybind.ControlMeasure.set_camera,N,Qt 类型/信号槽较多；控制网对象关联紧密，需处理拷贝/引用语义
