Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ControlNetFilter,Control Networks,isis/src/control/objs/ControlNetFilter/ControlNetFilter.h,src/control/bind_control_core.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-07 首轮仅覆盖构造/输出 helper/PointEditLockFilter 稳定小簇

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ControlNetFilter,isis_pybind.ControlNetFilter,Y,2026-04-07 已在 src/control/bind_control_core.cpp 暴露类符号
Construction/Enum,ControlNetFilter(),isis_pybind.ControlNetFilter(),Y,2026-04-07 已暴露 ControlNet + serial number list file + optional Progress 构造
Public API,"void PointPixelShiftFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_pixel_shift_filter,N,Method not found in current binding files
Public API,"void PointEditLockFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_edit_lock_filter,Y,2026-04-07 已暴露稳定的点级 edit-lock 过滤接口
Public API,"void PointNumMeasuresEditLockFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_num_measures_edit_lock_filter,N,Method not found in current binding files
Public API,"void PointResMagnitudeFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_res_magnitude_filter,N,Method not found in current binding files
Public API,"void PointGoodnessOfFitFilter(const PvlGroup & pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_goodness_of_fit_filter,N,Method not found in current binding files
Public API,"void PointIDFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_id_filter,N,Method not found in current binding files
Public API,"void PointMeasuresFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_measures_filter,Y,2026-04-07 已暴露按点测量数过滤接口
Public API,"void PointPropertiesFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_properties_filter,N,Method not found in current binding files
Public API,"void PointLatLonFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_lat_lon_filter,N,Method not found in current binding files
Public API,"void PointDistanceFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_distance_filter,N,Method not found in current binding files
Public API,"void PointMeasurePropertiesFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_measure_properties_filter,N,Method not found in current binding files
Public API,"void PointCubeNamesFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.point_cube_names_filter,N,Method not found in current binding files
Public API,void PointStatsHeader(void),isis_pybind.ControlNetFilter.point_stats_header,Y,2026-04-07 已暴露点统计输出 header helper
Public API,void PointStats(const ControlPoint &pcPoint),isis_pybind.ControlNetFilter.point_stats,Y,2026-04-07 已暴露单点统计输出 helper
Public API,"void CubeNameExpressionFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.cube_name_expression_filter,N,Method not found in current binding files
Public API,"void CubeNumPointsFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.cube_num_points_filter,Y,2026-04-07 已暴露按影像点数过滤接口
Public API,"void CubeDistanceFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.cube_distance_filter,N,Method not found in current binding files
Public API,"void CubeConvexHullFilter(const PvlGroup &pvlGrp, bool pbLastFilter)",isis_pybind.ControlNetFilter.cube_convex_hull_filter,N,Method not found in current binding files
Public API,void CubeStatsHeader(void),isis_pybind.ControlNetFilter.cube_stats_header,Y,2026-04-07 已暴露影像统计输出 header helper
Mutation/Configuration,void SetOutputFile(QString psPrintFile),isis_pybind.ControlNetFilter.set_output_file,Y,2026-04-07 已暴露输出文件配置接口
Public API,void PrintCubeFileSerialNum(const ControlMeasure &pcMeasure),isis_pybind.ControlNetFilter.print_cube_file_serial_num,Y,2026-04-07 已暴露 measure 对应 cube/serial 输出 helper
