Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ControlNetVersioner,Control Networks,isis/src/control/objs/ControlNetVersioner/ControlNetVersioner.h,src/control/bind_control_core.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-10 已在 src/control/bind_control_core.cpp 暴露构造（默认/ControlNet*/filename）及网络元数据 getter；write/toPvl 也已暴露；focused 单测在 control_core_unit_test.py

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ControlNetVersioner,isis_pybind.ControlNetVersioner,Y,Bound in src/control/bind_control_core.cpp
Construction/Enum,ControlNetVersioner(),isis_pybind.ControlNetVersioner(),Y,Default constructor bound
Construction/Enum,ControlNetVersioner(ControlNet *net),isis_pybind.ControlNetVersioner(net),Y,Bound with py::keep_alive<1,2>()
Construction/Enum,ControlNetVersioner(const FileName netFile),isis_pybind.ControlNetVersioner(filename),Y,Bound with str->FileName conversion; Progress arg omitted (None)
Public API,QString netId() const,isis_pybind.ControlNetVersioner.net_id,Y,Bound; returns str
Public API,QString targetName() const,isis_pybind.ControlNetVersioner.target_name,Y,Bound; returns str
Public API,QString creationDate() const,isis_pybind.ControlNetVersioner.creation_date,Y,Bound; returns str
Public API,QString lastModificationDate() const,isis_pybind.ControlNetVersioner.last_modification_date,Y,Bound; returns str
Public API,QString description() const,isis_pybind.ControlNetVersioner.description,Y,Bound; returns str
Public API,QString userName() const,isis_pybind.ControlNetVersioner.user_name,Y,Bound; returns str
Public API,int numPoints() const,isis_pybind.ControlNetVersioner.num_points,Y,Bound; returns int
Public API,ControlPoint *takeFirstPoint(),isis_pybind.ControlNetVersioner.take_first_point,N,Not bound; raw-pointer ownership transfer is unsafe for Python; caller would need to manage deletion
Read/Write IO,void write(FileName netFile),isis_pybind.ControlNetVersioner.write,Y,Bound with str->FileName conversion
Public API,Pvl toPvl(),isis_pybind.ControlNetVersioner.to_pvl,Y,Bound; returns Pvl object
