Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ControlPoint,Control Networks,isis/src/control/objs/ControlPoint/ControlPoint.h,isis_pybind_standalone/src/control/bind_control_core.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-11 已按 bind_control_core.cpp 当前真实导出面同步；QString/QList 已在绑定边界适配

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ControlPoint,isis_pybind.ControlPoint,Y,Python class symbol is exported
Construction/Enum,"PointType enum (Fixed, Constrained, Free)",isis_pybind.ControlPoint.PointType,Y,Bound as nested enum on ControlPoint
Construction/Enum,"Status enum (Failure, Success, PointLocked)",isis_pybind.ControlPoint.Status,Y,Bound as nested enum on ControlPoint
Construction/Enum,"ConstraintStatus enum (Coord1Constrained, Coord2Constrained, Coord3Constrained)",isis_pybind.ControlPoint.ConstraintStatus,Y,Bound as nested enum on ControlPoint
Construction/Enum,"ModType enum (EditLockModified, IgnoredModified, TypeModified)",isis_pybind.ControlPoint.ModType,Y,Bound as nested enum on ControlPoint
Construction/Enum,ControlPoint(),isis_pybind.ControlPoint(),Y,Default/copy/string-id constructors are exposed
Public API,ControlNet *Parent() { return parentNetwork; },isis_pybind.ControlPoint.parent,Y,Returns parent ControlNet with reference_internal lifetime
Read/Write IO,void Load(PvlObject &p),isis_pybind.ControlPoint.load,Y,Directly bound as load(pvl_object)
Mutation/Configuration,void Add(ControlMeasure *measure),isis_pybind.ControlPoint.add_measure,Y,Currently exported under Python name add_measure(measure)
Mutation/Configuration,int Delete(ControlMeasure *measure),isis_pybind.ControlPoint.delete_measure,Y,Currently exported under Python name delete_measure(measure)
Mutation/Configuration,int Delete(QString serialNumber),isis_pybind.ControlPoint.delete_measure,Y,Currently exported under Python name delete_measure(serial_number)
Mutation/Configuration,int Delete(int index),isis_pybind.ControlPoint.delete_measure,Y,Currently exported under Python name delete_measure(index)
Public API,Status ResetApriori(),isis_pybind.ControlPoint.reset_apriori,Y,Directly bound as reset_apriori()
Public API,const ControlMeasure *GetMeasure(QString serialNumber) const,isis_pybind.ControlPoint.get_measure,Y,Python get_measure(serial_number) is exposed with reference_internal lifetime
Public API,ControlMeasure *GetMeasure(QString serialNumber),isis_pybind.ControlPoint.get_measure,Y,Python get_measure(serial_number) returns mutable reference_internal ControlMeasure
Public API,const ControlMeasure *GetMeasure(int index) const,isis_pybind.ControlPoint.get_measure,Y,Python get_measure(index) overload is exposed
Public API,ControlMeasure *GetMeasure(int index),isis_pybind.ControlPoint.get_measure,Y,Python get_measure(index) returns mutable reference_internal ControlMeasure
Query,bool HasRefMeasure() const,isis_pybind.ControlPoint.has_ref_measure,Y,Bound as has_ref_measure()
Public API,const ControlMeasure *GetRefMeasure() const,isis_pybind.ControlPoint.get_ref_measure,Y,Bound as get_ref_measure()
Public API,ControlMeasure *GetRefMeasure(),isis_pybind.ControlPoint.get_ref_measure,Y,Returns mutable reference_internal ControlMeasure
Mutation/Configuration,Status SetChooserName(QString name),isis_pybind.ControlPoint.set_chooser_name,Y,QString input adapted from Python str
Mutation/Configuration,Status SetDateTime(QString newDateTime),isis_pybind.ControlPoint.set_date_time,Y,QString input adapted from Python str
Mutation/Configuration,Status SetEditLock(bool editLock),isis_pybind.ControlPoint.set_edit_lock,Y,Direct bool setter binding
Mutation/Configuration,Status SetId(QString id),isis_pybind.ControlPoint.set_id,Y,QString input adapted from Python str
Mutation/Configuration,Status SetRefMeasure(ControlMeasure *cm),isis_pybind.ControlPoint.set_ref_measure,Y,Measure/int/serial-number overload cluster is exposed
Mutation/Configuration,Status SetRefMeasure(int index),isis_pybind.ControlPoint.set_ref_measure,Y,Measure/int/serial-number overload cluster is exposed
Mutation/Configuration,Status SetRefMeasure(QString sn),isis_pybind.ControlPoint.set_ref_measure,Y,Measure/int/serial-number overload cluster is exposed
Mutation/Configuration,Status SetRejected(bool rejected),isis_pybind.ControlPoint.set_rejected,Y,Direct bool setter binding
Mutation/Configuration,Status SetIgnored(bool newIgnoreStatus),isis_pybind.ControlPoint.set_ignored,Y,Direct bool setter binding
Mutation/Configuration,Status SetAdjustedSurfacePoint(SurfacePoint newSurfacePoint),isis_pybind.ControlPoint.set_adjusted_surface_point,Y,Bound with SurfacePoint value semantics
Mutation/Configuration,Status SetType(PointType newType),isis_pybind.ControlPoint.set_type,Y,Bound against nested PointType enum
Mutation/Configuration,Status SetAprioriRadiusSource(RadiusSource::Source source),isis_pybind.ControlPoint.set_apriori_radius_source,Y,Bound against nested RadiusSource enum
Mutation/Configuration,Status SetAprioriRadiusSourceFile(QString sourceFile),isis_pybind.ControlPoint.set_apriori_radius_source_file,Y,QString input adapted from Python str
Mutation/Configuration,Status SetAprioriSurfacePoint(SurfacePoint aprioriSP),isis_pybind.ControlPoint.set_apriori_surface_point,Y,Bound with SurfacePoint value semantics
Mutation/Configuration,Status SetAprioriSurfacePointSource(SurfacePointSource::Source source),isis_pybind.ControlPoint.set_apriori_surface_point_source,Y,Bound against nested SurfacePointSource enum
Mutation/Configuration,Status SetAprioriSurfacePointSourceFile(QString sourceFile),isis_pybind.ControlPoint.set_apriori_surface_point_source_file,Y,QString input adapted from Python str
Public API,Status ComputeApriori(),isis_pybind.ControlPoint.compute_apriori,Y,Directly bound as compute_apriori()
Public API,Status ComputeResiduals(),isis_pybind.ControlPoint.compute_residuals,Y,Directly bound as compute_residuals()
Public API,Status ComputeResiduals_Millimeters(),isis_pybind.ControlPoint.compute_residuals_millimeters,Y,Directly bound as compute_residuals_millimeters()
Public API,SurfacePoint GetAdjustedSurfacePoint() const,isis_pybind.ControlPoint.get_adjusted_surface_point,Y,Returns SurfacePoint by value
Public API,SurfacePoint GetBestSurfacePoint() const,isis_pybind.ControlPoint.get_best_surface_point,Y,Returns SurfacePoint by value
Public API,QString GetChooserName() const,isis_pybind.ControlPoint.get_chooser_name,Y,QString return adapted to Python str
Public API,QString GetDateTime() const,isis_pybind.ControlPoint.get_date_time,Y,QString return adapted to Python str
Query,bool IsEditLocked() const,isis_pybind.ControlPoint.is_edit_locked,Y,Bound as is_edit_locked()
Query,bool IsRejected() const,isis_pybind.ControlPoint.is_rejected,Y,Bound as is_rejected()
Public API,QString GetId() const,isis_pybind.ControlPoint.get_id,Y,QString return adapted to Python str
Query,bool IsIgnored() const,isis_pybind.ControlPoint.is_ignored,Y,Bound as is_ignored()
Query,bool IsValid() const,isis_pybind.ControlPoint.is_valid,Y,Bound as is_valid()
Query,bool IsInvalid() const,isis_pybind.ControlPoint.is_invalid,Y,Bound as is_invalid()
Query,bool IsFree() const,isis_pybind.ControlPoint.is_free,Y,Bound as is_free()
Query,bool IsFixed() const,isis_pybind.ControlPoint.is_fixed,Y,Bound as is_fixed()
Query,bool HasAprioriCoordinates(),isis_pybind.ControlPoint.has_apriori_coordinates,Y,Bound as has_apriori_coordinates()
Query,bool IsConstrained(),isis_pybind.ControlPoint.is_constrained,Y,Bound as is_constrained()
Query,bool IsCoord1Constrained(),isis_pybind.ControlPoint.is_coord1_constrained,Y,Bound as is_coord1_constrained()
Query,bool IsCoord2Constrained(),isis_pybind.ControlPoint.is_coord2_constrained,Y,Bound as is_coord2_constrained()
Query,bool IsCoord3Constrained(),isis_pybind.ControlPoint.is_coord3_constrained,Y,Bound as is_coord3_constrained()
Public API,int NumberOfConstrainedCoordinates(),isis_pybind.ControlPoint.number_of_constrained_coordinates,Y,Bound as number_of_constrained_coordinates()
Static/Factory,static QString PointTypeToString(PointType type),isis_pybind.ControlPoint.point_type_to_string,Y,Static QString helper adapted to Python str
Static/Factory,static PointType StringToPointType(QString pointTypeString),isis_pybind.ControlPoint.string_to_point_type,Y,Static enum parser adapted from Python str
Public API,QString GetPointTypeString() const,isis_pybind.ControlPoint.get_point_type_string,Y,QString return adapted to Python str
Public API,PointType GetType() const,isis_pybind.ControlPoint.get_type,Y,Returns nested PointType enum
Static/Factory,static QString RadiusSourceToString(RadiusSource::Source source),isis_pybind.ControlPoint.radius_source_to_string,Y,Static QString helper adapted to Python str
Static/Factory,static RadiusSource::Source StringToRadiusSource(QString str),isis_pybind.ControlPoint.string_to_radius_source,Y,Static enum parser adapted from Python str
