Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
MaximumLikelihoodWFunctions,Math,isis/src/control/objs/MaximumLikelihoodWFunctions/MaximumLikelihoodWFunctions.h,src/base/bind_base_math.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,MaximumLikelihoodWFunctions,isis_pybind.MaximumLikelihoodWFunctions,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Construction/Enum,"Model enum (Huber, HuberModified, Welsch, Chen)",isis_pybind.MaximumLikelihoodWFunctions.Model,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Static/Factory,static QString modelToString(Model model),isis_pybind.MaximumLikelihoodWFunctions.model_to_string,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Static/Factory,static MaximumLikelihoodWFunctions::Model stringToModel(QString modelName),isis_pybind.MaximumLikelihoodWFunctions.string_to_model,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Construction/Enum,MaximumLikelihoodWFunctions(),isis_pybind.MaximumLikelihoodWFunctions(),Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Mutation/Configuration,void setModel(Model modelSelection),isis_pybind.MaximumLikelihoodWFunctions.set_model,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Mutation/Configuration,void setTweakingConstantDefault(),isis_pybind.MaximumLikelihoodWFunctions.set_tweaking_constant_default,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Mutation/Configuration,"void setModel(Model modelSelection, double tweakingConstant)",isis_pybind.MaximumLikelihoodWFunctions.set_model,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Mutation/Configuration,void setTweakingConstant(double tweakingConstant),isis_pybind.MaximumLikelihoodWFunctions.set_tweaking_constant,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Public API,Model model() const,isis_pybind.MaximumLikelihoodWFunctions.model,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Public API,double tweakingConstant() const,isis_pybind.MaximumLikelihoodWFunctions.tweaking_constant,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Public API,double sqrtWeightScaler(double residualZScore),isis_pybind.MaximumLikelihoodWFunctions.sqrt_weight_scaler,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Public API,double tweakingConstantQuantile(),isis_pybind.MaximumLikelihoodWFunctions.tweaking_constant_quantile,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Public API,QString weightedResidualCutoff(),isis_pybind.MaximumLikelihoodWFunctions.weighted_residual_cutoff,Y,2026-04-11 台账同步；已在 src/base/bind_base_math.cpp 暴露
Read/Write IO,QDataStream &write(QDataStream &stream) const,isis_pybind.MaximumLikelihoodWFunctions.write,N,Method not found in current binding files
Read/Write IO,QDataStream &read(QDataStream &stream),isis_pybind.MaximumLikelihoodWFunctions.read,N,Method not found in current binding files
