Priority Rank,Suggested Priority,Priority Reason,Class,Module Category,Generated CSV,Todo Status,Class Symbol Status,Y Count,N Count,Partial Count,Open Items,Total Items,Completion Percent,Source,Binding,Class Note
1,High,Already exported in Python with a small remaining API gap,ApolloPanoramicCamera,Apollo,apollo_apollo_panoramic_camera_methods.csv,已转换,Y,9,0,0,0,9,100.00,reference/upstream_isis/src/apollo/objs/ApolloPanoramicCamera/ApolloPanoramicCamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,2026-04-07 已在 src/mission/bind_mission_cameras.cpp 暴露 Cube 构造与 residual/CK/SPK 接口；intOriResidualsReport 通过 pybind wrapper 规避上游未定义符号
1,High,Already exported in Python with a small remaining API gap,IssNACamera,Cassini,cassini_iss_na_camera_methods.csv,未转换,Y,6,0,0,0,6,100.00,isis/src/cassini/objs/IssNACamera/IssNACamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
1,High,Already exported in Python with a small remaining API gap,IssWACamera,Cassini,cassini_iss_wa_camera_methods.csv,未转换,Y,6,0,0,0,6,100.00,isis/src/cassini/objs/IssWACamera/IssWACamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,"亦属 Spice, Instruments, and Cameras 相关类；相机模型/Spice 依赖"
1,High,Already exported in Python with a small remaining API gap,ControlNetDiff,Control Networks,control_control_net_diff_methods.csv,已转换,Y,5,0,0,0,5,100.00,isis/src/control/objs/ControlNetDiff/ControlNetDiff.h,isis_pybind_standalone/src/control/bind_control_core.cpp,2026-03-21 已在 bind_control_core.cpp 暴露 compare(...) 与 tolerances 接口
1,High,Already exported in Python with a small remaining API gap,ControlNetFilter,Control Networks,control_control_net_filter_methods.csv,已转换,Y,23,0,0,0,23,100.00,isis/src/control/objs/ControlNetFilter/ControlNetFilter.h,src/control/bind_control_core.cpp,2026-04-08 已在 bind_control_core.cpp 同步暴露全部公开过滤器与输出 helper，并补 focused 单测
1,High,Already exported in Python with a small remaining API gap,ControlPointList,Control Networks,control_control_point_list_methods.csv,已转换,Y,7,0,0,0,7,100.00,isis/src/control/objs/ControlPointList/ControlPointList.h,isis_pybind_standalone/src/control/bind_control_core.cpp,2026-03-21 已在 bind_control_core.cpp 暴露文件读取/索引/统计注册接口
1,High,Already exported in Python with a small remaining API gap,InterestOperatorFactory,Control Networks,control_interest_operator_factory_methods.csv,已转换,Y,2,0,0,0,2,100.00,isis/src/control/objs/InterestOperatorFactory/InterestOperatorFactory.h,src/control/bind_interest_operator_factory.cpp,2026-03-27 已在 bind_interest_operator_factory.cpp 暴露 create 静态工厂方法
1,High,Already exported in Python with a small remaining API gap,ObservationNumber,Control Networks,base_observation_number_methods.csv,已转换,Y,6,0,0,0,6,100.00,isis/src/base/objs/ObservationNumber/ObservationNumber.h,isis_pybind_standalone/src/base/bind_base_support.cpp,2026-03-21 已在 bind_base_support.cpp 暴露 compose(...) 与 possible_serial(...)
1,High,Already exported in Python with a small remaining API gap,SerialNumber,Control Networks,base_serial_number_methods.csv,已转换,Y,6,0,0,0,6,100.00,isis/src/base/objs/SerialNumber/SerialNumber.h,isis_pybind_standalone/src/base/bind_base_support.cpp,2026-03-21 已在 bind_base_support.cpp 暴露 compose(...) 与 compose_observation(...)
1,High,Already exported in Python with a small remaining API gap,SerialNumberList,Control Networks,base_serial_number_list_methods.csv,已转换,Y,18,0,0,0,18,100.00,isis/src/base/objs/SerialNumberList/SerialNumberList.h,isis_pybind_standalone/src/base/bind_base_support.cpp,2026-03-21 已在 bind_base_support.cpp 暴露构造/增删/查询/索引/观测号辅助接口
1,High,Already exported in Python with a small remaining API gap,Intercept,Geometry,base_intercept_methods.csv,已转换,Y,11,0,0,0,11,100.00,reference/upstream_isis/src/base/objs/Intercept/Intercept.h,isis_pybind_standalone/src/base/bind_base_shape_support.cpp,2026-04-08 完成 Intercept 绑定 ctor 克隆路径与单元测试补充
1,High,Already exported in Python with a small remaining API gap,Stereo,Geometry,base_stereo_methods.csv,已转换,Y,5,0,0,0,5,100.00,reference/upstream_isis/src/base/objs/Stereo/Stereo.h,isis_pybind_standalone/src/base/bind_base_geometry.cpp,2026-04-08 已在 src/base/bind_base_geometry.cpp 暴露 Stereo 构造与 elevation/spherical/rectangular 静态接口；新增 tests/unitTest/stereo_unit_test.py 与 smoke 覆盖
1,High,Already exported in Python with a small remaining API gap,HayabusaAmicaCamera,Hayabusa,hayabusa_hayabusa_amica_camera_methods.csv,已转换,Y,5,0,0,0,5,100.00,isis/src/hayabusa/objs/HayabusaAmicaCamera/HayabusaAmicaCamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,2026-04-06 已在 bind_mission_cameras.cpp 暴露构造/快门时间/SPICE ID，并新增 focused 单测与 smoke 覆盖
1,High,Already exported in Python with a small remaining API gap,HayabusaNirsCamera,Hayabusa,hayabusa_hayabusa_nirs_camera_methods.csv,已转换,Y,6,0,0,0,6,100.00,isis/src/hayabusa/objs/HayabusaNirsCamera/HayabusaNirsCamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,2026-04-06 已在 bind_mission_cameras.cpp 暴露构造/快门时间/SPICE ID，并将 PixelIfovOffsets 适配为 Python list[tuple]
1,High,Already exported in Python with a small remaining API gap,NirsDetectorMap,Hayabusa,hayabusa_nirs_detector_map_methods.csv,已转换,Y,2,0,0,0,2,100.00,isis/src/hayabusa/objs/HayabusaNirsCamera/NirsDetectorMap.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,2026-04-06 已在 bind_mission_cameras.cpp 暴露构造/set_exposure_duration/exposure_duration，并新增 focused 单测
