Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
HiCalConf,Mars Reconnaissance Orbiter,isis/src/mro/objs/HiCal/HiCalConf.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,HiCalConf,isis_pybind.HiCalConf,N,Python class symbol not found in current binding files
Construction/Enum,HiCalConf(),isis_pybind.HiCalConf(),N,Constructor binding not detected in current binding files
Mutation/Configuration,void setLabel(Pvl &label),isis_pybind.HiCalConf.set_label,N,Method not found in current binding files
Public API,"PvlKeyword &getKey(const QString &key, const QString &group = """")",isis_pybind.HiCalConf.get_key,N,Method not found in current binding files
Public API,QString filepath(const QString &fname) const,isis_pybind.HiCalConf.filepath,N,Method not found in current binding files
Mutation/Configuration,void setConf(const QString &conf),isis_pybind.HiCalConf.set_conf,N,Method not found in current binding files
Public API,"void selectProfile(const QString &profile = """")",isis_pybind.HiCalConf.select_profile,N,Method not found in current binding files
Public API,QString getProfileName() const,isis_pybind.HiCalConf.get_profile_name,N,Method not found in current binding files
Public API,QString getMatrixSource(const QString &name) const,isis_pybind.HiCalConf.get_matrix_source,N,Method not found in current binding files
Public API,"QString getMatrixSource(const QString &name, const DbProfile &matconf) const",isis_pybind.HiCalConf.get_matrix_source,N,Method not found in current binding files
Public API,"HiVector getMatrix(const QString &name, int expected_size = 0) const",isis_pybind.HiCalConf.get_matrix,N,Method not found in current binding files
Public API,"HiVector getMatrix(const QString &name, const DbProfile &profile, int expected_size = 0) const",isis_pybind.HiCalConf.get_matrix,N,Method not found in current binding files
Public API,"HiVector getScalar(const QString &name, const DbProfile &profile, int expected_size) const",isis_pybind.HiCalConf.get_scalar,N,Method not found in current binding files
Public API,int getMatrixBand() const,isis_pybind.HiCalConf.get_matrix_band,N,Method not found in current binding files
Public API,int getMatrixBand(const DbProfile &p) const,isis_pybind.HiCalConf.get_matrix_band,N,Method not found in current binding files
Public API,double sunDistanceAU(Cube *cube),isis_pybind.HiCalConf.sun_distance_au,N,Method not found in current binding files
Public API,"DbProfile getMatrixProfile(const QString &profile = """") const",isis_pybind.HiCalConf.get_matrix_profile,N,Method not found in current binding files
Public API,"ValueList getList(const DbProfile &profile, const QString &key) const",isis_pybind.HiCalConf.get_list,N,Method not found in current binding files
Public API,"QString resolve(const QString &composite, const DbProfile &matconf) const",isis_pybind.HiCalConf.resolve,N,Method not found in current binding files
