Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ZeroBufferFit,Mars Reconnaissance Orbiter,isis/src/mro/objs/HiCal/ZeroBufferFit.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ZeroBufferFit,isis_pybind.ZeroBufferFit,N,Python class symbol not found in current binding files
Construction/Enum,ZeroBufferFit(),isis_pybind.ZeroBufferFit(),N,Constructor binding not detected in current binding files
Mutation/Configuration,void setBin(int bin) { _timet.setBin(bin); },isis_pybind.ZeroBufferFit.set_bin,N,Method not found in current binding files
Mutation/Configuration,void setLineTime(double ltime) { _timet.setLineTime(ltime); },isis_pybind.ZeroBufferFit.set_line_time,N,Method not found in current binding files
Query,inline int size() const { return (_data.dim()); },isis_pybind.ZeroBufferFit.size,N,Method not found in current binding files
Public API,int nSize() const { return (_b2.dim()); },isis_pybind.ZeroBufferFit.n_size,N,Method not found in current binding files
Public API,int nParms() const { return (4); },isis_pybind.ZeroBufferFit.n_parms,N,Method not found in current binding files
Mutation/Configuration,void setabsErr(double absError) { _absErr = absError; },isis_pybind.ZeroBufferFit.setabs_err,N,Method not found in current binding files
Mutation/Configuration,void setrelErr(double relError) { _relErr = relError; },isis_pybind.ZeroBufferFit.setrel_err,N,Method not found in current binding files
Public API,double absErr() const { return (_absErr); },isis_pybind.ZeroBufferFit.abs_err,N,Method not found in current binding files
Public API,double relErr() const { return (_relErr); },isis_pybind.ZeroBufferFit.rel_err,N,Method not found in current binding files
Public API,HiVector Solve(const HiVector &d),isis_pybind.ZeroBufferFit.solve,N,Method not found in current binding files
Public API,NLVector guess(),isis_pybind.ZeroBufferFit.guess,N,Method not found in current binding files
Public API,"int checkIteration(const int Iter, const NLVector &fitcoefs, const NLVector &uncerts, double cplxconj, int Istatus)",isis_pybind.ZeroBufferFit.check_iteration,N,Method not found in current binding files
Public API,NLVector f_x(const NLVector &a),isis_pybind.ZeroBufferFit.f_x,N,Method not found in current binding files
Public API,NLMatrix df_x(const NLVector &a),isis_pybind.ZeroBufferFit.df_x,N,Method not found in current binding files
Public API,double Chisq() const { return (_chisq); },isis_pybind.ZeroBufferFit.chisq,N,Method not found in current binding files
Public API,int DoF() const { return (nSize() - nParms()); },isis_pybind.ZeroBufferFit.do_f,N,Method not found in current binding files
Public API,HiVector Yfit() const,isis_pybind.ZeroBufferFit.yfit,N,Method not found in current binding files
Public API,HiVector Normalize(const HiVector &v),isis_pybind.ZeroBufferFit.normalize,N,Method not found in current binding files
