filter_threshold,width_confidence,depth_confidence,matched_points,left_keypoints,right_keypoints,match_time_ms
0.01,-1,-1,247,329,323,164.8
0.01,-1,0.5,255,329,323,26.1
0.01,-1,0.8,252,329,323,47.7
0.01,-1,0.9,252,329,323,43.5
0.01,-1,0.95,252,329,323,42.5
0.01,-1,0.99,252,329,323,57.8
0.01,0.5,-1,240,329,323,118.4
0.01,0.5,0.5,251,329,323,28.3
0.01,0.5,0.8,249,329,323,42.3
0.01,0.5,0.9,249,329,323,40.7
0.01,0.5,0.95,249,329,323,40.0
0.01,0.5,0.99,249,329,323,50.4
0.01,0.8,-1,245,329,323,114.5
0.01,0.8,0.5,254,329,323,26.0
0.01,0.8,0.8,253,329,323,40.9
0.01,0.8,0.9,253,329,323,40.3
0.01,0.8,0.95,253,329,323,44.3
0.01,0.8,0.99,253,329,323,51.0
0.01,0.9,-1,246,329,323,112.8
0.01,0.9,0.5,255,329,323,25.5
0.01,0.9,0.8,252,329,323,39.8
0.01,0.9,0.9,252,329,323,40.1
0.01,0.9,0.95,252,329,323,39.1
0.01,0.9,0.99,252,329,323,51.6
0.01,0.95,-1,246,329,323,116.5
0.01,0.95,0.5,255,329,323,25.6
0.01,0.95,0.8,253,329,323,41.1
0.01,0.95,0.9,253,329,323,40.6
0.01,0.95,0.95,253,329,323,39.9
0.01,0.95,0.99,252,329,323,52.9
0.01,0.99,-1,247,329,323,114.9
0.01,0.99,0.5,255,329,323,26.5
0.01,0.99,0.8,252,329,323,43.0
0.01,0.99,0.9,252,329,323,40.5
0.01,0.99,0.95,252,329,323,42.1
0.01,0.99,0.99,252,329,323,53.8
0.02,-1,-1,247,329,323,138.5
0.02,-1,0.5,254,329,323,27.0
0.02,-1,0.8,251,329,323,53.3
0.02,-1,0.9,251,329,323,40.4
0.02,-1,0.95,251,329,323,43.4
0.02,-1,0.99,252,329,323,81.9
0.02,0.5,-1,240,329,323,113.1
0.02,0.5,0.5,250,329,323,24.5
0.02,0.5,0.8,248,329,323,38.6
0.02,0.5,0.9,248,329,323,37.1
0.02,0.5,0.95,248,329,323,40.5
0.02,0.5,0.99,249,329,323,92.0
0.02,0.8,-1,244,329,323,150.9
0.02,0.8,0.5,254,329,323,30.3
0.02,0.8,0.8,252,329,323,63.0
0.02,0.8,0.9,252,329,323,54.5
0.02,0.8,0.95,252,329,323,45.4
0.02,0.8,0.99,253,329,323,53.5
0.02,0.9,-1,246,329,323,113.4
0.02,0.9,0.5,254,329,323,26.2
0.02,0.9,0.8,251,329,323,40.0
0.02,0.9,0.9,251,329,323,40.4
0.02,0.9,0.95,251,329,323,39.4
0.02,0.9,0.99,252,329,323,51.4
0.02,0.95,-1,246,329,323,113.5
0.02,0.95,0.5,254,329,323,26.8
0.02,0.95,0.8,252,329,323,41.2
0.02,0.95,0.9,252,329,323,42.2
0.02,0.95,0.95,252,329,323,42.0
0.02,0.95,0.99,252,329,323,53.6
0.02,0.99,-1,247,329,323,117.6
0.02,0.99,0.5,254,329,323,26.9
0.02,0.99,0.8,251,329,323,43.6
0.02,0.99,0.9,251,329,323,41.1
0.02,0.99,0.95,251,329,323,40.7
0.02,0.99,0.99,252,329,323,52.9
0.05,-1,-1,247,329,323,134.1
0.05,-1,0.5,254,329,323,25.9
0.05,-1,0.8,251,329,323,41.9
0.05,-1,0.9,251,329,323,40.5
0.05,-1,0.95,251,329,323,40.9
0.05,-1,0.99,252,329,323,56.3
0.05,0.5,-1,240,329,323,111.7
0.05,0.5,0.5,250,329,323,24.1
0.05,0.5,0.8,247,329,323,37.2
0.05,0.5,0.9,247,329,323,38.7
0.05,0.5,0.95,247,329,323,36.9
0.05,0.5,0.99,249,329,323,48.6
0.05,0.8,-1,244,329,323,112.7
0.05,0.8,0.5,254,329,323,27.3
0.05,0.8,0.8,252,329,323,40.0
0.05,0.8,0.9,252,329,323,40.3
0.05,0.8,0.95,252,329,323,46.7
0.05,0.8,0.99,253,329,323,52.1
0.05,0.9,-1,245,329,323,114.8
0.05,0.9,0.5,254,329,323,25.8
0.05,0.9,0.8,251,329,323,40.3
0.05,0.9,0.9,251,329,323,42.1
0.05,0.9,0.95,251,329,323,40.4
0.05,0.9,0.99,252,329,323,51.8
0.05,0.95,-1,244,329,323,117.1
0.05,0.95,0.5,254,329,323,26.8
0.05,0.95,0.8,252,329,323,41.0
0.05,0.95,0.9,252,329,323,40.1
0.05,0.95,0.95,252,329,323,42.3
0.05,0.95,0.99,252,329,323,54.1
0.05,0.99,-1,246,329,323,117.6
0.05,0.99,0.5,254,329,323,26.1
0.05,0.99,0.8,251,329,323,42.9
0.05,0.99,0.9,251,329,323,42.2
0.05,0.99,0.95,251,329,323,47.3
0.05,0.99,0.99,252,329,323,56.7
0.08,-1,-1,245,329,323,136.9
0.08,-1,0.5,253,329,323,29.3
0.08,-1,0.8,251,329,323,44.3
0.08,-1,0.9,251,329,323,41.8
0.08,-1,0.95,251,329,323,49.9
0.08,-1,0.99,252,329,323,58.0
0.08,0.5,-1,240,329,323,119.2
0.08,0.5,0.5,249,329,323,26.9
0.08,0.5,0.8,247,329,323,37.9
0.08,0.5,0.9,247,329,323,41.6
0.08,0.5,0.95,247,329,323,38.6
0.08,0.5,0.99,248,329,323,51.6
0.08,0.8,-1,243,329,323,115.7
0.08,0.8,0.5,253,329,323,25.6
0.08,0.8,0.8,252,329,323,40.1
0.08,0.8,0.9,252,329,323,39.6
0.08,0.8,0.95,252,329,323,39.4
0.08,0.8,0.99,253,329,323,55.0
0.08,0.9,-1,243,329,323,120.8
0.08,0.9,0.5,253,329,323,26.8
0.08,0.9,0.8,251,329,323,40.6
0.08,0.9,0.9,251,329,323,40.9
0.08,0.9,0.95,251,329,323,41.2
0.08,0.9,0.99,252,329,323,52.8
0.08,0.95,-1,243,329,323,115.9
