filter_threshold,width_confidence,depth_confidence,matched_points,possible_pairs,left_keypoints,right_keypoints,match_ratio_pct,match_time_ms
0.01,-1,-1,884,1320,1320,1351,66.97,986.7
0.01,-1,0.5,957,1320,1320,1351,72.5,151.9
0.01,-1,0.8,919,1320,1320,1351,69.62,327.5
0.01,-1,0.9,905,1320,1320,1351,68.56,466.0
0.01,-1,0.95,905,1320,1320,1351,68.56,464.2
0.01,-1,0.99,891,1320,1320,1351,67.5,601.0
0.01,0.5,-1,726,1320,1320,1351,55.0,424.6
0.01,0.5,0.5,891,1320,1320,1351,67.5,140.2
0.01,0.5,0.8,832,1320,1320,1351,63.03,238.2
0.01,0.5,0.9,832,1320,1320,1351,63.03,236.4
0.01,0.5,0.95,807,1320,1320,1351,61.14,293.8
0.01,0.5,0.99,807,1320,1320,1351,61.14,295.2
0.01,0.8,-1,819,1320,1320,1351,62.05,549.0
0.01,0.8,0.5,955,1320,1320,1351,72.35,155.6
0.01,0.8,0.8,893,1320,1320,1351,67.65,293.0
0.01,0.8,0.9,867,1320,1320,1351,65.68,365.4
0.01,0.8,0.95,867,1320,1320,1351,65.68,356.1
0.01,0.8,0.99,842,1320,1320,1351,63.79,405.0
0.01,0.9,-1,848,1320,1320,1351,64.24,611.0
0.01,0.9,0.5,957,1320,1320,1351,72.5,153.2
0.01,0.9,0.8,910,1320,1320,1351,68.94,296.2
0.01,0.9,0.9,888,1320,1320,1351,67.27,378.9
0.01,0.9,0.95,888,1320,1320,1351,67.27,382.2
0.01,0.9,0.99,872,1320,1320,1351,66.06,449.6
0.01,0.95,-1,857,1320,1320,1351,64.92,665.9
0.01,0.95,0.5,958,1320,1320,1351,72.58,155.1
0.01,0.95,0.8,914,1320,1320,1351,69.24,317.5
0.01,0.95,0.9,897,1320,1320,1351,67.95,399.7
0.01,0.95,0.95,897,1320,1320,1351,67.95,495.2
0.01,0.95,0.99,878,1320,1320,1351,66.52,644.1
0.01,0.99,-1,866,1320,1320,1351,65.61,1005.5
0.01,0.99,0.5,957,1320,1320,1351,72.5,192.3
0.01,0.99,0.8,919,1320,1320,1351,69.62,424.2
0.01,0.99,0.9,901,1320,1320,1351,68.26,565.8
0.01,0.99,0.95,901,1320,1320,1351,68.26,563.3
0.01,0.99,0.99,888,1320,1320,1351,67.27,691.7
0.02,-1,-1,878,1320,1320,1351,66.52,1285.3
0.02,-1,0.5,934,1320,1320,1351,70.76,185.0
0.02,-1,0.8,902,1320,1320,1351,68.33,437.9
0.02,-1,0.9,893,1320,1320,1351,67.65,645.7
0.02,-1,0.95,893,1320,1320,1351,67.65,654.4
0.02,-1,0.99,886,1320,1320,1351,67.12,846.9
0.02,0.5,-1,726,1320,1320,1351,55.0,575.7
0.02,0.5,0.5,876,1320,1320,1351,66.36,159.7
0.02,0.5,0.8,824,1320,1320,1351,62.42,309.7
0.02,0.5,0.9,824,1320,1320,1351,62.42,298.3
0.02,0.5,0.95,804,1320,1320,1351,60.91,405.6
0.02,0.5,0.99,804,1320,1320,1351,60.91,378.0
0.02,0.8,-1,817,1320,1320,1351,61.89,743.0
0.02,0.8,0.5,931,1320,1320,1351,70.53,193.5
0.02,0.8,0.8,881,1320,1320,1351,66.74,377.9
0.02,0.8,0.9,862,1320,1320,1351,65.3,475.2
0.02,0.8,0.95,862,1320,1320,1351,65.3,462.8
0.02,0.8,0.99,839,1320,1320,1351,63.56,549.1
0.02,0.9,-1,847,1320,1320,1351,64.17,820.6
0.02,0.9,0.5,934,1320,1320,1351,70.76,198.7
0.02,0.9,0.8,893,1320,1320,1351,67.65,391.8
0.02,0.9,0.9,881,1320,1320,1351,66.74,493.2
0.02,0.9,0.95,881,1320,1320,1351,66.74,502.6
0.02,0.9,0.99,871,1320,1320,1351,65.98,602.2
0.02,0.95,-1,855,1320,1320,1351,64.77,879.1
0.02,0.95,0.5,934,1320,1320,1351,70.76,185.4
0.02,0.95,0.8,898,1320,1320,1351,68.03,421.8
0.02,0.95,0.9,886,1320,1320,1351,67.12,549.5
0.02,0.95,0.95,886,1320,1320,1351,67.12,533.6
0.02,0.95,0.99,877,1320,1320,1351,66.44,645.4
0.02,0.99,-1,862,1320,1320,1351,65.3,1029.2
0.02,0.99,0.5,934,1320,1320,1351,70.76,203.9
0.02,0.99,0.8,903,1320,1320,1351,68.41,464.2
0.02,0.99,0.9,891,1320,1320,1351,67.5,595.2
0.02,0.99,0.95,891,1320,1320,1351,67.5,587.2
0.02,0.99,0.99,882,1320,1320,1351,66.82,711.4
0.05,-1,-1,871,1320,1320,1351,65.98,1379.2
0.05,-1,0.5,895,1320,1320,1351,67.8,190.3
0.05,-1,0.8,874,1320,1320,1351,66.21,472.8
0.05,-1,0.9,870,1320,1320,1351,65.91,651.5
0.05,-1,0.95,870,1320,1320,1351,65.91,639.3
0.05,-1,0.99,864,1320,1320,1351,65.45,823.0
0.05,0.5,-1,726,1320,1320,1351,55.0,569.5
0.05,0.5,0.5,851,1320,1320,1351,64.47,158.7
0.05,0.5,0.8,815,1320,1320,1351,61.74,300.8
0.05,0.5,0.9,815,1320,1320,1351,61.74,293.0
0.05,0.5,0.95,799,1320,1320,1351,60.53,375.7
0.05,0.5,0.99,799,1320,1320,1351,60.53,372.5
0.05,0.8,-1,809,1320,1320,1351,61.29,753.6
0.05,0.8,0.5,892,1320,1320,1351,67.58,197.9
0.05,0.8,0.8,863,1320,1320,1351,65.38,365.4
0.05,0.8,0.9,846,1320,1320,1351,64.09,465.1
0.05,0.8,0.95,846,1320,1320,1351,64.09,457.2
0.05,0.8,0.99,834,1320,1320,1351,63.18,553.9
0.05,0.9,-1,835,1320,1320,1351,63.26,813.3
0.05,0.9,0.5,895,1320,1320,1351,67.8,191.6
0.05,0.9,0.8,874,1320,1320,1351,66.21,392.7
