overall_rank,app,module,portability_score,importance_score,combined_score,recommended_wave,current_manifest,source_files,source_lines,detected_blockers,importance_reason,source_dir
1,automos,base,5,5,55,W0-current-batch,yes,3,220,none,核心导航制图、几何或控制网能力,isis/src/base/apps/automos
2,caminfo,base,5,5,55,W0-current-batch,yes,5,1588,none,核心导航制图、几何或控制网能力,isis/src/base/apps/caminfo
3,campt,base,5,5,55,W0-current-batch,yes,3,310,none,核心导航制图、几何或控制网能力,isis/src/base/apps/campt
4,camrange,base,5,5,55,W0-current-batch,yes,3,149,none,核心导航制图、几何或控制网能力,isis/src/base/apps/camrange
5,footprintinit,base,5,5,55,W0-current-batch,yes,3,191,none,核心导航制图、几何或控制网能力,isis/src/base/apps/footprintinit
6,footprintmerge,base,5,5,55,W0-current-batch,yes,1,162,none,核心导航制图、几何或控制网能力,isis/src/base/apps/footprintmerge
7,map2map,base,5,5,55,W0-current-batch,yes,3,691,none,核心导航制图、几何或控制网能力,isis/src/base/apps/map2map
8,mapmos,base,5,5,55,W0-current-batch,yes,3,154,none,核心导航制图、几何或控制网能力,isis/src/base/apps/mapmos
9,mappt,base,5,5,55,W0-current-batch,yes,3,479,none,核心导航制图、几何或控制网能力,isis/src/base/apps/mappt
10,maptemplate,base,5,5,55,W0-current-batch,yes,1,692,none,核心导航制图、几何或控制网能力,isis/src/base/apps/maptemplate
11,mosrange,base,5,5,55,W0-current-batch,yes,3,366,none,核心导航制图、几何或控制网能力,isis/src/base/apps/mosrange
12,spicefit,base,5,5,55,W0-current-batch,yes,1,60,none,核心导航制图、几何或控制网能力,isis/src/base/apps/spicefit
13,jigsaw,control,5,5,55,W0-current-batch,yes,3,951,none,核心导航制图、几何或控制网能力,isis/src/control/apps/jigsaw
14,cam2map,base,3,5,53,W0-current-batch,yes,3,898,external_process,核心导航制图、几何或控制网能力,isis/src/base/apps/cam2map
15,spiceinit,base,3,5,53,W0-current-batch,yes,7,1584,posix_api,核心导航制图、几何或控制网能力,isis/src/base/apps/spiceinit
16,pointreg,control,3,5,53,W0-current-batch,yes,3,890,posix_api,核心导航制图、几何或控制网能力,isis/src/control/apps/pointreg
17,findfeatures,control,1,5,51,W5-blocked-or-specialized,no,79,13384,external_process;large_source;optional_stack,核心导航制图、几何或控制网能力,isis/src/control/apps/findfeatures
18,ascii2isis,base,5,4,45,W0-current-batch,yes,1,166,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/ascii2isis
19,camstats,base,5,4,45,W0-current-batch,yes,3,259,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/camstats
20,catlab,base,5,4,45,W0-current-batch,yes,1,45,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/catlab
21,crop,base,5,4,45,W0-current-batch,yes,3,383,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/crop
22,cubeatt,base,5,4,45,W0-current-batch,yes,3,93,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/cubeatt
23,cubediff,base,5,4,45,W0-current-batch,yes,3,743,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/cubediff
24,cubeit,base,5,4,45,W0-current-batch,yes,3,276,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/cubeit
25,dsk2isis,base,5,4,45,W0-current-batch,yes,1,143,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/dsk2isis
26,findimageoverlaps,base,5,4,45,W0-current-batch,yes,3,123,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/findimageoverlaps
27,fits2isis,base,5,4,45,W0-current-batch,yes,3,86,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/fits2isis
28,fx,base,5,4,45,W0-current-batch,yes,1,131,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/fx
29,getkey,base,5,4,45,W0-current-batch,yes,1,138,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/getkey
30,isis2fits,base,5,4,45,W0-current-batch,yes,1,256,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/isis2fits
31,isis2pds,base,5,4,45,W0-current-batch,yes,3,272,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/isis2pds
32,isis2std,base,5,4,45,W0-current-batch,yes,3,199,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/isis2std
33,makecube,base,5,4,45,W0-current-batch,yes,1,103,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/makecube
34,map2cam,base,5,4,45,W0-current-batch,yes,3,190,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/map2cam
35,mapgrid,base,5,4,45,W0-current-batch,yes,1,256,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/mapgrid
36,maplab,base,5,4,45,W0-current-batch,yes,1,122,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/maplab
37,maptrim,base,5,4,45,W0-current-batch,yes,3,197,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/maptrim
38,pds2isis,base,5,4,45,W0-current-batch,yes,3,115,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/pds2isis
39,raw2isis,base,5,4,45,W0-current-batch,yes,1,44,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/raw2isis
40,reduce,base,5,4,45,W0-current-batch,yes,3,129,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/reduce
41,stats,base,5,4,45,W0-current-batch,yes,3,232,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/stats
42,std2isis,base,5,4,45,W0-current-batch,yes,3,61,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/std2isis
43,table2cube,base,5,4,45,W0-current-batch,yes,1,74,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/table2cube
44,tabledump,base,5,4,45,W0-current-batch,yes,1,197,none,常用数据处理、导入导出或任务支撑能力,isis/src/base/apps/tabledump
45,autoseed,control,5,4,45,W0-current-batch,yes,3,569,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/autoseed
46,cnetadd,control,5,4,45,W0-current-batch,yes,1,418,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/cnetadd
47,cnetcheck,control,5,4,45,W0-current-batch,yes,3,745,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/cnetcheck
48,cnetdiff,control,5,4,45,W0-current-batch,yes,3,425,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/cnetdiff
49,cnetedit,control,5,4,45,W0-current-batch,yes,3,1223,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/cnetedit
50,cnetextract,control,5,4,45,W0-current-batch,yes,3,935,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/cnetextract
51,cnethist,control,5,4,45,W0-current-batch,yes,1,242,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/cnethist
52,cnetmerge,control,5,4,45,W0-current-batch,yes,1,542,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/cnetmerge
53,cnetref,control,5,4,45,W0-current-batch,yes,7,1473,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/cnetref
54,cnetstats,control,5,4,45,W0-current-batch,yes,3,287,none,常用数据处理、导入导出或任务支撑能力,isis/src/control/apps/cnetstats
55,lronac2isis,lro,4,4,44,W0-current-batch,yes,3,289,mission_runtime_data,常用数据处理、导入导出或任务支撑能力,isis/src/lro/apps/lronac2isis
56,lronaccal,lro,4,4,44,W0-current-batch,yes,3,963,mission_runtime_data,常用数据处理、导入导出或任务支撑能力,isis/src/lro/apps/lronaccal
57,lronacecho,lro,4,4,44,W0-current-batch,yes,1,153,mission_runtime_data,常用数据处理、导入导出或任务支撑能力,isis/src/lro/apps/lronacecho
58,lrowac2isis,lro,4,4,44,W0-current-batch,yes,3,883,mission_runtime_data,常用数据处理、导入导出或任务支撑能力,isis/src/lro/apps/lrowac2isis
59,lrowaccal,lro,4,4,44,W0-current-batch,yes,3,828,mission_runtime_data,常用数据处理、导入导出或任务支撑能力,isis/src/lro/apps/lrowaccal
60,hrsc2isis,mex,4,4,44,W0-current-batch,yes,3,378,mission_runtime_data,常用数据处理、导入导出或任务支撑能力,isis/src/mex/apps/hrsc2isis
61,qmos,qisis,2,4,42,W5-GUI,no,1,45,posix_api;qt_gui,常用数据处理、导入导出或任务支撑能力,isis/src/qisis/apps/qmos
62,qnet,qisis,2,4,42,W5-GUI,no,1,283,posix_api;qt_gui,常用数据处理、导入导出或任务支撑能力,isis/src/qisis/apps/qnet
63,qview,qisis,2,4,42,W5-GUI,no,1,302,posix_api;qt_gui,常用数据处理、导入导出或任务支撑能力,isis/src/qisis/apps/qview
64,bandtrim,base,5,3,35,W0-current-batch,yes,3,115,none,通用处理或基础设施能力,isis/src/base/apps/bandtrim
65,barscale,base,5,3,35,W0-current-batch,yes,1,511,none,通用处理或基础设施能力,isis/src/base/apps/barscale
66,camtrim,base,5,3,35,W0-current-batch,yes,1,110,none,通用处理或基础设施能力,isis/src/base/apps/camtrim
67,cathist,base,5,3,35,W0-current-batch,yes,1,99,none,通用处理或基础设施能力,isis/src/base/apps/cathist
68,cropspecial,base,5,3,35,W0-current-batch,yes,1,159,none,通用处理或基础设施能力,isis/src/base/apps/cropspecial
69,cubeavg,base,5,3,35,W0-current-batch,yes,1,161,none,通用处理或基础设施能力,isis/src/base/apps/cubeavg
70,cubefunc,base,5,3,35,W0-current-batch,yes,1,197,none,通用处理或基础设施能力,isis/src/base/apps/cubefunc
71,cubenorm,base,5,3,35,W0-current-batch,yes,3,747,none,通用处理或基础设施能力,isis/src/base/apps/cubenorm
72,decorstretch,base,5,3,35,W0-current-batch,yes,1,124,none,通用处理或基础设施能力,isis/src/base/apps/decorstretch
73,divfilter,base,5,3,35,W0-current-batch,yes,1,56,none,通用处理或基础设施能力,isis/src/base/apps/divfilter
74,fakecube,base,5,3,35,W0-current-batch,yes,1,77,none,通用处理或基础设施能力,isis/src/base/apps/fakecube
75,gaussstretch,base,5,3,35,W0-current-batch,yes,3,82,none,通用处理或基础设施能力,isis/src/base/apps/gaussstretch
76,greyscale,base,5,3,35,W0-current-batch,yes,1,70,none,通用处理或基础设施能力,isis/src/base/apps/greyscale
77,handmos,base,5,3,35,W0-current-batch,yes,1,151,none,通用处理或基础设施能力,isis/src/base/apps/handmos
78,hist,base,5,3,35,W0-current-batch,yes,3,359,none,通用处理或基础设施能力,isis/src/base/apps/hist
79,histeq,base,5,3,35,W0-current-batch,yes,1,73,none,通用处理或基础设施能力,isis/src/base/apps/histeq
80,histmatch,base,5,3,35,W0-current-batch,yes,1,71,none,通用处理或基础设施能力,isis/src/base/apps/histmatch
81,interestcube,base,5,3,35,W0-current-batch,yes,1,89,none,通用处理或基础设施能力,isis/src/base/apps/interestcube
82,kernfilter,base,5,3,35,W0-current-batch,yes,1,88,none,通用处理或基础设施能力,isis/src/base/apps/kernfilter
83,mapsize,base,5,3,35,W0-current-batch,yes,1,70,none,通用处理或基础设施能力,isis/src/base/apps/mapsize
84,mvstats,base,5,3,35,W0-current-batch,yes,1,172,none,通用处理或基础设施能力,isis/src/base/apps/mvstats
85,nocam2map,base,5,3,35,W0-current-batch,yes,3,1119,none,通用处理或基础设施能力,isis/src/base/apps/nocam2map
86,noisefilter,base,5,3,35,W0-current-batch,yes,1,188,none,通用处理或基础设施能力,isis/src/base/apps/noisefilter
87,overlapstats,base,5,3,35,W0-current-batch,yes,3,346,none,通用处理或基础设施能力,isis/src/base/apps/overlapstats
88,phocube,base,5,3,35,W0-current-batch,yes,3,802,none,通用处理或基础设施能力,isis/src/base/apps/phocube
89,phoemplocal,base,5,3,35,W0-current-batch,yes,1,582,none,通用处理或基础设施能力,isis/src/base/apps/phoemplocal
90,photrim,base,5,3,35,W0-current-batch,yes,3,157,none,通用处理或基础设施能力,isis/src/base/apps/photrim
91,pixel2map,base,5,3,35,W0-current-batch,yes,3,587,none,通用处理或基础设施能力,isis/src/base/apps/pixel2map
