status,kind,callable_key,symbol,isis9_symbol_type,isis10_symbol_type
unchanged,method,Isis::AKAZEAlgorithm::AKAZEAlgorithm,Isis::AKAZEAlgorithm::AKAZEAlgorithm(),T,T
unchanged,method,Isis::AKAZEAlgorithm::AKAZEAlgorithm,"Isis::AKAZEAlgorithm::AKAZEAlgorithm(Isis::PvlFlatMap const&, QString const&)",T,T
unchanged,method,Isis::AKAZEAlgorithm::create,"Isis::AKAZEAlgorithm::create(Isis::PvlFlatMap const&, QString const&)",T,T
unchanged,method,Isis::AKAZEAlgorithm::description,Isis::AKAZEAlgorithm::description() const,T,T
unchanged,method,Isis::AKAZEAlgorithm::getAlgorithmVariables,Isis::AKAZEAlgorithm::getAlgorithmVariables() const,T,T
unchanged,method,Isis::AKAZEAlgorithm::hasDetector,Isis::AKAZEAlgorithm::hasDetector() const,T,T
unchanged,method,Isis::AKAZEAlgorithm::hasExtractor,Isis::AKAZEAlgorithm::hasExtractor() const,T,T
unchanged,method,Isis::AKAZEAlgorithm::hasMatcher,Isis::AKAZEAlgorithm::hasMatcher() const,T,T
unchanged,method,Isis::AKAZEAlgorithm::setAlgorithmVariables,Isis::AKAZEAlgorithm::setAlgorithmVariables(Isis::PvlFlatMap const&),T,T
unchanged,method,Isis::AKAZEAlgorithm::setupMaps,Isis::AKAZEAlgorithm::setupMaps(),T,T
unchanged,method,Isis::AKAZEAlgorithm::~AKAZEAlgorithm,Isis::AKAZEAlgorithm::~AKAZEAlgorithm(),T,T
unchanged,method,Isis::APrioriLatitudeFilter::APrioriLatitudeFilter,Isis::APrioriLatitudeFilter::APrioriLatitudeFilter(Isis::APrioriLatitudeFilter const&),T,T
unchanged,method,Isis::APrioriLatitudeFilter::APrioriLatitudeFilter,"Isis::APrioriLatitudeFilter::APrioriLatitudeFilter(QFlags<Isis::AbstractFilter::FilterEffectiveness>, int)",T,T
unchanged,method,Isis::APrioriLatitudeFilter::clone,Isis::APrioriLatitudeFilter::clone() const,T,T
unchanged,method,Isis::APrioriLatitudeFilter::evaluate,Isis::APrioriLatitudeFilter::evaluate(Isis::ControlMeasure const*) const,T,T
unchanged,method,Isis::APrioriLatitudeFilter::evaluate,Isis::APrioriLatitudeFilter::evaluate(Isis::ControlPoint const*) const,T,T
removed,method,Isis::APrioriLatitudeFilter::evaluate,"Isis::APrioriLatitudeFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const",T,
added,method,Isis::APrioriLatitudeFilter::evaluate,"Isis::APrioriLatitudeFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const",,T
unchanged,method,Isis::APrioriLatitudeFilter::getImageDescription,Isis::APrioriLatitudeFilter::getImageDescription() const,T,T
unchanged,method,Isis::APrioriLatitudeFilter::getPointDescription,Isis::APrioriLatitudeFilter::getPointDescription() const,T,T
unchanged,method,Isis::APrioriLatitudeFilter::metaObject,Isis::APrioriLatitudeFilter::metaObject() const,T,T
unchanged,method,Isis::APrioriLatitudeFilter::qt_metacall,"Isis::APrioriLatitudeFilter::qt_metacall(QMetaObject::Call, int, void**)",T,T
unchanged,method,Isis::APrioriLatitudeFilter::qt_metacast,Isis::APrioriLatitudeFilter::qt_metacast(char const*),T,T
unchanged,data,,Isis::APrioriLatitudeFilter::staticMetaObject,D,D
unchanged,method,Isis::APrioriLatitudeFilter::~APrioriLatitudeFilter,Isis::APrioriLatitudeFilter::~APrioriLatitudeFilter(),T,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::APrioriLatitudeSigmaFilter,Isis::APrioriLatitudeSigmaFilter::APrioriLatitudeSigmaFilter(Isis::APrioriLatitudeSigmaFilter const&),T,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::APrioriLatitudeSigmaFilter,"Isis::APrioriLatitudeSigmaFilter::APrioriLatitudeSigmaFilter(QFlags<Isis::AbstractFilter::FilterEffectiveness>, int)",T,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::clone,Isis::APrioriLatitudeSigmaFilter::clone() const,T,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::evaluate,Isis::APrioriLatitudeSigmaFilter::evaluate(Isis::ControlMeasure const*) const,T,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::evaluate,Isis::APrioriLatitudeSigmaFilter::evaluate(Isis::ControlPoint const*) const,T,T
removed,method,Isis::APrioriLatitudeSigmaFilter::evaluate,"Isis::APrioriLatitudeSigmaFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const",T,
added,method,Isis::APrioriLatitudeSigmaFilter::evaluate,"Isis::APrioriLatitudeSigmaFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const",,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::getImageDescription,Isis::APrioriLatitudeSigmaFilter::getImageDescription() const,T,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::getPointDescription,Isis::APrioriLatitudeSigmaFilter::getPointDescription() const,T,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::metaObject,Isis::APrioriLatitudeSigmaFilter::metaObject() const,T,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::qt_metacall,"Isis::APrioriLatitudeSigmaFilter::qt_metacall(QMetaObject::Call, int, void**)",T,T
unchanged,method,Isis::APrioriLatitudeSigmaFilter::qt_metacast,Isis::APrioriLatitudeSigmaFilter::qt_metacast(char const*),T,T
unchanged,data,,Isis::APrioriLatitudeSigmaFilter::staticMetaObject,D,D
unchanged,method,Isis::APrioriLatitudeSigmaFilter::~APrioriLatitudeSigmaFilter,Isis::APrioriLatitudeSigmaFilter::~APrioriLatitudeSigmaFilter(),T,T
unchanged,method,Isis::APrioriLongitudeFilter::APrioriLongitudeFilter,Isis::APrioriLongitudeFilter::APrioriLongitudeFilter(Isis::APrioriLongitudeFilter const&),T,T
unchanged,method,Isis::APrioriLongitudeFilter::APrioriLongitudeFilter,"Isis::APrioriLongitudeFilter::APrioriLongitudeFilter(QFlags<Isis::AbstractFilter::FilterEffectiveness>, int)",T,T
