binding_file,header,bound_symbols,gui_status,isis9_status,isis10_status,comparison,replacement_hint,isis9_paths,isis10_paths
src/base/bind_auto_reg_factory.cpp,AutoReg.h,AutoRegFactory,non_gui,present,present,identical_text,,AutoReg.h,AutoReg.h
src/base/bind_auto_reg_factory.cpp,AutoRegFactory.h,AutoRegFactory,non_gui,present,present,identical_text,,AutoRegFactory.h,AutoRegFactory.h
src/base/bind_auto_reg_factory.cpp,Pvl.h,AutoRegFactory,non_gui,present,present,changed_review_required,,Pvl.h,Pvl.h
src/base/bind_base_filters.cpp,CSVReader.h,CSVReader;CubeStretch;GaussianStretch;Kernels;QuickFilter;Stretch,non_gui,present,present,identical_text,,CSVReader.h,CSVReader.h
src/base/bind_base_filters.cpp,CubeStretch.h,CSVReader;CubeStretch;GaussianStretch;Kernels;QuickFilter;Stretch,non_gui,present,present,identical_text,,CubeStretch.h,CubeStretch.h
src/base/bind_base_filters.cpp,GaussianStretch.h,CSVReader;CubeStretch;GaussianStretch;Kernels;QuickFilter;Stretch,non_gui,present,present,identical_text,,GaussianStretch.h,GaussianStretch.h
src/base/bind_base_filters.cpp,Histogram.h,CSVReader;CubeStretch;GaussianStretch;Kernels;QuickFilter;Stretch,non_gui,present,present,identical_text,,Histogram.h,Histogram.h
src/base/bind_base_filters.cpp,Kernels.h,CSVReader;CubeStretch;GaussianStretch;Kernels;QuickFilter;Stretch,non_gui,present,present,identical_text,,Kernels.h,Kernels.h
src/base/bind_base_filters.cpp,Pvl.h,CSVReader;CubeStretch;GaussianStretch;Kernels;QuickFilter;Stretch,non_gui,present,present,changed_review_required,,Pvl.h,Pvl.h
src/base/bind_base_filters.cpp,QuickFilter.h,CSVReader;CubeStretch;GaussianStretch;Kernels;QuickFilter;Stretch,non_gui,present,present,identical_text,,QuickFilter.h,QuickFilter.h
src/base/bind_base_filters.cpp,Stretch.h,CSVReader;CubeStretch;GaussianStretch;Kernels;QuickFilter;Stretch,non_gui,present,present,identical_text,,Stretch.h,Stretch.h
src/base/bind_base_geometry.cpp,Angle.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Angle.h,Angle.h
src/base/bind_base_geometry.cpp,Area3D.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Area3D.h,Area3D.h
src/base/bind_base_geometry.cpp,Displacement.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Displacement.h,Displacement.h
src/base/bind_base_geometry.cpp,Distance.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Distance.h,Distance.h
src/base/bind_base_geometry.cpp,Enlarge.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Enlarge.h,Enlarge.h
src/base/bind_base_geometry.cpp,IException.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,changed_review_required,,IException.h,IException.h
src/base/bind_base_geometry.cpp,Interpolator.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Interpolator.h,Interpolator.h
src/base/bind_base_geometry.cpp,Latitude.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Latitude.h,Latitude.h
src/base/bind_base_geometry.cpp,Longitude.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Longitude.h,Longitude.h
src/base/bind_base_geometry.cpp,PvlGroup.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,PvlGroup.h,PvlGroup.h
src/base/bind_base_geometry.cpp,Reduce.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Reduce.h,Reduce.h
src/base/bind_base_geometry.cpp,Stereo.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Stereo.h,Stereo.h
src/base/bind_base_geometry.cpp,Transform.h,Angle;Area3D;Displacement;Distance;Enlarge;Interpolator;Latitude;Longitude;Reduce;Stereo;Transform,non_gui,present,present,identical_text,,Transform.h,Transform.h
src/base/bind_base_ground_map.cpp,Camera.h,UniversalGroundMap,non_gui,present,present,identical_text,,Camera.h,Camera.h
src/base/bind_base_ground_map.cpp,Cube.h,UniversalGroundMap,non_gui,present,present,changed_review_required,,Cube.h,Cube.h
src/base/bind_base_ground_map.cpp,Latitude.h,UniversalGroundMap,non_gui,present,present,identical_text,,Latitude.h,Latitude.h
src/base/bind_base_ground_map.cpp,Longitude.h,UniversalGroundMap,non_gui,present,present,identical_text,,Longitude.h,Longitude.h
src/base/bind_base_ground_map.cpp,Projection.h,UniversalGroundMap,non_gui,present,present,changed_review_required,,Projection.h,Projection.h
src/base/bind_base_ground_map.cpp,SurfacePoint.h,UniversalGroundMap,non_gui,present,present,identical_text,,SurfacePoint.h,SurfacePoint.h
src/base/bind_base_ground_map.cpp,UniversalGroundMap.h,UniversalGroundMap,non_gui,present,present,changed_review_required,,UniversalGroundMap.h,UniversalGroundMap.h
src/base/bind_base_image_overlap.cpp,ImageOverlap.h,ImageOverlap;ImageOverlapSet,non_gui,present,present,identical_text,,ImageOverlap.h,ImageOverlap.h
src/base/bind_base_image_overlap.cpp,ImageOverlapSet.h,ImageOverlap;ImageOverlapSet,non_gui,present,present,identical_text,,ImageOverlapSet.h,ImageOverlapSet.h
src/base/bind_base_image_overlap.cpp,PvlGroup.h,ImageOverlap;ImageOverlapSet,non_gui,present,present,identical_text,,PvlGroup.h,PvlGroup.h
src/base/bind_base_image_polygon.cpp,Blob.h,ImagePolygon,non_gui,present,present,changed_review_required,,Blob.h,Blob.h
src/base/bind_base_image_polygon.cpp,IException.h,ImagePolygon,non_gui,present,present,changed_review_required,,IException.h,IException.h
src/base/bind_base_image_polygon.cpp,ImagePolygon.h,ImagePolygon,non_gui,present,present,identical_text,,ImagePolygon.h,ImagePolygon.h
src/base/bind_base_math.cpp,Affine.h,Affine;Basis1VariableFunction;BasisFunction;Calculator;CubeCalculator;CubeInfixToPostfix;FourierTransform;InfixToPostfix;InlineInfixToPostfix;LeastSquares;Matrix;MaximumLikelihoodWFunctions;NthOrderPolynomial;NumericalApproximation;PolynomialBivariate;PolynomialUnivariate;PrincipalComponentAnalysis;SparseBlockMatrix;SurfaceModel,non_gui,present,present,identical_text,,Affine.h,Affine.h
