header,status,isis9_sha256,isis10_sha256,classes_added,classes_removed,classes_common,enums_added,enums_removed,enums_common,callables_added,callables_removed,deprecated_added,deprecated_removed
AKAZEAlgorithm.h,identical,20a50b19a650894d63670d8cf13b0517b835508409a5b47e71cdf8b05031ecf5,20a50b19a650894d63670d8cf13b0517b835508409a5b47e71cdf8b05031ecf5,,,AKAZEAlgorithm,,,,,,,
APrioriLatitudeFilter.h,changed_declarations,4233c0d4c3b7d5875833203696a5a3d6a9c4282fbb808a1be0065bb55d74b6b2,3f37a57e77f53edc7b76cedf4ba134de3928393f736be7a89c81df9df6aa7a9b,,QPair,"APrioriLatitudeFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriLatitudeSigmaFilter.h,changed_declarations,994b93e14441795d3c96f41789d85641aadc02b60e733971f69381f248fdb9a4,aecb1cfb4bd6ab95c7e048c049f51460e51244be7c8a53e9bdd55f82a3f849e7,,QPair,"APrioriLatitudeSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriLongitudeFilter.h,changed_declarations,8710eabdaed48b58f07f97f18a52dbca62f52fc11d6741294b283276dbfe4ed2,13d18927994d295130b92d3933e5b0a011079075c3c80af7200c1be4f6540fd6,,QPair,"APrioriLongitudeFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriLongitudeSigmaFilter.h,changed_declarations,bddbb3944904bf897723c70d5c7affd5df10c152f6a616510b80a2d601edbc42,2cd58485f0bcf6327f5dc324f36605dd1e085987685575c23bef235d0fa2f89a,,QPair,"APrioriLongitudeSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriRadiusFilter.h,changed_declarations,393fedfe1597f91223d1e6f11901bfb256cb4d7451985a1013538c2de4a251b6,ef91250301bf2c7db15a217415e016edd2e76abcdaa1c4fb5339bc5fd54d137d,,QPair,"APrioriRadiusFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriRadiusSigmaFilter.h,changed_declarations,dcf786c1a62301bb94223fc62cef8d686a99cafa181d7549fa5e94e55eb09507,5e6acae3ec15a38c73876a8460dd8535ee81cb356c2fe6783b1aace8b910f314,,QPair,"APrioriRadiusSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriXFilter.h,changed_declarations,32920cc5b3d85d305d1ea80bd144e4e98efd74dbcb822960bb8cb0e36025b708,d61f93841bebdc8233533a30a63e1f90ee459122ecd9bf8f30809a066badedea,,QPair,"APrioriXFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriXSigmaFilter.h,changed_declarations,3f7f280b1bc60645974258d0b205237348c4fcda85f3d663d0e3e4579e19eeb2,c3bce50b7c0126ceaec24e223cad1d8ab907042d5d6e4a6231d46bbdd6607c84,,QPair,"APrioriXSigmaFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
APrioriYFilter.h,changed_declarations,e8fd4f7485be883b7bbc63737c050b896f6e35d77b1c6a94d8fc66259b60d6bf,92d543d9176bfdb1b42dc6b378b230cb9c72f32f20ec44116fc982f6b27074e5,,QPair,"APrioriYFilter
ControlMeasure
ControlNet
ControlPoint
QString",,,,,,,
