Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ImageIoHandler,Image I/O,isis/src/base/objs/ImageIoHandler/ImageIoHandler.h,src/bind_isis10.cpp,Y = converted; N = not converted; Partial = partially converted,Unconverted entries use the proposed Python name,已注册抽象基类并暴露共享 I/O 方法；排除裸所有权、Qt mutex 和无操作基类缓存接口

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ImageIoHandler,isis_pybind.ImageIoHandler,Y,ISIS 10-only binding; tested against the target ISIS 10 environment
Construction/Enum,ImageIoHandler(const QList<int> *virtualBandList),isis_pybind.ImageIoHandler(),N,Intentionally excluded: abstract base is not directly constructible
Read/Write IO,virtual void read(Buffer &bufferToFill) const = 0,isis_pybind.ImageIoHandler.read,Y,Bound as the inherited I/O contract
Read/Write IO,virtual void write(const Buffer &bufferToWrite) = 0,isis_pybind.ImageIoHandler.write,Y,Bound as the inherited I/O contract
Mutation/Configuration,virtual void addCachingAlgorithm(CubeCachingAlgorithm *algorithm),isis_pybind.ImageIoHandler.add_caching_algorithm,N,Intentionally excluded: raw algorithm ownership is unclear
Mutation/Configuration,virtual void clearCache(bool blockForWriteCache = true) const,isis_pybind.ImageIoHandler.clear_cache,N,Intentionally excluded: base implementation is a no-op; derived clear_cache is exposed
Query,virtual BigInt getDataSize() const = 0,isis_pybind.ImageIoHandler.get_data_size,Y,Bound
Mutation/Configuration,void setVirtualBands(const QList<int> *virtualBandList),isis_pybind.ImageIoHandler.set_virtual_bands,Y,Bound through a copied Python list
Mutation/Configuration,virtual void updateLabels(Pvl &labels) = 0,isis_pybind.ImageIoHandler.update_labels,Y,Bound
Public API,QMutex *dataFileMutex(),isis_pybind.ImageIoHandler.data_file_mutex,N,Intentionally excluded: Qt synchronization primitive
